actor_id,film_id
190,234
51,895
107,220
11,348
8,523
28,879
9,514
100,992
23,226
117,578
188,10
90,442
25,404
120,830
139,284
144,228
82,551
22,912
106,44
68,435
66,725
116,784
160,755
111,162
41,86
130,431
78,387
66,769
200,80
13,346
101,988
1,140
14,759
21,920
23,536
43,827
96,968
150,508
43,598
109,786
142,712
15,236
24,829
131,647
128,462
47,923
97,930
168,886
27,986
197,63
190,806
125,450
105,750
50,732
124,742
86,760
37,662
187,671
33,489
92,512
162,32
103,585
65,106
30,87
33,775
99,978
94,320
18,460
154,421
63,932
68,971
84,491
89,833
165,962
53,126
33,56
104,136
157,326
167,802
53,727
186,983
152,674
27,593
34,182
94,76
78,520
110,650
77,245
181,507
76,498
48,287
124,260
171,701
64,925
99,967
101,60
45,920
63,781
124,190
14,495
74,484
167,923
30,262
52,376
128,564
56,457
95,52
12,716
159,789
153,231
191,993
102,431
28,652
70,227
92,728
167,72
14,258
66,999
66,706
170,27
194,719
100,718
94,402
42,527
180,811
142,710
16,453
62,465
180,628
32,199
185,880
200,149
192,614
48,792
37,19
6,451
57,707
91,807
5,171
173,496
158,637
183,862
182,819
93,874
185,510
70,249
65,491
147,708
121,780
13,843
87,250
185,554
77,538
58,254
72,296
146,512
195,962
4,832
28,597
123,223
99,325
54,292
129,471
183,914
3,289
53,109
122,542
51,153
164,23
46,463
31,308
180,777
163,394
83,281
108,379
16,267
190,549
68,213
48,645
184,615
186,187
122,489
104,401
65,276
29,928
85,421
159,418
134,896
4,798
67,242
126,836
81,729
155,849
79,788
153,444
106,439
186,637
186,994
45,187
128,965
99,381
129,89
160,469
197,979
174,677
96,36
193,141
77,22
189,509
84,975
95,923
29,79
146,591
136,262
76,650
90,197
23,491
81,59
173,757
109,657
154,276
125,602
5,54
33,737
98,782
188,925
17,154
67,981
107,62
116,90
82,306
39,831
39,703
49,282
35,52
179,566
64,3
42,320
122,649
55,790
119,49
141,840
94,788
104,309
54,524
98,607
58,726
61,307
196,576
164,324
53,268
157,159
42,738
85,478
57,16
141,768
38,793
105,372
197,815
112,856
62,719
66,915
75,764
139,74
102,802
29,944
27,462
126,685
173,921
26,147
4,490
46,174
94,153
185,730
25,420
98,912
19,152
88,87
130,809
140,27
144,702
54,649
103,639
45,65
71,26
133,397
130,981
45,925
21,733
156,467
35,748
114,162
135,35
27,873
155,361
166,366
54,600
97,466
61,362
198,264
17,948
137,304
40,868
138,157
168,208
105,910
109,174
142,107
140,370
74,203
64,557
184,221
115,966
48,150
107,454
36,380
70,53
44,699
143,680
156,262
23,804
77,458
158,555
82,480
84,46
170,508
50,829
64,469
112,700
18,321
84,574
67,512
186,729
32,567
49,151
12,635
62,385
139,636
16,779
118,499
190,173
41,678
198,303
33,972
67,972
34,43
61,235
26,732
38,274
48,312
177,751
163,283
178,974
169,897
81,827
138,125
102,485
70,202
100,642
103,347
111,737
58,460
53,492
92,137
79,646
94,473
185,818
60,262
91,509
82,527
92,889
3,393
46,456
37,785
96,66
133,342
61,585
60,551
131,383
136,271
30,69
105,158
58,242
195,359
45,767
45,797
80,688
133,270
82,503
109,12
179,291
184,966
119,521
117,778
29,519
197,364
127,727
46,889
18,808
22,23
130,592
11,587
74,543
101,932
49,977
119,636
131,206
123,105
7,225
128,238
187,664
144,753
26,885
128,345
188,566
22,536
101,978
149,159
115,277
45,115
121,154
38,176
158,32
191,801
159,561
82,316
137,254
147,298
47,770
102,810
10,929
179,415
169,301
84,479
42,798
113,116
107,606
50,306
120,238
80,118
185,571
154,440
107,977
183,313
83,672
160,2
137,249
160,455
158,616
57,258
37,277
125,710
62,981
157,291
188,322
17,469
7,637
15,500
124,726
182,362
158,799
165,95
122,998
81,11
54,861
11,395
185,411
66,697
133,952
98,990
85,558
5,650
137,489
183,32
161,43
17,573
21,507
144,473
14,472
107,774
177,39
103,271
49,423
184,745
195,885
181,522
118,55
114,827
73,627
195,534
10,587
182,590
165,779
102,979
53,1
119,173
180,874
13,337
162,636
178,537
126,288
169,326
21,87
108,887
187,499
176,946
162,33
108,561
45,463
91,829
112,772
135,628
20,527
170,764
115,246
62,272
177,188
15,125
62,406
102,446
110,987
156,244
136,414
184,597
37,963
169,564
83,764
111,777
76,251
122,654
46,51
64,10
128,912
50,621
94,228
87,961
43,105
2,31
69,466
58,638
184,967
158,830
191,551
19,752
166,622
196,276
32,928
103,356
12,420
49,811
39,700
168,305
102,529
70,92
147,405
39,587
42,922
192,682
95,74
123,725
143,141
113,921
99,636
16,221
190,623
144,785
139,233
181,420
150,880
181,437
75,446
75,579
126,58
196,324
93,680
173,154
154,842
15,91
23,449
161,401
142,186
46,319
148,149
40,933
32,606
95,353
33,618
72,450
148,718
125,338
102,34
135,814
50,111
126,419
152,476
111,744
56,417
49,662
181,816
175,483
51,627
105,15
168,438
52,92
67,24
60,830
190,874
161,850
162,274
158,178
120,63
156,593
183,389
77,153
37,122
17,957
23,212
145,409
29,646
144,291
163,45
40,938
34,525
56,844
86,364
98,212
102,205
90,451
178,930
13,588
20,757
113,732
29,133
150,728
59,713
126,860
142,914
47,67
83,165
193,291
80,343
111,643
161,920
164,545
120,641
182,990
123,479
198,545
95,627
32,219
191,668
17,874
158,66
75,170
185,95
58,426
125,429
67,477
109,885
127,846
52,689
15,626
198,568
117,432
14,154
40,799
190,679
51,734
64,448
191,293
93,71
97,862
141,673
121,517
91,447
57,891
131,921
75,645
117,423
169,642
45,330
57,592
90,529
84,566
7,35
105,283
38,876
43,56
18,536
29,273
125,908
130,452
40,744
82,954
24,148
19,756
53,576
183,941
62,54
83,686
97,728
14,253
174,809
147,178
15,968
151,167
141,607
150,889
90,858
29,547
159,549
169,849
84,782
2,357
99,414
132,899
147,145
126,263
64,471
47,734
108,208
196,972
70,453
100,414
139,529
142,504
108,378
196,541
139,691
147,85
129,202
151,131
81,505
156,379
193,807
158,968
118,957
103,643
98,81
100,967
102,712
58,175
90,633
121,771
81,692
8,255
115,661
56,781
5,571
83,217
9,697
102,517
1,106
106,126
95,35
119,649
151,539
15,280
100,979
39,71
54,510
118,136
82,247
124,858
138,403
157,34
14,418
51,940
26,186
94,533
198,311
51,420
147,351
3,966
108,693
114,339
57,213
86,196
76,474
40,521
111,669
2,249
140,693
17,734
33,574
191,775
158,47
44,944
172,710
47,924
174,852
82,787
164,908
3,87
75,547
189,896
93,982
16,280
8,859
130,37
189,512
10,1
79,367
124,814
84,175
110,292
137,703
29,723
131,436
109,622
48,428
97,256
180,869
99,618
165,395
101,936
86,905
198,482
193,164
18,279
92,104
130,112
79,840
4,463
161,684
129,247
11,453
117,550
173,162
42,500
136,686
164,613
28,74
141,467
19,771
155,890
61,519
103,735
155,590
151,527
10,9
143,497
45,778
178,587
71,773
150,887
126,545
113,674
36,171
58,235
16,583
40,494
124,263
192,465
77,40
133,635
103,215
106,559
191,410
50,372
90,374
23,549
46,540
42,139
179,976
154,158
62,413
170,358
10,480
21,702
36,283
107,520
177,827
160,17
23,820
153,180
64,291
144,130
73,148
72,956
60,222
142,540
125,367
105,606
13,427
189,171
73,51
129,684
119,900
20,589
