venue,title,id,authors,year
international conference on management of data,the wasa2 object-oriented workflow management system,0,"gottfried vossen , mathias weske",1999
international conference on management of data,a user-centered interface for querying distributed multimedia databases,1,"isabel f. cruz , kimberly m. james",1999
international conference on management of data,"world wide database-integrating the web , corba and databases",2,"athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani",1999
international conference on management of data,xml-based information mediation with mix,3,"chaitan baru , amarnath gupta , bertram lud &#228; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu",1999
international conference on management of data,the ccube constraint object-oriented database system,4,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",1999
international conference on management of data,the cornell jaguar project : adding mobility to predator,5,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu",1999
international conference on management of data,the active multisync controller of the cubetree storage organization,6,"nick roussopoulos , yannis kotidis , yannis sismanis",1999
international conference on management of data,the jungle database search engine,7,"michael b &#246; hlen , linas bukauskas , curtis dyreson",1999
acm sigmod record,adept : an agent-based approach to business process management,8,"n. r. jennings , t. j. norman , p. faratin",1998
acm sigmod record,a componentized architecture for dynamic electronic markets,9,"benny reich , israel ben-shaul",1998
acm sigmod record,design and implementation of rmp : a virtual electronic market place,10,"susanne boll , wolfgang klas , bernard battaglin",1998
acm sigmod record,discovering internet marketing intelligence through online analytical web usage mining,11,"alex g. b &#252; chner , maurice d. mulvenna",1998
acm sigmod record,component-based e-commerce : assessment of current practices and future directions,12,"martin bichler , arie segev , j. leon zhao",1998
acm sigmod record,building database-driven electronic catalogs,13,sherif danish,1998
acm sigmod record,xml and electronic commerce : enabling the network economy,14,"bart meltzer , robert glushko",1998
acm sigmod record,a workflow-based electronic marketplace on the web,15,"asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer",1998
international conference on management of data,dbis-toolkit : adaptable middleware for large scale data delivery,16,"mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik",1999
international conference on management of data,an xjml-based wrapper generator for web information extraction,17,"ling liu , wei han , david buttler , calton pu , wei tang",1999
international conference on management of data,database patchwork on the internet,18,"reinhard braumandl , alfons kemper , donald kossmann",1999
international conference on management of data,domino : databases for moving objects tracking,19,"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain",1999
international conference on management of data,the need for distributed asynchronous transactions,20,"lyman do , prabhu ram , pamela drew",1999
international conference on management of data,versions and workspaces in microsoft repository,21,"thomas bergstraesser , philip a. bernstein , shankar pal , david shutt",1999
international conference on management of data,data integration and warehousing in telecom italia,22,"stefano m. trisolini , maurizio lenzerini , daniele nardi",1999
international conference on management of data,improving oltp data quality using data warehouse mechanisms,23,"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl",1999
international conference on management of data,serf : odmg-based generic re-structuring facility,24,"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. natarajan , j. jin , s. de lima , s. weiner",1999
international conference on management of data,"powerbookmarks : a system for personalizable web information organization , sharing , and management",25,"wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito",1999
international conference on management of data,the aqua approximate query answering system,26,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",1999
international conference on management of data,tam : a system for dynamic transactional activity management,27,"tong zhou , ling liu , calton pu",1999
international conference on management of data,exploratory mining via constrained frequent set queries,28,"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah",1999
international conference on management of data,evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes,29,"e. a. rundensteiner , a. koeller , x. zhang , a. j. lee , a. nica , a. van wyk , y. lee",1999
international conference on management of data,phoenix : making applications robust,30,"roger barga , david b. lomet",1999
international conference on management of data,nodose version 2.0,31,"brad adelberg , matthew denny",1999
international conference on management of data,bringing object-relational technology to the mainstream,32,"vishu krishnamurthy , sandeepan banerjee , anil nori",1999
international conference on management of data,implementing the spirit of sql-99,33,paul brown,1999
international conference on management of data,managing web data,34,dan suciu,1999
international conference on management of data,"o-o , what 's happening to db2 ?",35,"m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman",1999
international conference on management of data,hypertext databases and data mining,36,soumen chakrabarti,1999
international conference on management of data,clustering methods for large databases : from the past to the future,37,"alexander hinneburg , daniel a. keim",1999
international conference on management of data,petabyte databases,38,dirk d &#252; llmann,1999
international conference on management of data,a database perspective on lotus domino/notes,39,c. mohan,1999
international conference on management of data,microsoft site server ( commerce ed . ) : talk-slides available at the conference,40,bassel ojjeh,1999
international conference on management of data,e-commerce database issues and experience : ( talk-slides available at at the conference ),41,anand rajaraman,1999
