assay_id,src_id,description,assay_tissue,bao_format,src_assay_id,assay_organism,assay_category,curated_by,doc_id,assay_test_type,assay_type,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction,tid
1,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,BAO_0000019,,,,Autocuration,11087,,B,,,,,12052
2,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,BAO_0000219,,,,Autocuration,684,,F,,,,,22226
3,1,,,BAO_0000019,,,,Autocuration,15453,,B,,,,,22226
4,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,BAO_0000249,,Bos taurus,,Autocuration,17841,,B,9913.0,,,,104729
5,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,BAO_0000219,,Homo sapiens,,Intermediate,17430,,F,9606.0,,143B,,80001
6,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,BAO_0000219,,Homo sapiens,,Intermediate,17430,,F,9606.0,,143B,,80001
7,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,BAO_0000219,,Mus musculus,,Intermediate,13799,,F,10090.0,,143B,,80001
8,1,In vitro cell cytotoxicity was determined against 143B cell line,,BAO_0000219,,Homo sapiens,,Expert,17774,,F,9606.0,,143B,,80001
9,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,BAO_0000219,,Homo sapiens,,Intermediate,3801,,F,9606.0,,143B,,80001
10,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,BAO_0000219,,Homo sapiens,,Intermediate,17430,,F,9606.0,,143B,,80001
11,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,BAO_0000219,,Homo sapiens,,Intermediate,17430,,F,9606.0,,143B,,80001
12,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,BAO_0000219,,Homo sapiens,,Expert,17774,,F,9606.0,,143B,,80001
13,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,F,1280.0,,,,50185
14,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,F,1280.0,,,,50185
15,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,F,1280.0,,,,50185
16,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,F,1280.0,,,,50185
17,1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,BAO_0000357,,Rattus norvegicus,,Expert,11347,,A,10116.0,,,,100122
18,1,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,B,,,,,12054
19,1,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,BAO_0000019,,,,Autocuration,10091,,B,,,,,12054
20,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,B,,,,,12054
21,1,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,B,,,,,12054
22,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,B,,,,,12054
23,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,,,,Autocuration,16474,,B,,,,,12054
24,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,,,,Autocuration,16474,,B,,,,,12054
25,1,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,BAO_0000219,,,,Autocuration,14352,,B,,,,,22226
26,1,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,BAO_0000357,,Oryctolagus cuniculus,,Autocuration,5646,,B,9986.0,,,,12054
27,1,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,BAO_0000357,,Oryctolagus cuniculus,,Autocuration,5646,,B,9986.0,,,,12054
28,1,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,BAO_0000219,,,,Autocuration,10997,,B,,,,,12426
29,1,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,BAO_0000357,,soya bean,,Autocuration,6309,,B,3847.0,,,,12054
30,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,BAO_0000357,,Glycine max,,Autocuration,167,,B,3847.0,,,,12054
31,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,BAO_0000357,,Glycine max,,Autocuration,167,,B,3847.0,,,,12054
32,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,BAO_0000357,,Glycine max,,Autocuration,11087,,B,3847.0,,,,12054
33,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,BAO_0000357,,Glycine max,,Autocuration,11087,,B,3847.0,,,,12054
34,1,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,,Glycine max,,Autocuration,13622,,B,3847.0,,,,12054
35,1,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,,Glycine max,,Autocuration,13622,,B,3847.0,,,,12054
36,1,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,BAO_0000019,,Rattus norvegicus,,Autocuration,11347,,A,10116.0,,,,22226
37,1,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,BAO_0000019,,Escherichia coli,,Autocuration,5926,,B,562.0,,,,22226
38,1,Dissociation constant with dimeric 16S rRNA RNA construct B,,BAO_0000019,,,,Autocuration,4567,,B,,,,,22226
39,1,Dissociation constant towards 16S rRNA construct A,,BAO_0000225,,,,Intermediate,3782,,B,,,,,22222
40,1,Dissociation constant towards 16S rRNA construct B,,BAO_0000225,,,,Intermediate,3782,,B,,,,,22222
41,1,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,BAO_0000225,,Escherichia coli,,Expert,4466,,B,562.0,,,,100263
42,1,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,BAO_0000225,,Escherichia coli,,Expert,6592,,B,562.0,,,,100263
43,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,,,,Autocuration,898,,B,,,,,13053
44,1,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,,,,Autocuration,898,,B,,,,,13053
