assay_id,cell_id,curated_by,assay_category,variant_id,assay_tissue,doc_id,description,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_cell_type
1,,Autosurat8on,,,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,,Aurocurat9on,,,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,,Aut9curqtion,,,,15453,,B,,,,,
4,,wutocurati9n,,,,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,Bos taurus,9913.0,,
5,532.0,Ijtegmediate,,,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,143B
6,728.0,Inferm2diate,,,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,143B
7,585.0,Igtermed9ate,,,,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,Mus musculus,10090.0,,143B
8,597.0,Exp2rt,,,,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,Homo sapiens,9606.0,,143B
9,772.0,Igterkediate,,,,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,Homo sapiens,9606.0,,143B
10,795.0,Interhewiate,,,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,143B
11,799.0,In4ermedia5e,,,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,143B
12,788.0,Expeft,,,,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,Homo sapiens,9606.0,,143B
13,,Intermedoare,,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
14,,Intermeriatw,,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
15,,Intermec7ate,,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
16,,Intermedia6d,,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
17,,Exprrt,,,,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,
18,,Autociragion,,,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,,Au59curation,,,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
