ss_strn,src_ss_d,ss_rgnsm,rltnshp_tp,src_d,ss_sbclllr_frctn,ss_ctgr,b_frmt,ss_tss,ss_tp,ss_cll_tp,td,crtd_b,cll_d,dc_d,ss_tx_d,vrnt_d,ss_d,chmbl_d,dscrptn,ss_tst_tp,cnfdnc_scr,tss_d
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7524,CHEMBL618647,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7525,CHEMBL618648,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7526,CHEMBL618649,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7527,CHEMBL618650,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7528,CHEMBL618651,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7529,CHEMBL876497,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Lung,A,,50597,Intermediate,,9866,10116.0,,7530,CHEMBL618652,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,1,2048.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Lung,A,,50597,Intermediate,,9866,10116.0,,7531,CHEMBL618653,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,In vivo,1,2048.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Lung,A,,50597,Intermediate,,9866,10116.0,,7532,CHEMBL618654,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,1,2048.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6351,10116.0,,7533,CHEMBL618655,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1465,10116.0,,7534,CHEMBL618656,Compound was tested for solubility in water,,1,
,,,U,1,,,BAO_0000100,,P,,22229,Intermediate,,5182,,,7535,CHEMBL618657,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,0,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17847,10116.0,,7536,CHEMBL618658,Solubility was determined,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15339,10116.0,,7537,CHEMBL618659,solubility in water (ug/mL) at 37 degree C.,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5202,10116.0,,7538,CHEMBL618660,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1088,10116.0,,7539,CHEMBL618661,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,3169,10116.0,,7540,CHEMBL873807,Half life in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5353,10116.0,,7541,CHEMBL618662,Half life in Dawley rat,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,2864,10116.0,,7542,CHEMBL618663,Half life period after 3 mg/kg iv administration,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,2864,10116.0,,7543,CHEMBL618664,Half life period after 3 mg/kg iv administration in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,2864,10116.0,,7544,CHEMBL618665,Half life period after 3 mg/kg iv administration in the rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6362,10116.0,,7545,CHEMBL876498,Half life period in female Sprague-Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6249,10116.0,,7546,CHEMBL618666,Half life period in rat,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,3169,10116.0,,7547,CHEMBL620440,Half-life in rats was determined,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,3169,10116.0,,7548,CHEMBL620441,Half-life in rats with metabolic oxidation,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,3169,10116.0,,7549,CHEMBL620442,Half-life in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17260,10116.0,,7550,CHEMBL620443,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17260,10116.0,,7551,CHEMBL620444,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17260,10116.0,,7552,CHEMBL620445,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17260,10116.0,,7553,CHEMBL620446,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,2879,10116.0,,7554,CHEMBL620447,Biological half-life measured in plasma of rat,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,2879,10116.0,,7555,CHEMBL621129,Biological half-life measured in plasma of rat; 22-25,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,2879,10116.0,,7556,CHEMBL621130,Biological half-life measured in plasma of rat; 9-16,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,3184,10116.0,,7557,CHEMBL873808,Compound was evaluated for its half life when administered intravenously in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4891,10116.0,,7558,CHEMBL876598,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,429,10116.0,,7559,CHEMBL621131,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5656,10116.0,,7560,CHEMBL621132,Half life (T1/2) after oral administration in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4413,10116.0,,7561,CHEMBL621133,Half life of compound after iv administration of 20 mg/kg dose in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Expert,,3598,10116.0,,7562,CHEMBL621312,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17267,10116.0,,7563,CHEMBL621313,Half life of compound was determined in rat,,1,
