ss_d,ss_rgnsm,td,chmbl_d,vrnt_d,src_d,b_frmt,ss_tp,ss_tx_d,rltnshp_tp,crtd_b,ss_cll_tp,ss_sbclllr_frctn,cnfdnc_scr,src_ss_d,cll_d,tss_d
7524,Rattus norvegicus,50597,CHEMBL618647,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2113.0
7525,Rattus norvegicus,50597,CHEMBL618648,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2113.0
7526,Rattus norvegicus,50597,CHEMBL618649,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2113.0
7527,Rattus norvegicus,50597,CHEMBL618650,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2107.0
7528,Rattus norvegicus,50597,CHEMBL618651,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2107.0
7529,Rattus norvegicus,50597,CHEMBL876497,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2107.0
7530,Rattus norvegicus,50597,CHEMBL618652,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2048.0
7531,Rattus norvegicus,50597,CHEMBL618653,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2048.0
7532,Rattus norvegicus,50597,CHEMBL618654,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,2048.0
7533,Rattus norvegicus,50597,CHEMBL618655,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7534,Rattus norvegicus,50597,CHEMBL618656,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7535,,22229,CHEMBL618657,,1,BAO_0000100,P,,U,Intermediate,,,0,,,
7536,Rattus norvegicus,50597,CHEMBL618658,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7537,Rattus norvegicus,50597,CHEMBL618659,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7538,Rattus norvegicus,50597,CHEMBL618660,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7539,Rattus norvegicus,50597,CHEMBL618661,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7540,Rattus norvegicus,50597,CHEMBL873807,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7541,Rattus norvegicus,50597,CHEMBL618662,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7542,Rattus norvegicus,50597,CHEMBL618663,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7543,Rattus norvegicus,50597,CHEMBL618664,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7544,Rattus norvegicus,50597,CHEMBL618665,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7545,Rattus norvegicus,50597,CHEMBL876498,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7546,Rattus norvegicus,50597,CHEMBL618666,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7547,Rattus norvegicus,50597,CHEMBL620440,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7548,Rattus norvegicus,50597,CHEMBL620441,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7549,Rattus norvegicus,50597,CHEMBL620442,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7550,Rattus norvegicus,50597,CHEMBL620443,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7551,Rattus norvegicus,50597,CHEMBL620444,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7552,Rattus norvegicus,50597,CHEMBL620445,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7553,Rattus norvegicus,50597,CHEMBL620446,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7554,Rattus norvegicus,50597,CHEMBL620447,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,1969.0
7555,Rattus norvegicus,50597,CHEMBL621129,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,1969.0
7556,Rattus norvegicus,50597,CHEMBL621130,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,1969.0
7557,Rattus norvegicus,50597,CHEMBL873808,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7558,Rattus norvegicus,50597,CHEMBL876598,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
7559,Rattus norvegicus,50597,CHEMBL621131,,1,BAO_0000218,A,10116.0,N,Intermediate,,,1,,,
