assay_tax_id,curated_by,assay_id,src_id,variant_id,assay_type,assay_test_type,tissue_id,assay_strain,src_assay_id,bao_format,assay_category,assay_tissue,doc_id,tid,assay_subcellular_fraction,cell_id,assay_cell_type,relationship_type,confidence_score,description,assay_organism,chembl_id
,Autocuration,1,1,,B,,,,,BAO_0000019,,,11087,12052,,,,H,8,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,CHEMBL615117
,Autocuration,2,1,,F,,,,,BAO_0000219,,,684,22226,,,,U,0,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,CHEMBL615118
,Autocuration,3,1,,B,,,,,BAO_0000019,,,15453,22226,,,,U,0,,,CHEMBL615119
9913.0,Autocuration,4,1,,B,,,,,BAO_0000249,,,17841,104729,,,,H,4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Bos taurus,CHEMBL615120
9606.0,Intermediate,5,1,,F,,,,,BAO_0000219,,,17430,80001,,163.0,143B,N,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,CHEMBL615121
9606.0,Intermediate,6,1,,F,,,,,BAO_0000219,,,17430,80001,,163.0,143B,N,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,CHEMBL615122
10090.0,Intermediate,7,1,,F,,,,,BAO_0000219,,,13799,80001,,163.0,143B,N,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Mus musculus,CHEMBL615123
9606.0,Expert,8,1,,F,,,,,BAO_0000219,,,17774,80001,,163.0,143B,N,1,In vitro cell cytotoxicity was determined against 143B cell line,Homo sapiens,CHEMBL615124
9606.0,Intermediate,9,1,,F,,,,,BAO_0000219,,,3801,80001,,163.0,143B,N,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Homo sapiens,CHEMBL615125
9606.0,Intermediate,10,1,,F,,,,,BAO_0000219,,,17430,80001,,163.0,143B,N,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,CHEMBL615126
