assay_id,assay_cell_type,assay_type,cell_id,assay_test_type,description,confidence_score,src_assay_id,assay_category,tid,assay_tax_id,curated_by,src_id,chembl_id,bao_format,tissue_id,variant_id
1,,B,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,8,,,12052,,Autocuration,1,CHEMBL615117,BAO_0000019,,
2,,F,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,0,,,22226,,Autocuration,1,CHEMBL615118,BAO_0000219,,
3,,B,,,,0,,,22226,,Autocuration,1,CHEMBL615119,BAO_0000019,,
4,,B,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,4,,,104729,9913.0,Autocuration,1,CHEMBL615120,BAO_0000249,,
5,143B,F,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,,,80001,9606.0,Intermediate,1,CHEMBL615121,BAO_0000219,,
6,143B,F,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,,,80001,9606.0,Intermediate,1,CHEMBL615122,BAO_0000219,,
7,143B,F,163.0,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,1,,,80001,10090.0,Intermediate,1,CHEMBL615123,BAO_0000219,,
8,143B,F,163.0,,In vitro cell cytotoxicity was determined against 143B cell line,1,,,80001,9606.0,Expert,1,CHEMBL615124,BAO_0000219,,
9,143B,F,163.0,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,1,,,80001,9606.0,Intermediate,1,CHEMBL615125,BAO_0000219,,
10,143B,F,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,,,80001,9606.0,Intermediate,1,CHEMBL615126,BAO_0000219,,
11,143B,F,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,,,80001,9606.0,Intermediate,1,CHEMBL615127,BAO_0000219,,
