ASSI,T,ASSTAI,VARII,CONFISC,RELATT,CHEI,SI,DOI,ASSORGA,ASTY,ASSUBCELFRAC,CURAB,SASI,CI,BAFO,TISI
1,12052,,,8,H,CHEMBL615117,1,11087,,B,,Autocuration,,,BAO_0000019,
2,22226,,,0,U,CHEMBL615118,1,684,,F,,Autocuration,,,BAO_0000219,
3,22226,,,0,U,CHEMBL615119,1,15453,,B,,Autocuration,,,BAO_0000019,
4,104729,9913.0,,4,H,CHEMBL615120,1,17841,Bos taurus,B,,Autocuration,,,BAO_0000249,
5,80001,9606.0,,1,N,CHEMBL615121,1,17430,Homo sapiens,F,,Intermediate,,163.0,BAO_0000219,
6,80001,9606.0,,1,N,CHEMBL615122,1,17430,Homo sapiens,F,,Intermediate,,163.0,BAO_0000219,
7,80001,10090.0,,1,N,CHEMBL615123,1,13799,Mus musculus,F,,Intermediate,,163.0,BAO_0000219,
8,80001,9606.0,,1,N,CHEMBL615124,1,17774,Homo sapiens,F,,Expert,,163.0,BAO_0000219,
9,80001,9606.0,,1,N,CHEMBL615125,1,3801,Homo sapiens,F,,Intermediate,,163.0,BAO_0000219,
10,80001,9606.0,,1,N,CHEMBL615126,1,17430,Homo sapiens,F,,Intermediate,,163.0,BAO_0000219,
11,80001,9606.0,,1,N,CHEMBL615127,1,17430,Homo sapiens,F,,Intermediate,,163.0,BAO_0000219,
12,80001,9606.0,,1,N,CHEMBL615128,1,17774,Homo sapiens,F,,Expert,,163.0,BAO_0000219,
13,50185,1280.0,,1,N,CHEMBL857900,1,11324,Staphylococcus aureus,F,,Intermediate,,,BAO_0000218,
14,50185,1280.0,,1,N,CHEMBL615129,1,11324,Staphylococcus aureus,F,,Intermediate,,,BAO_0000218,
15,50185,1280.0,,1,N,CHEMBL615130,1,11324,Staphylococcus aureus,F,,Intermediate,,,BAO_0000218,
16,50185,1280.0,,1,N,CHEMBL615131,1,11324,Staphylococcus aureus,F,,Intermediate,,,BAO_0000218,
17,100122,10116.0,,9,D,CHEMBL884521,1,11347,Rattus norvegicus,A,,Expert,,,BAO_0000357,
18,12054,,,8,H,CHEMBL615132,1,16474,,B,,Autocuration,,,BAO_0000357,
19,12054,,,8,H,CHEMBL615133,1,10091,,B,,Autocuration,,,BAO_0000019,
20,12054,,,8,H,CHEMBL615134,1,16474,,B,,Autocuration,,,BAO_0000357,
21,12054,,,8,H,CHEMBL615135,1,16474,,B,,Autocuration,,,BAO_0000357,
22,12054,,,8,H,CHEMBL615136,1,16474,,B,,Autocuration,,,BAO_0000357,
23,12054,,,8,H,CHEMBL615137,1,16474,,B,,Autocuration,,,BAO_0000357,
24,12054,,,8,H,CHEMBL615138,1,16474,,B,,Autocuration,,,BAO_0000357,
25,22226,,,0,U,CHEMBL836324,1,14352,,B,,Autocuration,,,BAO_0000219,
26,12054,9986.0,,8,H,CHEMBL615139,1,5646,Oryctolagus cuniculus,B,,Autocuration,,,BAO_0000357,
27,12054,9986.0,,8,H,CHEMBL615140,1,5646,Oryctolagus cuniculus,B,,Autocuration,,,BAO_0000357,
28,12426,,,8,H,CHEMBL615141,1,10997,,B,,Autocuration,,,BAO_0000219,
29,12054,3847.0,,8,H,CHEMBL615142,1,6309,soya bean,B,,Autocuration,,,BAO_0000357,
30,12054,3847.0,,8,H,CHEMBL615143,1,167,Glycine max,B,,Autocuration,,,BAO_0000357,
31,12054,3847.0,,8,H,CHEMBL615144,1,167,Glycine max,B,,Autocuration,,,BAO_0000357,
32,12054,3847.0,,8,H,CHEMBL872867,1,11087,Glycine max,B,,Autocuration,,,BAO_0000357,
33,12054,3847.0,,8,H,CHEMBL615145,1,11087,Glycine max,B,,Autocuration,,,BAO_0000357,
34,12054,3847.0,,8,H,CHEMBL615146,1,13622,Glycine max,B,,Autocuration,,,BAO_0000357,
35,12054,3847.0,,8,H,CHEMBL615147,1,13622,Glycine max,B,,Autocuration,,,BAO_0000357,
36,22226,10116.0,,0,U,CHEMBL615148,1,11347,Rattus norvegicus,A,,Autocuration,,,BAO_0000019,
37,22226,562.0,,0,U,CHEMBL615149,1,5926,Escherichia coli,B,,Autocuration,,,BAO_0000019,
38,22226,,,0,U,CHEMBL615150,1,4567,,B,,Autocuration,,,BAO_0000019,
39,22222,,,3,M,CHEMBL615151,1,3782,,B,,Intermediate,,,BAO_0000225,
40,22222,,,3,M,CHEMBL615152,1,3782,,B,,Intermediate,,,BAO_0000225,
