Fiscal year,Continent ID,Division ID,Disability issues (marker),Youth issues (marker),Branch ID,Gender equality (marker),Project Browser country ID,Organisation class,Continent name,CountryRegion percent,Division name,Status,Participatory development and good governance,CFLI (marker),Organisation type,CountryRegion name,Amount spent,Bilateral aid (international marker),Project number,ICT as a tool for development (marker),Biodiversity (marker),Indigenous issues (marker),Section ID,Regional program (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Urban issues (marker),Children issues (marker),Knowledge for development (marker),Organisation ID,Organisation name,Organisation sub-class,CountryRegion ID,Sector ID,Sector name,Sector percent
2009/2010,3,D5600,0,0,B5100,0,X3,Multilateral,Asia,0.22,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Asia MC,75768.0,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X3,33140,Multilateral trade negotiations,0.14
2009/2010,3,D5600,0,0,B5100,0,X3,Multilateral,Asia,0.22,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Asia MC,273306.0,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X3,99810,Sectors not specified,0.505
2009/2010,5,D5600,0,0,B5100,0,X4,Multilateral,Europe,0.32,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Europe MC,210969.6,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X4,12191,Medical services,0.268
2009/2010,5,D5600,0,0,B5100,0,X4,Multilateral,Europe,0.32,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Europe MC,36998.4,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X4,14015,Water resources conservation (including data collection),0.047
2009/2010,5,D5600,0,0,B5100,0,X4,Multilateral,Europe,0.32,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Europe MC,31488.0,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X4,23510,Nuclear energy electric power plants,0.04
2009/2010,5,D5600,0,0,B5100,0,X4,Multilateral,Europe,0.32,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Europe MC,110208.0,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X4,33140,Multilateral trade negotiations,0.14
2009/2010,5,D5600,0,0,B5100,0,X4,Multilateral,Europe,0.32,MID International Organizations,Closed,1,0,Foreign Non-Profit Making,Europe MC,397536.0,0,M013170001,1,0,0,S5602,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,X4,99810,Sectors not specified,0.505
2009/2010,1,D5301,0,0,B5100,0,SV,Multilateral,America,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,El Salvador,300000.0,1,M013171001,0,0,0,S5320,0,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,REGIONAL ORGANIZATION,SV,72010,Material relief assistance and services,1.0
2009/2010,2,D5301,0,0,B5100,1,X1,Civil Society,Africa,0.5,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Africa MC,1500000.0,1,M013172001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X1,72010,Material relief assistance and services,1.0
2009/2010,1,D5301,0,0,B5100,1,X2,Civil Society,America,0.15,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Americas MC,450000.0,1,M013172001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X2,72010,Material relief assistance and services,1.0
2009/2010,3,D5301,0,0,B5100,1,X3,Civil Society,Asia,0.3,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Asia MC,900000.0,1,M013172001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X3,72010,Material relief assistance and services,1.0
2009/2010,5,D5301,0,0,B5100,1,X4,Civil Society,Europe,0.05,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Europe MC,150000.0,1,M013172001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X4,72010,Material relief assistance and services,1.0
2009/2010,2,D5301,0,0,B5100,1,X1,Civil Society,Africa,0.5,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Africa MC,1500000.0,1,M013173001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X1,72010,Material relief assistance and services,1.0
2009/2010,1,D5301,0,0,B5100,1,X2,Civil Society,America,0.15,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Americas MC,450000.0,1,M013173001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X2,72010,Material relief assistance and services,1.0
2009/2010,3,D5301,0,0,B5100,1,X3,Civil Society,Asia,0.3,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Asia MC,900000.0,1,M013173001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X3,72010,Material relief assistance and services,1.0
2009/2010,5,D5301,0,0,B5100,1,X4,Civil Society,Europe,0.05,MHDInternational Humanitarian Assistance,Terminating,0,0,Canadian Non-Profit Making,Europe MC,150000.0,1,M013173001,0,0,0,S5330,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X4,72010,Material relief assistance and services,1.0
2009/2010,3,D5301,0,0,B5100,0,LK,Civil Society,Asia,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Sri Lanka,500000.0,1,M013174001,0,0,0,S5320,0,0,0,0,0,0,0,1015332,Mines Advisory Group,NGO,LK,72010,Material relief assistance and services,1.0
2009/2010,3,D5301,0,0,B5100,0,LK,Civil Society,Asia,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Sri Lanka,500000.0,1,M013175001,0,0,0,S5320,0,0,0,0,0,0,0,1015331,The Halo Trust,NGO,LK,72010,Material relief assistance and services,1.0
