assay_tissue,tid,relationship_type,confidence_score,assay_test_type,assay_strain,assay_subcellular_fraction,doc_id,assay_category,description,src_id,assay_organism,curated_by,variant_id,cell_id,src_assay_id,assay_tax_id,assay_cell_type,tissue_id,assay_type,bao_format,chembl_id,assay_id
,12052,H,8,,,,11087,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,1,,Autocuration,,,,,,,B,BAO_0000019,CHEMBL615117,1
,22226,U,0,,,,684,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,1,,Autocuration,,,,,,,F,BAO_0000219,CHEMBL615118,2
,22226,U,0,,,,15453,,,1,,Autocuration,,,,,,,B,BAO_0000019,CHEMBL615119,3
,104729,H,4,,,,17841,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,1,Bos taurus,Autocuration,,,,9913.0,,,B,BAO_0000249,CHEMBL615120,4
,80001,N,1,,,,17430,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,Homo sapiens,Intermediate,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615121,5
,80001,N,1,,,,17430,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,Homo sapiens,Intermediate,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615122,6
,80001,N,1,,,,13799,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,1,Mus musculus,Intermediate,,163.0,,10090.0,143B,,F,BAO_0000219,CHEMBL615123,7
,80001,N,1,,,,17774,,In vitro cell cytotoxicity was determined against 143B cell line,1,Homo sapiens,Expert,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615124,8
,80001,N,1,,,,3801,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,1,Homo sapiens,Intermediate,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615125,9
,80001,N,1,,,,17430,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,Homo sapiens,Intermediate,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615126,10
,80001,N,1,,,,17430,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,Homo sapiens,Intermediate,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615127,11
,80001,N,1,,,,17774,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,1,Homo sapiens,Expert,,163.0,,9606.0,143B,,F,BAO_0000219,CHEMBL615128,12
,50185,N,1,,,,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,Staphylococcus aureus,Intermediate,,,,1280.0,,,F,BAO_0000218,CHEMBL857900,13
,50185,N,1,,,,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,Staphylococcus aureus,Intermediate,,,,1280.0,,,F,BAO_0000218,CHEMBL615129,14
,50185,N,1,,,,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,Staphylococcus aureus,Intermediate,,,,1280.0,,,F,BAO_0000218,CHEMBL615130,15
,50185,N,1,,,,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,Staphylococcus aureus,Intermediate,,,,1280.0,,,F,BAO_0000218,CHEMBL615131,16
,100122,D,9,,,,11347,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,1,Rattus norvegicus,Expert,,,,10116.0,,,A,BAO_0000357,CHEMBL884521,17
,12054,H,8,,,,16474,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),1,,Autocuration,,,,,,,B,BAO_0000357,CHEMBL615132,18
,12054,H,8,,,,10091,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,1,,Autocuration,,,,,,,B,BAO_0000019,CHEMBL615133,19
,12054,H,8,,,,16474,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,Autocuration,,,,,,,B,BAO_0000357,CHEMBL615134,20
,12054,H,8,,,,16474,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),1,,Autocuration,,,,,,,B,BAO_0000357,CHEMBL615135,21
