FisY,SePer,CFLI,Deser,SeNa,KnowFDeve,CIDABuDeliMo,ChIs,UntAmoProBu,ProjNu,ClChAdap,FSTCPer,AmoSp,IRTCPer,PBAT,UrbIss,YouIs,IndigIs,DisIs,ICTAAToFDevelo,GenEqua,OrganID,OrgaNa,OrganiTy,OrganiCl,OrganS,ContID,ContNa,ProjBroCounID,CoRegID,CoRegN,CounRePe,SecID
2009/2010,0.14,0,0,Multilateral trade negotiations,1,Core Funding,0,2460000.0,M013170001,0,0.0,75768.0,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,X3,Asia MC,0.22,33140
2009/2010,0.505,0,0,Sectors not specified,1,Core Funding,0,2460000.0,M013170001,0,0.0,273306.0,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,X3,Asia MC,0.22,99810
2009/2010,0.268,0,0,Medical services,1,Core Funding,0,2460000.0,M013170001,0,0.0,210969.6,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,12191
2009/2010,0.047,0,0,Water resources conservation (including data collection),1,Core Funding,0,2460000.0,M013170001,0,0.0,36998.4,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,14015
2009/2010,0.04,0,0,Nuclear energy electric power plants,1,Core Funding,0,2460000.0,M013170001,0,0.0,31488.0,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,23510
2009/2010,0.14,0,0,Multilateral trade negotiations,1,Core Funding,0,2460000.0,M013170001,0,0.0,110208.0,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,33140
2009/2010,0.505,0,0,Sectors not specified,1,Core Funding,0,2460000.0,M013170001,0,0.0,397536.0,0.0,Not PBA,0,0,0,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,99810
2009/2010,1.0,0,0,Material relief assistance and services,0,Responsive,0,300000.0,M013171001,0,0.0,300000.0,0.0,Not PBA,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,Multilateral,REGIONAL ORGANIZATION,1,America,SV,SV,El Salvador,1.0,72010
2009/2010,1.0,0,0,Material relief assistance and services,0,Core Funding,0,3000000.0,M013172001,0,0.0,1500000.0,0.0,Not PBA,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,2,Africa,X1,X1,Africa MC,0.5,72010
2009/2010,1.0,0,0,Material relief assistance and services,0,Core Funding,0,3000000.0,M013172001,0,0.0,450000.0,0.0,Not PBA,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,1,America,X2,X2,Americas MC,0.15,72010
