variant_id,relationship_type,assay_type,chembl_id,src_id,confidence_score,assay_tissue,bao_format,description,assay_organism,assay_category,cell_id,assay_cell_type,curated_by,src_assay_id,assay_strain,assay_test_type,assay_id,tissue_id,assay_tax_id,tid,doc_id,assay_subcellular_fraction
,N,A,CHEMBL618647,1,1,Kidney,BAO_0000218,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,,,Intermediate,,,In vivo,7524,2113.0,10116.0,50597,9866,
,N,A,CHEMBL618648,1,1,Kidney,BAO_0000218,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,,,Intermediate,,,In vivo,7525,2113.0,10116.0,50597,9866,
,N,A,CHEMBL618649,1,1,Kidney,BAO_0000218,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,,,Intermediate,,,In vivo,7526,2113.0,10116.0,50597,9866,
,N,A,CHEMBL618650,1,1,Liver,BAO_0000218,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,,,Intermediate,,,In vivo,7527,2107.0,10116.0,50597,9866,
,N,A,CHEMBL618651,1,1,Liver,BAO_0000218,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,,,Intermediate,,,In vivo,7528,2107.0,10116.0,50597,9866,
,N,A,CHEMBL876497,1,1,Liver,BAO_0000218,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,,,Intermediate,,,In vivo,7529,2107.0,10116.0,50597,9866,
,N,A,CHEMBL618652,1,1,Lung,BAO_0000218,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,,,Intermediate,,,In vivo,7530,2048.0,10116.0,50597,9866,
,N,A,CHEMBL618653,1,1,Lung,BAO_0000218,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,,,Intermediate,,,In vivo,7531,2048.0,10116.0,50597,9866,
,N,A,CHEMBL618654,1,1,Lung,BAO_0000218,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,,,Intermediate,,,In vivo,7532,2048.0,10116.0,50597,9866,
,N,A,CHEMBL618655,1,1,,BAO_0000218,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Rattus norvegicus,,,,Intermediate,,,,7533,,10116.0,50597,6351,
,N,A,CHEMBL618656,1,1,,BAO_0000218,Compound was tested for solubility in water,Rattus norvegicus,,,,Intermediate,,,,7534,,10116.0,50597,1465,
,U,P,CHEMBL618657,1,0,,BAO_0000100,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,,,Intermediate,,,,7535,,,22229,5182,
,N,A,CHEMBL618658,1,1,,BAO_0000218,Solubility was determined,Rattus norvegicus,,,,Intermediate,,,,7536,,10116.0,50597,17847,
,N,A,CHEMBL618659,1,1,,BAO_0000218,solubility in water (ug/mL) at 37 degree C.,Rattus norvegicus,,,,Intermediate,,,,7537,,10116.0,50597,15339,
,N,A,CHEMBL618660,1,1,,BAO_0000218,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Rattus norvegicus,,,,Intermediate,,,,7538,,10116.0,50597,5202,
,N,A,CHEMBL618661,1,1,,BAO_0000218,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Rattus norvegicus,,,,Intermediate,,,,7539,,10116.0,50597,1088,
,N,A,CHEMBL873807,1,1,,BAO_0000218,Half life in rats,Rattus norvegicus,,,,Intermediate,,,,7540,,10116.0,50597,3169,
,N,A,CHEMBL618662,1,1,,BAO_0000218,Half life in Dawley rat,Rattus norvegicus,,,,Intermediate,,,,7541,,10116.0,50597,5353,
,N,A,CHEMBL618663,1,1,,BAO_0000218,Half life period after 3 mg/kg iv administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7542,,10116.0,50597,2864,
,N,A,CHEMBL618664,1,1,,BAO_0000218,Half life period after 3 mg/kg iv administration in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7543,,10116.0,50597,2864,
,N,A,CHEMBL618665,1,1,,BAO_0000218,Half life period after 3 mg/kg iv administration in the rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7544,,10116.0,50597,2864,
,N,A,CHEMBL876498,1,1,,BAO_0000218,Half life period in female Sprague-Dawley rats,Rattus norvegicus,,,,Intermediate,,,,7545,,10116.0,50597,6362,
,N,A,CHEMBL618666,1,1,,BAO_0000218,Half life period in rat,Rattus norvegicus,,,,Intermediate,,,,7546,,10116.0,50597,6249,
,N,A,CHEMBL620440,1,1,,BAO_0000218,Half-life in rats was determined,Rattus norvegicus,,,,Intermediate,,,,7547,,10116.0,50597,3169,
,N,A,CHEMBL620441,1,1,,BAO_0000218,Half-life in rats with metabolic oxidation,Rattus norvegicus,,,,Intermediate,,,,7548,,10116.0,50597,3169,
,N,A,CHEMBL620442,1,1,,BAO_0000218,Half-life in rats,Rattus norvegicus,,,,Intermediate,,,,7549,,10116.0,50597,3169,
,N,A,CHEMBL620443,1,1,,BAO_0000218,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7550,,10116.0,50597,17260,
,N,A,CHEMBL620444,1,1,,BAO_0000218,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7551,,10116.0,50597,17260,
,N,A,CHEMBL620445,1,1,,BAO_0000218,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7552,,10116.0,50597,17260,
,N,A,CHEMBL620446,1,1,,BAO_0000218,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7553,,10116.0,50597,17260,
,N,A,CHEMBL620447,1,1,Plasma,BAO_0000218,Biological half-life measured in plasma of rat,Rattus norvegicus,,,,Intermediate,,,,7554,1969.0,10116.0,50597,2879,
