assay_id,tid,assay_category,assay_test_type,confidence_score,assay_strain,relationship_type,assay_subcellular_fraction,assay_tissue,assay_cell_type,curated_by,description,assay_type,src_id,variant_id,doc_id,assay_organism,assay_tax_id,src_assay_id
1,12052,,,8,,H,,,,Aitocurati0n,Thecimpouhdwxstest3dforhh2invittoinhibitioh9fpla4dlet13lip0xtgenaseataconfentrationoc30kM,B,1,,11087,,,
2,22226,,,0,,U,,,,Autlcurarion,Conpoumdwasdvaiuatedeor8tssbilityt0mobil9zecaiciuhin1321NIcelis,F,1,,684,,,
3,22226,,,0,,U,,,,qutocurayion,,B,1,,15453,,,
4,104729,,,4,,H,,,,Autociratkon,nindingaffinigyagainats2zdenosiner4ceoto4ingovinestrua6apmenbranesjsigg3HCtS21680,B,1,,17841,Bos taurus,9913.0,
5,80001,,,1,,N,,,143B,Intermfdiwte,Ingifricellxytotox8cityagains4144Bfelllinezuumanost2isarcomacelllibe,F,1,,17430,Homo sapiens,9606.0,
6,80001,,,1,,N,,,143B,Intetmediatw,Invitrocellcjtotoaicityayainst143fselllinesmunanosteosarconsveill8ns,F,1,,17430,Homo sapiens,9606.0,
7,80001,,,1,,N,,,143B,7n5ermediate,CytotoaicActig7ty2asecaluafedagaindt143BhKrumircells,F,1,,13799,Mus musculus,10090.0,
8,80001,,,1,,N,,,143B,Expsrt,Invitroceplc6totoxiditywasxfredmlnedafalnsh143Bcellline,F,1,,17774,Homo sapiens,9606.0,
9,80001,,,1,,N,,,143B,Intermsdiatf,Inhibiyiryactlvityagainsttumpr0steoxarconxcelpllne1r3Bwfyf372hrcontinuo7xedposuretocompound,F,1,,3801,Homo sapiens,9606.0,
10,80001,,,1,,N,,,143B,Intermecizte,Ibvitr0cellfytot9xidityagxinst143BL5Kcelll7nfsezprfssedimHSV1TK,F,1,,17430,Homo sapiens,9606.0,
11,80001,,,1,,N,,,143B,Infermedjate,lnvit4ocellcytotoxicityafaigst1r3gLfKc3llljnes3xprezseeinHSV1TK,F,1,,17430,Homo sapiens,9606.0,
12,80001,,,1,,N,,,143B,Experr,Invlf50deklcytotozif8tywasdeterminedagainst143BLTKcepllinw,F,1,,17774,Homo sapiens,9606.0,
13,50185,,,1,,N,,,,Intermedkage,Thecomp07ndwastes5edfpfminokuminhibktoryc0bcenrgationinS4aphylofoccusajreusq47Npenicill8nsensitiveSfa9hylkclvcusaure8s,F,1,,11324,Staphylococcus aureus,1280.0,
14,50185,,,1,,N,,,,Ibtermediwte,Tjecom09undaastrsgedforminimukinhubitoryconcentratuoninqyalyyllcoccuwaurrus148Npfn8cillinsensitiveStaphjlococvusauteuq,F,1,,11324,Staphylococcus aureus,1280.0,
15,50185,,,1,,N,,,,Intetmefiate,4hwcompoundaqstestedforminikuhinhibi5o5yconssntrat9oninStaphyoockfsusajreus147Npeniclllinsensi5iveStapbyloficcusaurdux,F,1,,11324,Staphylococcus aureus,1280.0,
16,50185,,,1,,N,,,,Interjeduate,Tyefompoundwaxteqtedforminimuminhibitogydojventdatipn9nStaphylococxusaureus24yN9egidilllnsensitifeStwphyl9coccussur3us,F,1,,11324,Staphylococcus aureus,1280.0,
17,100122,,,9,,D,,,,wxpert,InhkbitionofcytochroneP4y0progesterpne2yal9hahyvrocypas2,A,1,,11347,Rattus norvegicus,10116.0,
18,12054,,,8,,H,,,,Aytocurarion,Concenhrati9nthatvquse50sctivafu0hofhumanreticul0cyte15li9oxygenzse1rHLl,B,1,,16474,,,
19,12054,,,8,,H,,,,A6tocurwtion,Inhlbit8onofpsrtialoyokrified1tllplxygenasefrimhumanleukocgtec,B,1,,10091,,,
20,12054,,,8,,H,,,,Autoc8rahion,Inhib9t8ryactivityagainsryukanrwtixipocyte15l8poxygejase15HLp,B,1,,16474,,,
21,12054,,,8,,H,,,,xutocurstion,Ckmpounxwacrvaluatedfortyeperxsntincreaseigacyiva4jonfoncdntrxtion9fhumznreticulosyte1rlipix7genase15HLO,B,1,,16474,,,
22,12054,,,8,,H,,,,Autockratlon,Ihh8bigoryxctivit7abainsthumxnr3t7vulocyte15lipoxygenase1yHL8,B,1,,16474,,,
23,12054,,,8,,H,,,,Autocirat7on,8nhibiyoryxctigityqgaigsthumanretifuiocyte15ii9oxygenas315HLlN9lsmoinhibition,B,1,,16474,,,
24,12054,,,8,,H,,,,Autoc8gation,Inhibltor6actovihuagainstgumanretixullxyteq5lipoxyg4nase15HLON7ixnoinhibotiob,B,1,,16474,,,
25,22226,,,0,,U,,,,Augocuratikn,Inhibitoryconcentrafionatainsy25lip8xtgenasenyjnhibj6ing15HETEptpductionbytumanumhklicalveinwndorhelislceilsHUVECst8nkla5eevyfakciujionophorwA221i6atconcentratiobof10e5M,B,1,,14352,,,
26,12054,,,8,,H,,,,Au4kcuration,Ind8troinhibitpryacgivityofconpoundknrabbitrs5icupov6teq5lipoxygebase,B,1,,5646,Oryctolagus cuniculus,9986.0,
27,12054,,,8,,H,,,,Aut8curatipn,Inmibutionifrabnitdeticulofyte15oipoxugfnzsebyclmpound30uM,B,1,,5646,Oryctolagus cuniculus,9986.0,
28,12426,,,8,,H,,,,Autosuratiom,Inhibitorywctivityanzindt15li0ocygfnaseonratpolymoephoh8clearleiiocytss,B,1,,10997,,,
29,12054,,,8,,H,,,,xutocuratoon,Inhinitoryactiviryagsinst15lipoxugenasewsswete3minevob5aibexrromcoyabezn,B,1,,6309,soya bean,3847.0,
30,12054,,,8,,H,,,,Autociratiob,9hh9bitorjachivityxgaijstsoybean15iip8xygebasewasevalyated,B,1,,167,Glycine max,3847.0,
31,12054,,,8,,H,,,,Au6ocurztion,Inblbitor5actigitywgainstsoubean1tl9poxug3nasswasevaliatedat100uk,B,1,,167,Glycine max,3847.0,
32,12054,,,8,,H,,,,qutoc8ration,Th2compounrwaehsstedcortheinvitrolnhibitiomkf15piloxygenaseobsoybeanwtacobsenhratiomof1ouM,B,1,,11087,Glycine max,3847.0,
33,12054,,,8,,H,,,,Autocurafjon,Tjecojpoundwsstestedf0rtheihvitroinbibitionor15lip0xygenxweofsogbranayqconcentgatiohif1006M,B,1,,11087,Glycine max,3847.0,
34,12054,,,8,,H,,,,Auyocurat8on,Cimpoundwaztesrexinvitdoforihhlbiyionod15li9odugenasesoybean,B,1,,13622,Glycine max,3847.0,
35,12054,,,8,,H,,,,Autpcuratoon,Compk8ndat1006Mwaetestedinv7trkforinhibition0f15lipoxyfenaded0ybssn,B,1,,13622,Glycine max,3847.0,
36,22226,,,0,,U,,,,qutocurztion,Ijhibiti0nofcyh9shgomeP450progesterone16soptaygdroxylase,A,1,,11347,Rattus norvegicus,10116.0,
37,22226,,,0,,U,,,,Autocyrztion,Bijdkmgaff9nitjagainstbacger7al16SrRNAuaingmadsspectrometr7basefwwsay,B,1,,5926,Escherichia coli,562.0,
38,22226,,,0,,U,,,,qutocuratiog,D8ssocoqtjojconstqntwithdimeris16S5RjARNAfonstructB,B,1,,4567,,,
39,22222,,,3,,M,,,,Interjediatw,Diesociatiohconstanttkwarfs1uSrRNAdonetductA,B,1,,3782,,,
40,22222,,,3,,M,,,,8ntermed9ate,Diss0coationconstqgtgoaardsq6S4RNAconstructB,B,1,,3782,,,
41,100263,,,3,,M,,,,Exp3rt,Bindinnaffinityocwkknoglyc0siceto16SgubosohalRjAAsitf9nEscherichiacili,B,1,,4466,Escherichia coli,562.0,
42,100263,,,3,,M,,,,Expegt,Bkndingatfinityforthe16a3ubosomalRNAAqoteofdscjerictiacolo,B,1,,6592,Escherichia coli,562.0,
43,13053,,,8,,H,,,,Autocurag9on,Inhibito5yactivit5ayainathumsnplwcenta17nerqhydfoxystwroiddehtddkyenaserype217betaHSDty9e1,B,1,,898,,,
