miller2_FiY,miller2_PBATy,miller2_CounRePe,miller2_Deser,miller2_OrgNa,miller2_UnAmProjBud,miller2_ICTAATFoDeve,miller2_SectNa,miller2_DiviID,miller2_Sta,miller2_IndiIs,miller2_SeN,miller2_CouReNa,miller2_RegiProg,miller2_CouRegID,miller2_TrDevel,miller2_Biodiv,miller2_UrIss,miller2_ChilIss,miller2_YoIss,miller2_DisaIs,miller2_KnoFoDevelo,miller2_GeEqua,miller2_OrganID,miller2_OrganiT,miller2_OrgaCla,miller2_OrgS,miller2_ConID,miller2_ContiN,miller2_ProjBrowCoID,miller2_SeID,miller2_SePerc,miller2_AmSp
2009/2010,Not PBA,0.22,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Multilateral trade negotiations,Asia MC,0,X3,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,33140,0.14,75768.0
2009/2010,Not PBA,0.22,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Sectors not specified,Asia MC,0,X3,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,99810,0.505,273306.0
2009/2010,Not PBA,0.32,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Medical services,Europe MC,0,X4,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,12191,0.268,210969.6
2009/2010,Not PBA,0.32,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Water resources conservation (including data collection),Europe MC,0,X4,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,14015,0.047,36998.4
2009/2010,Not PBA,0.32,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Nuclear energy electric power plants,Europe MC,0,X4,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,23510,0.04,31488.0
2009/2010,Not PBA,0.32,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Multilateral trade negotiations,Europe MC,0,X4,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,33140,0.14,110208.0
2009/2010,Not PBA,0.32,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,2460000.0,1,MIO United Nations,D5600,Closed,0,Sectors not specified,Europe MC,0,X4,0,0,0,0,0,0,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,99810,0.505,397536.0
2009/2010,Not PBA,1.0,0,PAHO - Pan American Health Organization,300000.0,0,MHI International Humanitarian Assis ops,D5301,Closed,0,Material relief assistance and services,El Salvador,0,SV,0,0,0,0,0,0,0,0,1001300,Foreign Non-Profit Making,Multilateral,REGIONAL ORGANIZATION,1,America,SV,72010,1.0,300000.0
2009/2010,Not PBA,0.5,0,ICRC Appeals via CRCS,3000000.0,0,MHO Huma Organization & Food Assistance,D5301,Terminating,0,Material relief assistance and services,Africa MC,0,X1,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,2,Africa,X1,72010,1.0,1500000.0
2009/2010,Not PBA,0.15,0,ICRC Appeals via CRCS,3000000.0,0,MHO Huma Organization & Food Assistance,D5301,Terminating,0,Material relief assistance and services,Americas MC,0,X2,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,1,America,X2,72010,1.0,450000.0
