assays_ss_d,assays_ss_sbclllr_frctn,assays_dc_d,assays_ss_ctgr,assays_ss_tx_d,assays_ss_cll_tp,assays_ss_tss,assays_ss_tp,assays_ss_strn,assays_b_frmt,assays_tss_d,assays_crtd_b,assays_src_d,assays_src_ss_d,assays_chmbl_d,assays_cll_d,assays_vrnt_d
1,,11087,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615117,,
2,,684,,,,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615118,,
3,,15453,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615119,,
4,,17841,,9913.0,,,B,,BAO_0000249,,Autocuration,1,,CHEMBL615120,,
5,,17430,,9606.0,143B,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615121,163.0,
6,,17430,,9606.0,143B,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615122,163.0,
7,,13799,,10090.0,143B,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615123,163.0,
8,,17774,,9606.0,143B,,F,,BAO_0000219,,Expert,1,,CHEMBL615124,163.0,
9,,3801,,9606.0,143B,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615125,163.0,
10,,17430,,9606.0,143B,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615126,163.0,
11,,17430,,9606.0,143B,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615127,163.0,
12,,17774,,9606.0,143B,,F,,BAO_0000219,,Expert,1,,CHEMBL615128,163.0,
13,,11324,,1280.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL857900,,
14,,11324,,1280.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615129,,
15,,11324,,1280.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615130,,
16,,11324,,1280.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615131,,
17,,11347,,10116.0,,,A,,BAO_0000357,,Expert,1,,CHEMBL884521,,
18,,16474,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615132,,
19,,10091,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615133,,
20,,16474,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615134,,
21,,16474,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615135,,
22,,16474,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615136,,
23,,16474,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615137,,
24,,16474,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615138,,
25,,14352,,,,,B,,BAO_0000219,,Autocuration,1,,CHEMBL836324,,
26,,5646,,9986.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615139,,
27,,5646,,9986.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615140,,
28,,10997,,,,,B,,BAO_0000219,,Autocuration,1,,CHEMBL615141,,
29,,6309,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615142,,
30,,167,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615143,,
