title,year,authors,id,venue
title,year,authors,id,venue
towards a cooperative transaction model - the cooperative activity model,1995,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",0,vldb
sql/xml is making good progress,2002,"a eisenberg , j melton",1,sigmod record
using formal methods to reason about semantics-based decompositions of transactions,1995,"p ammann , s jajodia , i ray",2,vldb
editor 's notes,2002,l liu,3,sigmod record
report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),2002,,4,
schema and database evolution in the o2 object database system,1995,"f ferrandina , t meyer , r zicari , g ferran , j madec",5,vldb
procedures in object-oriented query languages,1995,"k subieta , y kambayashi , j leszczylowski",6,vldb
phoenix project : fault-tolerant applications,2002,"r barga , d lomet",7,sigmod record
mining the world wide web : an information search approach - book review,2002,,8,
l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,1995,"f moser , a kraiss , w klas",9,vldb
report on the nsf workshop on building an infrastructure for mobile and wireless systems,2002,,10,
retrieval of composite multimedia objects,1995,"s chaudhuri , s ghandeharizadeh , c shahabi",11,vldb
mpeg-7 and multimedia database systems,2002,h kosch,12,sigmod record
the fittest survives : an adaptive approach to query optimization,1995,"h lu , k tan , s dao",13,vldb
reminiscences on influential papers,2002,,14,
type classification of semi-structured documents,1995,"m tresch , n palmer , a luniewski",15,vldb
data mining : practical machine learning tools and techniques - book review,2002,j geller,16,sigmod record
managing intra-operator parallelism in parallel database systems,1995,"m mehta , d dewitt",17,vldb
advances in databases and information systems ( adbis ),2002,"a caplinskas , j eder , o vasilecas",18,sigmod record
mining generalized association rules,1995,"r srikant , r agrawal",19,vldb
sampling-based estimation of the number of distinct values of an attribute,1995,"p haas , j naughton , s seshadri , l stokes",20,vldb
book review column,2002,k aberer,21,sigmod record
processing object-oriented queries with invertible late bound functions,1995,"s flodin , t risch",22,vldb
databases and transaction processing : an application-oriented approach - book review,2002,a kemper,23,sigmod record
"the clustra telecom database : high availability , high throughput , and real-time response",1995,"s hvasshovd , и torbjјrnsen , s bratsberg , p holager",24,vldb
conceptual modeling and specification generation for b2b business process based on ebxml,2002,h kim,25,sigmod record
neurorule : a connectionist approach to data mining,1995,"h lu , r setiono , h liu",26,vldb
