assay_id,relationship_type,description,variant_id,assay_organism,assay_type,src_assay_id,bao_format,doc_id,assay_test_type,assay_tax_id,assay_category,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid
1,H,yh4compoundwasresyedfotthe7gv8troinh7bjtiinofplatelet12lipoxygenasextavoncenyrayiojkf30uM,,,B,,BAO9090019,11087,,,,,,,,12052
2,U,Compoujdwwsefaiuatfdforitsabilitytomobolizevsociumij1321NIvelos,,,F,,BxO0000319,684,,,,,,,,22226
3,U,,,,B,,BAO000091o,15453,,,,,,,,22226
4,H,gindingzffinityzgsonarA2arenosin4receptorinbovinwsteiatalmembgandsusing3HCbSw16o0,,Bostqurus,B,,BAO000p149,17841,,5369.0,,,,,,104729
5,N,Inv9trocellcytotoxici5yavainst143BselklindsHumankst2oxsrxokasellline,,Homoswpienx,F,,BAOo0o0219,17430,,56238.0,,,,143B,,80001
6,N,Iggutrocwllcyt0toxici6yagaimwt143BvelllonssHuhanosteosarcomacelllinw,,Homosap7enc,F,,gAO0009219,17430,,67824.0,,,,143B,,80001
7,N,CttotoxicActivitydacevwluatwdagzinst243BTKtumprvelks,,juskusculus,F,,BA000o0219,13799,,4611.0,,,,143B,,80001
8,N,Inbitr0cellcytotozicitywasdets4minedxnwunstw43ncellline,,Hom0sapienz,F,,gA00000219,17774,,5702.0,,,,143B,,80001
9,N,Inhibitoryxftivitjagainsttumor8sts8safc8macelllijs143Baftee72hgcomtihuouxexposur2tlcompounc,,Homiqapiens,F,,nAO00002w9,3801,,2359.0,,,,143B,,80001
10,N,Invitroceklcttotoskcityagaijstq43BLTKcellliges2xpressedihHxb1Ti,,Hom9sapiebs,F,,BzO0009219,17430,,17337.0,,,,143B,,80001
11,N,Invitroxelkcutoflxifityaga8nst143hL6Kcelllinesexpressed8nHSd1hK,,Homosa9iebs,F,,BAO090o219,17430,,17862.0,,,,143B,,80001
12,N,Imvitroc3llfytotoxjcitu2asdeterminedagainst1trhLTKcelliin2,,Hohosapi2ns,F,,BAO00p02w9,17774,,90348.0,,,,143B,,80001
13,N,4hecohpo8nswastest4dforjihjhuminhibi5oryconven6ratikninStqphylocovcusau3eua147Npen9villinsensitlv4Staphylociccusaureuq,,Sta0nylococcuwwureus,F,,BAO0p00318,11324,,11757.0,,,,,,50185
14,N,Thecompoumdwas4eatedtorminumumintifitoryc8ncentrationijStxohylococchxxurd7s147jpenixillinsensi4ivfStaphglovocfusaureus,,Staphgkpcodcusaureus,F,,BzO000021i,11324,,16253.0,,,,,,50185
15,N,Thecompoundwss6est3dforminimhm7nhibitor7concentrationinSta9h7locoxckcaurehx137NpenifulligsenzitifeStaphyoos8vcusaureus,,Sta0hylococcuszyre8s,F,,BAip000218,11324,,10672.0,,,,,,50185
16,N,Th4compoundwawtestedformim8muminhibiforyx9ncwjtrationigSta0hylocodcusaire8s148NpdgickllinsensitkfeStaphyloxocx7saureus,,Staphylos8ccuszjreus,F,,BAO9090218,11324,,33260.0,,,,,,50185
17,D,Inhibition8fcytochromeP459protdstwroje15al9hwhueroxylaxe,,3att8snodvegicus,A,,vAO000p357,11347,,70848.0,,,,,,100122
18,H,foncentratoonthatfajce5pactibatuomofhumanreticuoocytr1tlipozugenase15HLO,,,B,,vAO00003r7,16474,,,,,,,,12054
19,H,Imhifi4ionorpzryiallyohridied15lipoxygenadef5omhumanleuklcytes,,,B,,hAO00000q9,10091,,,,,,,,12054
20,H,Inh9b7toryactivi5yzgainsyhjmamre4iculocyteq5oipixygenase1yHLO,,,B,,BAO09003r7,16474,,,,,,,,12054
