assay_id,assay_tissue,doc_id,cell_id,assay_type,assay_strain,description,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_cell_type,assay_subcellular_fraction,tid
1,,11087,,B,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,,12052
2,,684,,F,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,,22226
3,,15453,,B,,,,,,,,,22226
4,,17841,,B,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,Bos taurus,9913.0,,,104729
5,,17430,163.0,F,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,9606.0,143B,,80001
6,,17430,163.0,F,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,9606.0,143B,,80001
7,,13799,163.0,F,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,Mus musculus,10090.0,143B,,80001
8,,17774,163.0,F,,In vitro cell cytotoxicity was determined against 143B cell line,,,Homo sapiens,9606.0,143B,,80001
9,,3801,163.0,F,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,Homo sapiens,9606.0,143B,,80001
10,,17430,163.0,F,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,9606.0,143B,,80001
11,,17430,163.0,F,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,9606.0,143B,,80001
12,,17774,163.0,F,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,Homo sapiens,9606.0,143B,,80001
13,,11324,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0,,,50185
14,,11324,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0,,,50185
15,,11324,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0,,,50185
16,,11324,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0,,,50185
17,,11347,,A,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,Rattus norvegicus,10116.0,,,100122
18,,16474,,B,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,12054
19,,10091,,B,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,,12054
20,,16474,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,12054
21,,16474,,B,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,12054
