FisYe,IRTCPe,SectN,BraID,SecPe,GenEq,PartDeveloAGGover,OrganS,RegPro,YouIs,SecID,SectID,ClimChaAdap,Biodiv,CoRegNa,FSTCPer,OrganiTy,KnowlFoDevel,St,ClimChMit,OrgaCl,CIDABuDeliMod,IndIs,DisaIss,AmSp,ICTAATFDevel,DiNa,ContiID,ProgrPro,CFLI,CoRegPerc,ProjNu,Desertif,ChilIs,FCeID,TraDevel,UrbIs,OrganID,OrganiNa,ContiN,ProjBrowCouID,CoRegID,SecNa
2009/2010,0.0,MIO United Nations,B5100,0.14,0,1,UNITED NATIONS,0,0,33140,S5602,0,0,Asia MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,75768.0,1,MID International Organizations,3,Uncoded: Pre-APP,0,0.22,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Asia,X3,X3,Multilateral trade negotiations
2009/2010,0.0,MIO United Nations,B5100,0.505,0,1,UNITED NATIONS,0,0,99810,S5602,0,0,Asia MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,273306.0,1,MID International Organizations,3,Uncoded: Pre-APP,0,0.22,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Asia,X3,X3,Sectors not specified
2009/2010,0.0,MIO United Nations,B5100,0.268,0,1,UNITED NATIONS,0,0,12191,S5602,0,0,Europe MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,210969.6,1,MID International Organizations,5,Uncoded: Pre-APP,0,0.32,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe,X4,X4,Medical services
2009/2010,0.0,MIO United Nations,B5100,0.047,0,1,UNITED NATIONS,0,0,14015,S5602,0,0,Europe MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,36998.4,1,MID International Organizations,5,Uncoded: Pre-APP,0,0.32,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe,X4,X4,Water resources conservation (including data collection)
2009/2010,0.0,MIO United Nations,B5100,0.04,0,1,UNITED NATIONS,0,0,23510,S5602,0,0,Europe MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,31488.0,1,MID International Organizations,5,Uncoded: Pre-APP,0,0.32,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe,X4,X4,Nuclear energy electric power plants
2009/2010,0.0,MIO United Nations,B5100,0.14,0,1,UNITED NATIONS,0,0,33140,S5602,0,0,Europe MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,110208.0,1,MID International Organizations,5,Uncoded: Pre-APP,0,0.32,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe,X4,X4,Multilateral trade negotiations
2009/2010,0.0,MIO United Nations,B5100,0.505,0,1,UNITED NATIONS,0,0,99810,S5602,0,0,Europe MC,0.0,Foreign Non-Profit Making,1,Closed,0,Multilateral,Core Funding,0,0,397536.0,1,MID International Organizations,5,Uncoded: Pre-APP,0,0.32,M013170001,0,0,5291,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe,X4,X4,Sectors not specified
2009/2010,0.0,MHI International Humanitarian Assis ops,B5100,1.0,0,0,REGIONAL ORGANIZATION,0,0,72010,S5320,0,0,El Salvador,0.0,Foreign Non-Profit Making,0,Closed,0,Multilateral,Responsive,0,0,300000.0,0,MHDInternational Humanitarian Assistance,1,Uncoded: Pre-APP,0,1.0,M013171001,0,0,5303,0,0,1001300,PAHO - Pan American Health Organization,America,SV,SV,Material relief assistance and services
2009/2010,0.0,MHO Huma Organization & Food Assistance,B5100,1.0,1,0,INTERNATIONAL NGO,0,0,72010,S5330,0,0,Africa MC,0.0,Canadian Non-Profit Making,0,Terminating,0,Civil Society,Core Funding,0,0,1500000.0,0,MHDInternational Humanitarian Assistance,2,Uncoded: Pre-APP,0,0.5,M013172001,0,0,5311,0,0,1014663,ICRC Appeals via CRCS,Africa,X1,X1,Material relief assistance and services
2009/2010,0.0,MHO Huma Organization & Food Assistance,B5100,1.0,1,0,INTERNATIONAL NGO,0,0,72010,S5330,0,0,Americas MC,0.0,Canadian Non-Profit Making,0,Terminating,0,Civil Society,Core Funding,0,0,450000.0,0,MHDInternational Humanitarian Assistance,1,Uncoded: Pre-APP,0,0.15,M013172001,0,0,5311,0,0,1014663,ICRC Appeals via CRCS,America,X2,X2,Material relief assistance and services
