assay_id,cell_id,curated_by,tissue_id,assay_subcellular_fraction,assay_type,src_assay_id,assay_tax_id,assay_organism,variant_id,confidence_score,doc_id,src_id,bao_format,chembl_id,assay_strain,description,assay_test_type,assay_category
1,,Aut0curati0n,,,B,,,,,8,11087,1,BxOp000019,CHEMBL71511y,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,
2,,Aut9curqtion,,,F,,,,,0,684,1,BAO000022o,CHEMBi615218,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,
3,,Aut0chration,,,B,,,,,0,15453,1,vAO0p00019,CtwMBL615119,,,,
4,,Auroduration,,,B,,13357.0,Boctaurus,,4,17841,1,gAl0000249,CHEMBL61y130,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,
5,373.0,untermeriate,,,F,,3569.0,Hlmosqpiens,,1,17430,1,BAk000021o,vHdMBL615121,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,
6,909.0,Intermedlat3,,,F,,13954.0,H8moeapiens,,1,17430,1,BAO00o0229,CjEMBL61r122,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,
7,631.0,untermddiate,,,F,,3400.0,Musk6sculus,,1,13799,1,BsO0p00219,CHdkBL615123,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,
8,821.0,2xpert,,,F,,2327.0,Honosapiena,,1,17774,1,BsO0009219,CH2MBL615224,,In vitro cell cytotoxicity was determined against 143B cell line,,
9,756.0,Intermwxiate,,,F,,30999.0,Homosapjems,,1,3801,1,BAi00002w9,CmEMBL6151e5,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,
10,440.0,In5ermedia5e,,,F,,1934.0,H8mosapiems,,1,17430,1,BqO9000219,CjEMBL615w26,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,
11,601.0,Ihtermediatw,,,F,,15982.0,Hom9aapiens,,1,17430,1,BAO0o0021p,CHEMBLt151w7,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,
12,749.0,Experh,,,F,,15249.0,Homosap8ems,,1,17774,1,BAO00op219,CHEMBo614128,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,
13,,Intermeeiwte,,,F,,21955.0,Stzphypoc8ccksaureus,,1,11324,1,BAl0000w18,CHEMBL8r79p0,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
14,,Intermedkatf,,,F,,18886.0,Staphyoococcuxaireud,,1,11324,1,BAi0900218,xH3MBL615129,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
15,,ontetmediate,,,F,,26748.0,Staphtlixoccuzaureus,,1,11324,1,gAO000021o,vHEMBk615130,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
16,,In4ermesiate,,,F,,6452.0,Staphylocovdusa7reys,,1,11324,1,BA00000219,CHEMBL5151e1,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,
17,,Exoert,,,A,,22103.0,Rattusn8rgegicua,,9,11347,1,BAOp0o0357,CgEMBL8o4521,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,
18,,A6tocuratiin,,,B,,,,,8,16474,1,BA9000p357,CHEMBL6w513e,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,
