cell_id,assay_cell_type,tissue_id,assay_subcellular_fraction,description,variant_id,relationship_type,assay_tissue,src_id,assay_strain,assay_organism,confidence_score,assay_type,chembl_id,assay_id,tid,curated_by,assay_tax_id,assay_category,bao_format,assay_test_type,doc_id,src_assay_id
,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,H,,1,,,8,B,CHEMBL615117,1,12052,Autocuration,,,BAO_0000019,,11087,
,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,U,,1,,,0,F,CHEMBL615118,2,22226,Autocuration,,,BAO_0000219,,684,
,,,,,,U,,1,,,0,B,CHEMBL615119,3,22226,Autocuration,,,BAO_0000019,,15453,
,,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,H,,1,,Bos taurus,4,B,CHEMBL615120,4,104729,Autocuration,9913.0,,BAO_0000249,,17841,
163.0,143B,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,,1,,Homo sapiens,1,F,CHEMBL615121,5,80001,Intermediate,9606.0,,BAO_0000219,,17430,
163.0,143B,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,,1,,Homo sapiens,1,F,CHEMBL615122,6,80001,Intermediate,9606.0,,BAO_0000219,,17430,
163.0,143B,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,N,,1,,Mus musculus,1,F,CHEMBL615123,7,80001,Intermediate,10090.0,,BAO_0000219,,13799,
163.0,143B,,,In vitro cell cytotoxicity was determined against 143B cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615124,8,80001,Expert,9606.0,,BAO_0000219,,17774,
163.0,143B,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,N,,1,,Homo sapiens,1,F,CHEMBL615125,9,80001,Intermediate,9606.0,,BAO_0000219,,3801,
163.0,143B,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,,1,,Homo sapiens,1,F,CHEMBL615126,10,80001,Intermediate,9606.0,,BAO_0000219,,17430,
163.0,143B,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,,1,,Homo sapiens,1,F,CHEMBL615127,11,80001,Intermediate,9606.0,,BAO_0000219,,17430,
163.0,143B,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615128,12,80001,Expert,9606.0,,BAO_0000219,,17774,
,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,1,,Staphylococcus aureus,1,F,CHEMBL857900,13,50185,Intermediate,1280.0,,BAO_0000218,,11324,
,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,1,,Staphylococcus aureus,1,F,CHEMBL615129,14,50185,Intermediate,1280.0,,BAO_0000218,,11324,
,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,1,,Staphylococcus aureus,1,F,CHEMBL615130,15,50185,Intermediate,1280.0,,BAO_0000218,,11324,
,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,1,,Staphylococcus aureus,1,F,CHEMBL615131,16,50185,Intermediate,1280.0,,BAO_0000218,,11324,
,,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,D,,1,,Rattus norvegicus,9,A,CHEMBL884521,17,100122,Expert,10116.0,,BAO_0000357,,11347,
,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,H,,1,,,8,B,CHEMBL615132,18,12054,Autocuration,,,BAO_0000357,,16474,
,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,H,,1,,,8,B,CHEMBL615133,19,12054,Autocuration,,,BAO_0000019,,10091,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,,1,,,8,B,CHEMBL615134,20,12054,Autocuration,,,BAO_0000357,,16474,
,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,H,,1,,,8,B,CHEMBL615135,21,12054,Autocuration,,,BAO_0000357,,16474,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,,1,,,8,B,CHEMBL615136,22,12054,Autocuration,,,BAO_0000357,,16474,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,,1,,,8,B,CHEMBL615137,23,12054,Autocuration,,,BAO_0000357,,16474,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,,1,,,8,B,CHEMBL615138,24,12054,Autocuration,,,BAO_0000357,,16474,
,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,U,,1,,,0,B,CHEMBL836324,25,22226,Autocuration,,,BAO_0000219,,14352,
,,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,H,,1,,Oryctolagus cuniculus,8,B,CHEMBL615139,26,12054,Autocuration,9986.0,,BAO_0000357,,5646,
,,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,H,,1,,Oryctolagus cuniculus,8,B,CHEMBL615140,27,12054,Autocuration,9986.0,,BAO_0000357,,5646,
,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,H,,1,,,8,B,CHEMBL615141,28,12426,Autocuration,,,BAO_0000219,,10997,
,,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,H,,1,,soya bean,8,B,CHEMBL615142,29,12054,Autocuration,3847.0,,BAO_0000357,,6309,
,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,H,,1,,Glycine max,8,B,CHEMBL615143,30,12054,Autocuration,3847.0,,BAO_0000357,,167,
,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,H,,1,,Glycine max,8,B,CHEMBL615144,31,12054,Autocuration,3847.0,,BAO_0000357,,167,
,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,H,,1,,Glycine max,8,B,CHEMBL872867,32,12054,Autocuration,3847.0,,BAO_0000357,,11087,
,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,H,,1,,Glycine max,8,B,CHEMBL615145,33,12054,Autocuration,3847.0,,BAO_0000357,,11087,
,,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,,1,,Glycine max,8,B,CHEMBL615146,34,12054,Autocuration,3847.0,,BAO_0000357,,13622,
,,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,,1,,Glycine max,8,B,CHEMBL615147,35,12054,Autocuration,3847.0,,BAO_0000357,,13622,
,,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,U,,1,,Rattus norvegicus,0,A,CHEMBL615148,36,22226,Autocuration,10116.0,,BAO_0000019,,11347,
,,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,U,,1,,Escherichia coli,0,B,CHEMBL615149,37,22226,Autocuration,562.0,,BAO_0000019,,5926,
