CHI,Ti,ASST,ASSTIS,ASTET,ASTY,CEI,ASI,ASSTI,TII,Descr,RELATITY,ASSUBCELFRA,CONSC,VAI,CUB,SI,BAFO,SASI,ASOR,DOI,ASSCATE,ASSCETY
CHEMBL618647,50597,,Kidney,In vivo,A,,7524,10116.0,2113.0,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618648,50597,,Kidney,In vivo,A,,7525,10116.0,2113.0,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618649,50597,,Kidney,In vivo,A,,7526,10116.0,2113.0,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618650,50597,,Liver,In vivo,A,,7527,10116.0,2107.0,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618651,50597,,Liver,In vivo,A,,7528,10116.0,2107.0,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL876497,50597,,Liver,In vivo,A,,7529,10116.0,2107.0,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618652,50597,,Lung,In vivo,A,,7530,10116.0,2048.0,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618653,50597,,Lung,In vivo,A,,7531,10116.0,2048.0,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618654,50597,,Lung,In vivo,A,,7532,10116.0,2048.0,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL618655,50597,,,,A,,7533,10116.0,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6351,,
CHEMBL618656,50597,,,,A,,7534,10116.0,,Compound was tested for solubility in water,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1465,,
CHEMBL618657,22229,,,,P,,7535,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),U,,0,,Intermediate,1,BAO_0000100,,,5182,,
CHEMBL618658,50597,,,,A,,7536,10116.0,,Solubility was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17847,,
CHEMBL618659,50597,,,,A,,7537,10116.0,,solubility in water (ug/mL) at 37 degree C.,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15339,,
CHEMBL618660,50597,,,,A,,7538,10116.0,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5202,,
CHEMBL618661,50597,,,,A,,7539,10116.0,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1088,,
CHEMBL873807,50597,,,,A,,7540,10116.0,,Half life in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3169,,
CHEMBL618662,50597,,,,A,,7541,10116.0,,Half life in Dawley rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5353,,
CHEMBL618663,50597,,,In vivo,A,,7542,10116.0,,Half life period after 3 mg/kg iv administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2864,,
CHEMBL618664,50597,,,In vivo,A,,7543,10116.0,,Half life period after 3 mg/kg iv administration in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2864,,
CHEMBL618665,50597,,,In vivo,A,,7544,10116.0,,Half life period after 3 mg/kg iv administration in the rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2864,,
CHEMBL876498,50597,,,,A,,7545,10116.0,,Half life period in female Sprague-Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6362,,
CHEMBL618666,50597,,,,A,,7546,10116.0,,Half life period in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6249,,
CHEMBL620440,50597,,,,A,,7547,10116.0,,Half-life in rats was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3169,,
CHEMBL620441,50597,,,,A,,7548,10116.0,,Half-life in rats with metabolic oxidation,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3169,,
CHEMBL620442,50597,,,,A,,7549,10116.0,,Half-life in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3169,,
CHEMBL620443,50597,,,In vivo,A,,7550,10116.0,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17260,,
CHEMBL620444,50597,,,In vivo,A,,7551,10116.0,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17260,,
CHEMBL620445,50597,,,In vivo,A,,7552,10116.0,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17260,,
CHEMBL620446,50597,,,In vivo,A,,7553,10116.0,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17260,,
CHEMBL620447,50597,,Plasma,,A,,7554,10116.0,1969.0,Biological half-life measured in plasma of rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2879,,
CHEMBL621129,50597,,Plasma,,A,,7555,10116.0,1969.0,Biological half-life measured in plasma of rat; 22-25,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2879,,
CHEMBL621130,50597,,Plasma,,A,,7556,10116.0,1969.0,Biological half-life measured in plasma of rat; 9-16,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2879,,
CHEMBL873808,50597,,,In vivo,A,,7557,10116.0,,Compound was evaluated for its half life when administered intravenously in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3184,,
CHEMBL876598,50597,,,In vivo,A,,7558,10116.0,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4891,,
CHEMBL621131,50597,,,In vivo,A,,7559,10116.0,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,429,,
CHEMBL621132,50597,,,In vivo,A,,7560,10116.0,,Half life (T1/2) after oral administration in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5656,,
CHEMBL621133,50597,,,In vivo,A,,7561,10116.0,,Half life of compound after iv administration of 20 mg/kg dose in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4413,,
CHEMBL621312,50597,,,In vivo,A,,7562,10116.0,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,N,,1,,Expert,1,BAO_0000218,,Rattus norvegicus,3598,,
CHEMBL621313,50597,,,,A,,7563,10116.0,,Half life of compound was determined in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17267,,
CHEMBL621314,50597,,Blood,,A,,7564,10116.0,178.0,Half life of compound was determined in rat blood,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4727,,
CHEMBL621315,50597,,,In vivo,A,,7565,10116.0,,Half life at 1 mg/kg was determined in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17651,,
CHEMBL621316,50597,,,In vivo,A,,7566,10116.0,,Half life at 10 mg/kg was determined in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17651,,
CHEMBL621317,50597,,,,A,,7567,10116.0,,Half life in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,401,,
CHEMBL621318,50597,,,,A,,7568,10116.0,,Half life in rats in hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4942,,
CHEMBL621319,50597,,,In vivo,A,,7569,10116.0,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17735,,
CHEMBL621377,50597,,,In vivo,A,,7570,10116.0,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6056,,
CHEMBL621378,50597,,,,A,,7571,10116.0,,Half life was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5213,,
CHEMBL876599,50597,,,In vivo,A,,7572,10116.0,,Half life after i.v. administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6616,,
CHEMBL621379,50597,,,In vivo,A,,7573,10116.0,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5937,,
CHEMBL621380,50597,,Plasma,,A,,7574,10116.0,1969.0,Half life in rat plasma,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5819,,
CHEMBL621381,50597,,Plasma,,A,,7575,10116.0,1969.0,Half life in rat plasma; Not detected,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5819,,
CHEMBL618515,50597,,,,A,,7576,10116.0,,Half life in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6803,,
CHEMBL618516,50597,,,In vivo,A,,7577,10116.0,,Half life period of compound was determined after peroral administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17804,,
CHEMBL618517,50597,,,In vivo,A,,7578,10116.0,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17804,,
CHEMBL618518,50597,,,,A,,7579,10116.0,,Half life period in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5948,,
