assays_assay_id,assays_bao_format,assays_assay_type,assays_tid,assays_assay_test_type,assays_curated_by,assays_assay_subcellular_fraction,assays_relationship_type,assays_confidence_score,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_tissue_id,assays_variant_id
1,BAO_0000019,B,12052,,Autocuration,,H,8,1,,CHEMBL615117,,,
2,BAO_0000219,F,22226,,Autocuration,,U,0,1,,CHEMBL615118,,,
3,BAO_0000019,B,22226,,Autocuration,,U,0,1,,CHEMBL615119,,,
4,BAO_0000249,B,104729,,Autocuration,,H,4,1,,CHEMBL615120,,,
5,BAO_0000219,F,80001,,Intermediate,,N,1,1,,CHEMBL615121,163.0,,
6,BAO_0000219,F,80001,,Intermediate,,N,1,1,,CHEMBL615122,163.0,,
7,BAO_0000219,F,80001,,Intermediate,,N,1,1,,CHEMBL615123,163.0,,
8,BAO_0000219,F,80001,,Expert,,N,1,1,,CHEMBL615124,163.0,,
9,BAO_0000219,F,80001,,Intermediate,,N,1,1,,CHEMBL615125,163.0,,
10,BAO_0000219,F,80001,,Intermediate,,N,1,1,,CHEMBL615126,163.0,,
11,BAO_0000219,F,80001,,Intermediate,,N,1,1,,CHEMBL615127,163.0,,
12,BAO_0000219,F,80001,,Expert,,N,1,1,,CHEMBL615128,163.0,,
13,BAO_0000218,F,50185,,Intermediate,,N,1,1,,CHEMBL857900,,,
14,BAO_0000218,F,50185,,Intermediate,,N,1,1,,CHEMBL615129,,,
15,BAO_0000218,F,50185,,Intermediate,,N,1,1,,CHEMBL615130,,,
16,BAO_0000218,F,50185,,Intermediate,,N,1,1,,CHEMBL615131,,,
17,BAO_0000357,A,100122,,Expert,,D,9,1,,CHEMBL884521,,,
18,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615132,,,
19,BAO_0000019,B,12054,,Autocuration,,H,8,1,,CHEMBL615133,,,
20,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615134,,,
21,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615135,,,
22,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615136,,,
23,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615137,,,
24,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615138,,,
25,BAO_0000219,B,22226,,Autocuration,,U,0,1,,CHEMBL836324,,,
26,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615139,,,
27,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615140,,,
28,BAO_0000219,B,12426,,Autocuration,,H,8,1,,CHEMBL615141,,,
29,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615142,,,
30,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615143,,,
31,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615144,,,
32,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL872867,,,
33,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615145,,,
34,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615146,,,
35,BAO_0000357,B,12054,,Autocuration,,H,8,1,,CHEMBL615147,,,
36,BAO_0000019,A,22226,,Autocuration,,U,0,1,,CHEMBL615148,,,
37,BAO_0000019,B,22226,,Autocuration,,U,0,1,,CHEMBL615149,,,
38,BAO_0000019,B,22226,,Autocuration,,U,0,1,,CHEMBL615150,,,
39,BAO_0000225,B,22222,,Intermediate,,M,3,1,,CHEMBL615151,,,
40,BAO_0000225,B,22222,,Intermediate,,M,3,1,,CHEMBL615152,,,
41,BAO_0000225,B,100263,,Expert,,M,3,1,,CHEMBL615153,,,
42,BAO_0000225,B,100263,,Expert,,M,3,1,,CHEMBL615154,,,
43,BAO_0000019,B,13053,,Autocuration,,H,8,1,,CHEMBL615155,,,
44,BAO_0000019,B,13053,,Autocuration,,H,8,1,,CHEMBL615156,,,
45,BAO_0000019,B,20001,,Autocuration,,H,8,1,,CHEMBL615157,,,
46,BAO_0000019,B,20001,,Autocuration,,H,8,1,,CHEMBL615158,,,
47,BAO_0000019,B,12971,,Expert,,D,9,1,,CHEMBL615159,,,
48,BAO_0000019,B,12971,,Expert,,D,9,1,,CHEMBL615172,,,
49,BAO_0000019,B,12971,,Expert,,D,9,1,,CHEMBL615173,,,
50,BAO_0000019,B,12971,,Expert,,D,9,1,,CHEMBL615174,,,
51,BAO_0000019,B,13053,,Autocuration,,H,8,1,,CHEMBL884518,,,
52,BAO_0000357,B,11512,,Autocuration,,H,8,1,,CHEMBL615175,,,
53,BAO_0000357,B,11512,,Autocuration,,H,8,1,,CHEMBL615176,,,
54,BAO_0000357,B,11512,,Autocuration,,H,8,1,,CHEMBL615177,,,
55,BAO_0000249,B,104740,,Autocuration,Membranes,D,5,1,,CHEMBL615178,,,
56,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615179,506.0,,
57,BAO_0000219,F,104835,,Autocuration,,D,7,1,,CHEMBL615180,,,
58,BAO_0000219,F,104821,,Autocuration,,D,7,1,,CHEMBL615181,,,
59,BAO_0000219,F,104848,,Autocuration,,D,7,1,,CHEMBL615182,,,
60,BAO_0000219,F,80002,,Expert,,N,1,1,,CHEMBL615183,506.0,,
61,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615184,506.0,,
62,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615185,506.0,,
63,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615186,506.0,,
64,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615187,506.0,,
65,BAO_0000219,F,80002,,Expert,,N,1,1,,CHEMBL885343,506.0,,
66,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615188,506.0,,
67,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615189,506.0,,
68,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615190,506.0,,
69,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615191,506.0,,
70,BAO_0000219,F,80002,,Expert,,N,1,1,,CHEMBL615192,506.0,,
71,BAO_0000219,F,80002,,Expert,,N,1,1,,CHEMBL827083,506.0,,
72,BAO_0000219,F,80002,,Expert,,N,1,1,,CHEMBL615193,506.0,,
73,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615194,506.0,,
74,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615195,506.0,,
75,BAO_0000219,F,80002,,Intermediate,,N,1,1,,CHEMBL615196,506.0,,
76,BAO_0000219,F,81072,,Intermediate,,N,1,1,,CHEMBL615197,503.0,,
77,BAO_0000019,F,22226,,Intermediate,,U,0,1,,CHEMBL615198,,,
78,BAO_0000357,A,100121,,Expert,,D,9,1,,CHEMBL615199,,,
79,BAO_0000357,B,11231,,Expert,,H,8,1,,CHEMBL615200,,,
80,BAO_0000357,B,11231,,Expert,,H,8,1,,CHEMBL615201,,,
81,BAO_0000357,B,11231,,Expert,,H,8,1,,CHEMBL615202,,,
82,BAO_0000251,B,11231,,Autocuration,Microsomes,H,8,1,,CHEMBL615203,,,
83,BAO_0000251,B,11231,,Autocuration,Microsomes,H,8,1,,CHEMBL615204,,,
84,BAO_0000251,B,11231,,Autocuration,Microsomes,H,8,1,,CHEMBL615205,,,
85,BAO_0000251,B,11231,,Autocuration,Microsomes,H,8,1,,CHEMBL615206,,,
86,BAO_0000251,B,12083,,Autocuration,Microsomes,H,8,1,,CHEMBL615207,,2107.0,
87,BAO_0000019,B,11231,,Autocuration,,H,8,1,,CHEMBL827084,,,
88,BAO_0000019,B,11231,,Autocuration,,H,8,1,,CHEMBL615208,,,
89,BAO_0000019,B,11231,,Autocuration,,H,8,1,,CHEMBL615209,,,
90,BAO_0000251,B,12083,,Autocuration,Microsomes,D,9,1,,CHEMBL615210,,2107.0,
91,BAO_0000251,B,12083,,Autocuration,Microsomes,D,9,1,,CHEMBL615211,,2107.0,
92,BAO_0000251,B,12083,,Autocuration,Microsomes,D,9,1,,CHEMBL615212,,2107.0,
93,BAO_0000357,B,11377,,Expert,,H,8,1,,CHEMBL615213,,,
94,BAO_0000357,B,11377,,Expert,,H,8,1,,CHEMBL615273,,,
95,BAO_0000219,F,81020,,Expert,,N,1,1,,CHEMBL615274,726.0,,
96,BAO_0000219,F,81020,,Intermediate,,N,1,1,,CHEMBL615275,726.0,,
