film_id,attore_id,nome,cognome
146,149,RUSSELL,TEMPLE
854,11,ZERO,CAGE
830,120,PENELOPE,MONROE
473,89,CHARLIZE,DENCH
316,117,RENEE,TRACY
221,184,HUMPHREY,GARLAND
197,64,RAY,JOHANSSON
84,113,MORGAN,HOPKINS
153,57,JUDE,CRUISE
882,189,CUBA,BIRCH
925,188,ROCK,DUKAKIS
590,182,DEBBIE,AKROYD
31,60,HENRY,BERRY
396,8,MATTHEW,JOHANSSON
121,158,VIVIEN,BASINGER
670,140,WHOOPI,HURT
417,187,RENEE,BALL
758,101,SUSAN,DAVIS
287,48,FRANCES,DAY-LEWIS
963,77,CARY,MCCONAUGHEY
306,33,MILLA,PECK
717,120,PENELOPE,MONROE
955,146,ALBERT,JOHANSSON
923,167,LAURENCE,BULLOCK
347,65,ANGELA,HUDSON
122,76,ANGELINA,ASTAIRE
639,138,LUCILLE,DEE
1,40,JOHNNY,CAGE
146,20,LUCILLE,TRACY
144,151,GEOFFREY,HESTON
161,87,SPENCER,PECK
938,153,MINNIE,KILMER
627,73,GARY,PENN
320,94,KENNETH,TORN
785,19,BOB,FAWCETT
873,9,JOE,SWANK
872,74,MILLA,KEITEL
229,136,ED,MANSFIELD
827,176,JON,CHASE
405,173,ALAN,DREYFUSS
604,157,GRETA,MALDEN
251,10,CHRISTIAN,GABLE
474,56,DAN,HARRIS
306,166,NICK,DEGENERES
399,71,ADAM,GRANT
367,79,MAE,HOFFMAN
529,172,GROUCHO,WILLIAMS
795,15,CUBA,OLIVIER
940,194,MERYL,ALLEN
185,74,MILLA,KEITEL
927,134,GENE,HOPKINS
971,60,HENRY,BERRY
630,85,MINNIE,ZELLWEGER
965,185,MICHAEL,BOLGER
95,186,JULIA,ZELLWEGER
233,40,JOHNNY,CAGE
570,87,SPENCER,PECK
206,131,JANE,JACKMAN
259,28,WOODY,HOFFMAN
256,136,ED,MANSFIELD
244,34,AUDREY,OLIVIER
694,37,VAL,BOLGER
677,104,PENELOPE,CRONYN
187,76,ANGELINA,ASTAIRE
467,156,FAY,WOOD
133,133,RICHARD,PENN
544,102,WALTER,TORN
233,139,EWAN,GOODING
994,6,BETTE,NICHOLSON
661,172,GROUCHO,WILLIAMS
56,43,KIRK,JOVOVICH
910,129,DARYL,CRAWFORD
971,34,AUDREY,OLIVIER
39,118,CUBA,ALLEN
55,118,CUBA,ALLEN
969,146,ALBERT,JOHANSSON
88,21,KIRSTEN,PALTROW
486,96,GENE,WILLIS
463,45,REESE,KILMER
764,26,RIP,CRAWFORD
386,53,MENA,TEMPLE
609,172,GROUCHO,WILLIAMS
846,34,AUDREY,OLIVIER
884,164,HUMPHREY,WILLIS
217,157,GRETA,MALDEN
628,197,REESE,WEST
456,181,MATTHEW,CARREY
732,30,SANDRA,PECK
38,46,PARKER,GOLDBERG
799,40,JOHNNY,CAGE
90,92,KIRSTEN,AKROYD
992,100,SPENCER,DEPP
892,6,BETTE,NICHOLSON
508,75,BURT,POSEY
112,24,CAMERON,STREEP
368,133,RICHARD,PENN
971,191,GREGORY,GOODING
489,54,PENELOPE,PINKETT
34,126,FRANCES,TOMEI
473,165,AL,GARLAND
967,109,SYLVESTER,DERN
321,21,KIRSTEN,PALTROW
788,166,NICK,DEGENERES
305,41,JODIE,DEGENERES
473,144,ANGELA,WITHERSPOON
34,57,JUDE,CRUISE
649,177,GENE,MCKELLEN
256,35,JUDY,DEAN
192,57,JUDE,CRUISE
86,78,GROUCHO,SINATRA
516,104,PENELOPE,CRONYN
816,28,WOODY,HOFFMAN
828,182,DEBBIE,AKROYD
2,85,MINNIE,ZELLWEGER
925,90,SEAN,GUINESS
16,57,JUDE,CRUISE
85,27,JULIA,MCQUEEN
64,158,VIVIEN,BASINGER
207,141,CATE,HARRIS
921,131,JANE,JACKMAN
199,126,FRANCES,TOMEI
546,42,TOM,MIRANDA
144,120,PENELOPE,MONROE
110,29,ALEC,WAYNE
576,143,RIVER,DEAN
714,182,DEBBIE,AKROYD
917,43,KIRK,JOVOVICH
605,102,WALTER,TORN
593,188,ROCK,DUKAKIS
274,50,NATALIE,HOPKINS
642,184,HUMPHREY,GARLAND
494,145,KIM,ALLEN
958,43,KIRK,JOVOVICH
331,86,GREG,CHAPLIN
