stato_id,stato
69,Nigeria
84,Slovakia
74,Peru
108,Yugoslavia
100,Ukraine
35,French Guiana
103,United States
72,Pakistan
5,Anguilla
76,Poland
11,Bahrain
19,Cameroon
1,Afghanistan
22,Chile
83,Senegal
20,Canada
107,Yemen
86,South Korea
50,Japan
58,Malawi
96,Tunisia
8,Australia
57,Madagascar
46,Iran
67,Netherlands
92,Taiwan
63,Mozambique
15,Brazil
99,Tuvalu
47,Iraq
45,Indonesia
14,Bolivia
101,United Arab Emirates
12,Bangladesh
26,Czech Republic
43,Hungary
37,Gambia
32,Faroe Islands
85,South Africa
97,Turkey
25,"Congo, The Democratic Republic of the"
105,Vietnam
59,Malaysia
51,Kazakstan
23,China
13,Belarus
89,Sudan
44,India
94,Thailand
29,Egypt
16,Brunei
64,Myanmar
98,Turkmenistan
104,Venezuela
61,Moldova
66,Nepal
27,Dominican Republic
39,Greece
34,France
109,Zambia
33,Finland
60,Mexico
49,Italy
88,Sri Lanka
2,Algeria
6,Argentina
28,Ecuador
102,United Kingdom
4,Angola
75,Philippines
77,Puerto Rico
90,Sweden
17,Bulgaria
52,Kenya
30,Estonia
82,Saudi Arabia
3,American Samoa
80,Russian Federation
56,Lithuania
54,Latvia
106,"Virgin Islands, U.S."
36,French Polynesia
81,Saint Vincent and the Grenadines
68,New Zealand
21,Chad
55,Liechtenstein
10,Azerbaijan
70,North Korea
42,Hong Kong
7,Armenia
18,Cambodia
65,Nauru
91,Switzerland
87,Spain
73,Paraguay
93,Tanzania
71,Oman
31,Ethiopia
41,Holy See (Vatican City State)
40,Greenland
