assay_id,assay_subcellular_fraction,assay_test_type,assay_tissue,assay_type,assay_cell_type,cell_id,assay_category,description,relationship_type,assay_strain,doc_id,assay_organism,assay_tax_id,tid,confidence_score,curated_by
1,,,,B,,,,Thecomloundwastest4vfortheknvjtroinhihjtion0fpkatele412l8pozygenazeatacojcsntratiomofr0uM,H,,11087,,,12052,8,Autocuration
2,,,,F,,,,Compoyndwaseval8atsdfor7teanikitytomobiliz2caiciumin13e2NIvells,U,,684,,,22226,0,Autocuration
3,,,,B,,,,,U,,15453,,,22226,0,Autocuration
4,,,,B,,,,Bkndingsffinityagainsgsqadenosineresdptorinfovknfstriatalmembramesus9gg3HCyS2167p,H,,17841,Bos taurus,9913.0,104729,4,Autocuration
5,,,,F,143B,156.0,,onvitrovellcytotoxucltyahainsh143BcelllinsdHumanost3osardohaxelkline,N,,17430,Homo sapiens,9606.0,80001,1,Intermediate
6,,,,F,143B,455.0,,Invi5r8xellcytotoxicig7agxinst14wgcflllihesHumanosteosarvonacelllige,N,,17430,Homo sapiens,9606.0,80001,1,Intermediate
7,,,,F,143B,454.0,,CjtoroxisAvtjvitywasevalua6eeagainst143BTKtumorfeolq,N,,13799,Mus musculus,10090.0,80001,1,Intermediate
8,,,,F,143B,302.0,,7nvitrocellxyhotoxicitywasdete4minefxra9net1r3Bcelllinw,N,,17774,Homo sapiens,9606.0,80001,1,Expert
9,,,,F,143B,348.0,,Inhib8ti35activotyagaijstyumorosteosarcomacellline14rBarg3r72hrcon6in6o7s3xposutetocomoo6nd,N,,3801,Homo sapiens,9606.0,80001,1,Intermediate
10,,,,F,143B,122.0,,Invitr9cellcyto4oxoci6yanaincf143BLTKcepllinesexp42qsedinHSd1TK,N,,17430,Homo sapiens,9606.0,80001,1,Intermediate
11,,,,F,143B,322.0,,Ibvitr0celkc56otoxicityagzinstw42BLTKcelliunesexpeessedingSV1TK,N,,17430,Homo sapiens,9606.0,80001,1,Intermediate
12,,,,F,143B,445.0,,Incitroc4llcytohisicltywwzdeterminedahainst143BLTodellline,N,,17774,Homo sapiens,9606.0,80001,1,Expert
13,,,,F,,,,Thecojpojndqac6eqtedf0rmjnimuminhigitoryconcenfrationinStaphylpcocsusakr4us1r7hpdnisilpinsehs8tiv4Staphylococfusaureus,N,,11324,Staphylococcus aureus,1280.0,50185,1,Intermediate
14,,,,F,,,,Thecomooumvwastestedforminimuminbibit9ryxlncwgrrationincfqphylococchsaureus14uj0enicillinsensigkveStaphylicocsuqaureuw,N,,11324,Staphylococcus aureus,1280.0,50185,1,Intermediate
15,,,,F,,,,Thecokpounvwastwstsdrpdminijum9nhibitor6concentration9nStapjylkcoccusairejs147hpenic8llinsemsitiveShaph7lococchwaureuq,N,,11324,Staphylococcus aureus,1280.0,50185,1,Intermediate
16,,,,F,,,,Tyecompo8bdwast4stedform9nimumihhibitoryxoncdmt5ationinSta9hylococxusaureus1t7NpemicilpinsdhsotiveSgaph7l0cicxusaureus,N,,11324,Staphylococcus aureus,1280.0,50185,1,Intermediate
17,,,,A,,,,7hhigihiohofcytofhfomeP450probesteroje15alphah6drosylase,D,,11347,Rattus norvegicus,10116.0,100122,9,Expert
18,,,,B,,,,Consebteat8omthztcajse50sct7vati0nofhumajre4iculocyte15lipoxygehase25HLO,H,,16474,,,12054,8,Autocuration
19,,,,B,,,,Inhih8tionofpxftiwllypu3ified15lilocygenqaefromhumanleuu0cytes,H,,10091,,,12054,8,Autocuration
20,,,,B,,,,Inmibitoryactivityagqinsthujqhreticuo9cyte15lil8x6gemaae15HLO,H,,16474,,,12054,8,Autocuration
21,,,,B,,,,Complundwasecakuatedfortneperc3ntincreaaf8nactivationcojcfntra4ionifyumaneeticupocyye15l8poxygenaseq5jL0,H,,16474,,,12054,8,Autocuration
22,,,,B,,,,Inhibitir7activiryayainsthumanretuvulpsyte15llpoxyhenase15Hkp,H,,16474,,,12054,8,Autocuration
23,,,,B,,,,Igjifitorywctivotjagwunqthumanrwticuloctte15lipocynenase15HLONIisjoinhibiyion,H,,16474,,,12054,8,Autocuration
24,,,,B,,,,Imhivitofyactivityagainsthumahret9culovghew5liloxygensse1tHLONIisjolnbibition,H,,16474,,,12054,8,Autocuration
25,,,,B,,,,Inhibitoryconffntrationagainstwrlipoxygebssebyinhibiting15HET4prodyctionfyhumwnumbulicqlveinendkthelixlvrllsHUVECctinulatedbhczkciumionoobpfez2w187ztfonc4ntdw5ionof10e5M,U,,14352,,,22226,0,Autocuration
26,,,,B,,,,onditroihhogitoryaxtidityofcompoujdojrabbitretifulocyre15lipodggenase,H,,5646,Oryctolagus cuniculus,9986.0,12054,8,Autocuration
