assay_id,assay_test_type,doc_id,curated_by,assay_tax_id,assay_strain,src_id,description,cell_id,src_assay_id,chembl_id,assay_subcellular_fraction,tid,assay_organism,assay_cell_type,variant_id,assay_type,assay_category,assay_tissue
1,,11087,Autocuration,,,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,CHEMBL615117,,12052,,,,B,,
2,,684,Autocuration,,,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,CHEMBL615118,,22226,,,,F,,
3,,15453,Autocuration,,,1,,,,CHEMBL615119,,22226,,,,B,,
4,,17841,Autocuration,9913.0,,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,CHEMBL615120,,104729,Bos taurus,,,B,,
5,,17430,Intermediate,9606.0,,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,,CHEMBL615121,,80001,Homo sapiens,143B,,F,,
6,,17430,Intermediate,9606.0,,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,,CHEMBL615122,,80001,Homo sapiens,143B,,F,,
7,,13799,Intermediate,10090.0,,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,163.0,,CHEMBL615123,,80001,Mus musculus,143B,,F,,
8,,17774,Expert,9606.0,,1,In vitro cell cytotoxicity was determined against 143B cell line,163.0,,CHEMBL615124,,80001,Homo sapiens,143B,,F,,
9,,3801,Intermediate,9606.0,,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,163.0,,CHEMBL615125,,80001,Homo sapiens,143B,,F,,
10,,17430,Intermediate,9606.0,,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,,CHEMBL615126,,80001,Homo sapiens,143B,,F,,
11,,17430,Intermediate,9606.0,,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,,CHEMBL615127,,80001,Homo sapiens,143B,,F,,
12,,17774,Expert,9606.0,,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,163.0,,CHEMBL615128,,80001,Homo sapiens,143B,,F,,
13,,11324,Intermediate,1280.0,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,CHEMBL857900,,50185,Staphylococcus aureus,,,F,,
14,,11324,Intermediate,1280.0,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,CHEMBL615129,,50185,Staphylococcus aureus,,,F,,
15,,11324,Intermediate,1280.0,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,CHEMBL615130,,50185,Staphylococcus aureus,,,F,,
16,,11324,Intermediate,1280.0,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,CHEMBL615131,,50185,Staphylococcus aureus,,,F,,
17,,11347,Expert,10116.0,,1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,CHEMBL884521,,100122,Rattus norvegicus,,,A,,
18,,16474,Autocuration,,,1,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,CHEMBL615132,,12054,,,,B,,
19,,10091,Autocuration,,,1,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,CHEMBL615133,,12054,,,,B,,
20,,16474,Autocuration,,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,CHEMBL615134,,12054,,,,B,,
21,,16474,Autocuration,,,1,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,CHEMBL615135,,12054,,,,B,,
22,,16474,Autocuration,,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,CHEMBL615136,,12054,,,,B,,
