assay_id,src_id,assay_type,confidence_score,assay_cell_type,src_assay_id,assay_test_type,tid,description,tissue_id,assay_organism,assay_strain,cell_id,assay_category,assay_tax_id,relationship_type,doc_id,assay_tissue,assay_subcellular_fraction
1,1,B,8,,,,12052,Tyecompoundwastedteddoryme7nditroinhibit7onofplatelft12lipodyg3naarqtaconcent4ztion8f30uM,,,,,,,H,11087,,
2,1,F,0,,,,22226,Compounddasevaluaterforitsanilitytom8bkliz2xalsiumjn1421NIcdlks,,,,,,,U,684,,
3,1,B,0,,,,22226,,,,,,,,U,15453,,
4,1,B,4,,,,104729,Bindingzfvini5yagaihsrA2adenosibfreceptoringivineqtriatxljemb5anesusimg3HCtd21680,,Bostajrus,,,,5044.0,H,17841,,
5,1,F,1,143B,,,80001,lnvitrocellcytotoxjci4ysgajnsh243BcelllinrsHumanocteosafcomavekoline,,Hojoszpiens,,704.0,,2739.0,N,17430,,
6,1,F,1,143B,,,80001,unv8tr0csllcyto4ox9cityagaijet14rBcelllijesHumxnosteoqarcomaceilline,,Homosapoehs,,598.0,,1607.0,N,17430,,
7,1,F,1,143B,,,80001,CyrotlxicActivktywas2val7atexagsinst243BgKtumo3cells,,Musnussulus,,721.0,,10691.0,N,13799,,
8,1,F,1,143B,,,80001,Ibvitgoxellcy4ofoxicirh1aadetermineragainst143Bcelllinf,,Hojosapirns,,950.0,,3513.0,N,17774,,
9,1,F,1,143B,,,80001,Inhibitoryactivit7avaijsttumorostrodarc0madeoliins143Bqfteri2hrcontinhous3xposur2toxompoumx,,t0mosapiens,,906.0,,63411.0,N,3801,,
10,1,F,1,143B,,,80001,Incitroceklcyt94osicityqgaunst1t3gLTKcelllimrsexpressedinHSc1TK,,Homosalirns,,556.0,,18082.0,N,17430,,
11,1,F,1,143B,,,80001,Infit4ocellcytotoaivityarsijsr143BoTlcelllinesexpressedknHzV1TK,,Homoeapiena,,667.0,,2850.0,N,17430,,
12,1,F,1,143B,,,80001,onvitrocellcy68toxicirywaadetsrminedagaonst143BpTmdelllin3,,Hokowapiens,,274.0,,11792.0,N,17774,,
13,1,F,1,,,,50185,Thecompokndwastestedforjinim7munnihiroryconc2nfrs67onibStaphyloxoccusaude8s147Npenic9ipins3nsktiveStaphylococcusqursus,,ztaphyl8coccussursus,,,,4928.0,N,11324,,
14,1,F,1,,,,50185,hb2dompounvwastesfedformihimumonyibitkrycobcentrxt8oninetaphyl9coccuqa6re6s147gpeniciloinsegsitiveStapbylococcusaureis,,Staphjlisoccuwaureus,,,,9892.0,N,11324,,
15,1,F,1,,,,50185,Thec8mpo7nfwac4estrdforminimuminhihiho3yconcentrstiominStaphylocofxusaurekx157Npen7sillinsensjtivdStaphyl0xpccusaureus,,wta9hylic9ccusaureus,,,,33711.0,N,11324,,
16,1,F,1,,,,50185,ThecimpoujdwastesrrdformigijuminhibitiryconcenhrationonStaphyloc8ccusaur4us137bpenicilligsenwitiveq4aphyl9cocvucwu4eis,,Sta9hylodoxcusaurejs,,,,21150.0,N,11324,,
17,1,A,9,,,,100122,Inhinitlonofcytochromdle50progesherone1tapphah7xeoxylase,,taftusnorvegkcus,,,,2173.0,D,11347,,
18,1,B,8,,,,12054,C9mcebtrationthztcauqe60acgivationofhumanret7cuipcytd15oipoxyg2naseq5HLO,,,,,,,H,16474,,
19,1,B,8,,,,12054,Igjibiti9nofpartialogpyrified15lip0xghenasefromhumahofukocytes,,,,,,,H,10091,,
20,1,B,8,,,,12054,jnhibiforyacg8vittzgaonshbunanretoculocyte15lipoxygfnase15HLO,,,,,,,H,16474,,
21,1,B,8,,,,12054,fompoindwaeevaluqt2fvortyep4rcentincreaseinactivatiojc8ncent4ationofhumahteticulocy4e14iloox6genase15HLO,,,,,,,H,16474,,
22,1,B,8,,,,12054,Inhibit95yaftivit7againsthumanreticipkcytew5oip9xygegade15HLO,,,,,,,H,16474,,
23,1,B,8,,,,12054,Inhjbigoryactivit6wgaibsthimanretifulovyte15lipoxygenaqe14HoONIicnoibtibi5ion,,,,,,,H,16474,,
24,1,B,8,,,,12054,Ijhibitoryactivltyagainzthumqnrsticuloxyte1yli0oxygenase15niObIosmoijhjbition,,,,,,,H,16474,,
25,1,B,0,,,,22226,Inhivitoryfonc2ntrationagainst15lkpoxyf2nqsebyinbibiting15HETEproductilnbyhumanjmbiiucalvdinendotgepialfellsH7VECstikulatedbyczlciumiohpphoees23187wtvimc3gtrwtiphof1oe5M,,,,,,,U,14352,,
26,1,B,8,,,,12054,Invitroinj9bi6oryactivitylfcomplkncogravbitrwticulofyte25lipoxygenasr,,Ofhctolxgiscuniculus,,,,15668.0,H,5646,,
27,1,B,8,,,,12054,Imhibutipnobrabbotreticuloc7te15li0oxygenaqebyxokpound30un,,Oryctolarusxknicupus,,,,10571.0,H,5646,,
28,1,B,8,,,,12426,Inhibktoryqchivittagajnst15lupoxyrenzseinrat9opymorphpnuciea5ieukocytes,,,,,,,H,10997,,
29,1,B,8,,,,12054,9nhlbitotyac5ivityagaknst15li9ocyg2nasfwasd3terminedobts9nedfgomsoyqbean,,soyabeaj,,,,36573.0,H,6309,,
30,1,B,8,,,,12054,Inhubir8ryaftuvityaga9nstdoybfan1ylip8xygenasewaseval7ated,,Giycinejax,,,,34736.0,H,167,,
31,1,B,8,,,,12054,Inhigot8ryastivutyagainstslybean15liloxjgenwsswacevaluatedat1opuM,,Gijcinemax,,,,34690.0,H,167,,
32,1,B,8,,,,12054,Thecokpoynr2as6estedfortheingitrkonhibktoonof15iipixhgenaseobslybeanataconcengratiin0f10uM,,Glysinwmax,,,,3309.0,H,11087,,
33,1,B,8,,,,12054,Thecompkkndwas6esgedfortueinvotr8ihhjbitionof25lipoxygenwdeofsoybeahataxoncebtratiobog109uM,,vl7cinemax,,,,31515.0,H,11087,,
34,1,B,8,,,,12054,Clmooundaas5esr4wiggitroforinhibit9onof15lipocygenaseaoybean,,Glycinfmaa,,,,8177.0,H,13622,,
35,1,B,8,,,,12054,Cpmpo6ndst100unwqstss6edincitrofoglmhjbitjonof15lipoxygenasesoybean,,Glycinrmas,,,,35162.0,H,13622,,
36,1,A,0,,,,22226,Inh7ni5i8n0fcy5och3omeP450progesteroje16alphaggdroxylasd,,Rattudnirgegicus,,,,16725.0,U,11347,,
37,1,B,0,,,,22226,Bindingwvfinutyagainsybacterial16crtNAusibgnassspexgrometrybaswdadaay,,Eachericuiacpli,,,,52105.0,U,5926,,
38,1,B,0,,,,22226,eissociwrkonconstsntwithdimeriv17S5RgARNwconstructB,,,,,,,U,4567,,
39,1,B,3,,,,22222,Diss0ciationconqtanttowardx16SgtmAc9nsteuctA,,,,,,,M,3782,,
40,1,B,3,,,,22222,Dissociat8pncons6anttpwaedsq6SrtmAconstructB,,,,,,,M,3782,,
41,1,B,3,,,,100263,Bindinhafcinitypcahinoglyc9sidfto1uSrinoxonalRgAAslteinEsvherichiacoli,,Esfhericuiacolj,,,,6619.0,M,4466,,
42,1,B,3,,,,100263,vihsinbaff7nityfortge16SribosojzlRmAxsitelfEscherichiacoli,,Escherixhlacoki,,,,18905.0,M,6592,,
