rental_duration,rating,original_language_id,description,rental_rate,replacement_cost,length,film_id,release_year,language,title
6,PG,,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,0.99,20.99,86,1,2006,English,ACADEMY DINOSAUR
3,G,,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,4.99,12.99,48,2,2006,English,ACE GOLDFINGER
7,NC-17,,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2.99,18.99,50,3,2006,English,ADAPTATION HOLES
5,G,,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2.99,26.99,117,4,2006,English,AFFAIR PREJUDICE
6,G,,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2.99,22.99,130,5,2006,English,AFRICAN EGG
3,PG,,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2.99,17.99,169,6,2006,English,AGENT TRUMAN
6,PG-13,,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,4.99,28.99,62,7,2006,English,AIRPLANE SIERRA
6,R,,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,4.99,15.99,54,8,2006,English,AIRPORT POLLOCK
3,PG-13,,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2.99,21.99,114,9,2006,English,ALABAMA DEVIL
6,NC-17,,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,4.99,24.99,63,10,2006,English,ALADDIN CALENDAR
6,G,,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,0.99,16.99,126,11,2006,English,ALAMO VIDEOTAPE
6,PG,,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,0.99,22.99,136,12,2006,English,ALASKA PHANTOM
4,PG,,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,4.99,21.99,150,13,2006,English,ALI FOREVER
6,NC-17,,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,0.99,23.99,94,14,2006,English,ALICE FANTASIA
5,NC-17,,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2.99,10.99,46,15,2006,English,ALIEN CENTER
6,NC-17,,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2.99,23.99,180,16,2006,English,ALLEY EVOLUTION
3,R,,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,0.99,14.99,82,17,2006,English,ALONE TRIP
6,PG-13,,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,0.99,27.99,57,18,2006,English,ALTER VICTORY
6,PG,,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,0.99,20.99,113,19,2006,English,AMADEUS HOLY
4,R,,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,4.99,23.99,79,20,2006,English,AMELIE HELLFIGHTERS
3,R,,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,4.99,17.99,129,21,2006,English,AMERICAN CIRCUS
6,G,,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2.99,10.99,85,22,2006,English,AMISTAD MIDSUMMER
3,R,,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,0.99,9.99,92,23,2006,English,ANACONDA CONFESSIONS
6,R,,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2.99,19.99,181,24,2006,English,ANALYZE HOOSIERS
