fsclr,dsrtfctn(mrkr),prjctnmbr,ntdmnt(prjct-lvlbdgt),ndgnssss(mrkr),sctrd,ctstlfrdvlpmnt(mrkr),fndcntrd,chldrnsss(mrkr),prgrmmngprcss(nw),knwldgfrdvlpmnt(mrkr),dvsnnm,mxmmcdcntrbtn(prjct-lvl),cntrrgnprcnt,stts,brnchd,trddvlpmnt(mrkr),cntnntnm,rgnstnclss,cntrrgnd,pbtp,rgnlprgrm(mrkr),bdvrst(mrkr),cntnntd,cntrrgnnm,prtcptrdvlpmntndgdgvrnnc,rbnsss(mrkr),thsss(mrkr),dsbltsss(mrkr),gndrqlt(mrkr),rgnstnd,rgnstnnm,rgnstntp,rgnstnsb-clss,prjctbrwsrcntrd,sctrnm,sctrprcnt,mntspnt
2009/2010,0,M013170001,2460000.0,0,33140,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.22,Closed,B5100,0,Asia,Multilateral,X3,Not PBA,0,0,3,Asia MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X3,Multilateral trade negotiations,0.14,75768.0
2009/2010,0,M013170001,2460000.0,0,99810,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.22,Closed,B5100,0,Asia,Multilateral,X3,Not PBA,0,0,3,Asia MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X3,Sectors not specified,0.505,273306.0
2009/2010,0,M013170001,2460000.0,0,12191,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.32,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X4,Medical services,0.268,210969.6
2009/2010,0,M013170001,2460000.0,0,14015,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.32,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X4,Water resources conservation (including data collection),0.047,36998.4
2009/2010,0,M013170001,2460000.0,0,23510,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.32,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X4,Nuclear energy electric power plants,0.04,31488.0
2009/2010,0,M013170001,2460000.0,0,33140,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.32,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X4,Multilateral trade negotiations,0.14,110208.0
2009/2010,0,M013170001,2460000.0,0,99810,1,5291,0,Uncoded: Pre-APP,1,MID International Organizations,2460000.0,0.32,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,1,0,0,0,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,X4,Sectors not specified,0.505,397536.0
2009/2010,0,M013171001,300000.0,0,72010,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,300000.0,1.0,Closed,B5100,0,America,Multilateral,SV,Not PBA,0,0,1,El Salvador,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,REGIONAL ORGANIZATION,SV,Material relief assistance and services,1.0,300000.0
2009/2010,0,M013172001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.5,Terminating,B5100,0,Africa,Civil Society,X1,Not PBA,0,0,2,Africa MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X1,Material relief assistance and services,1.0,1500000.0
2009/2010,0,M013172001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.15,Terminating,B5100,0,America,Civil Society,X2,Not PBA,0,0,1,Americas MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X2,Material relief assistance and services,1.0,450000.0
