assay_id,confidence_score,assay_organism,description,assay_type,assay_tax_id,assay_tissue,assay_subcellular_fraction,assay_category,chembl_id,doc_id,relationship_type,bao_format,src_id,tissue_id,assay_test_type,assay_strain,assay_cell_type,tid
1,8,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,CHEMBL615117,11087,H,BAO_0000019,1,,,,,12052
2,0,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,CHEMBL615118,684,U,BAO_0000219,1,,,,,22226
3,0,,,B,,,,,CHEMBL615119,15453,U,BAO_0000019,1,,,,,22226
4,4,Bos taurus,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,9913.0,,,,CHEMBL615120,17841,H,BAO_0000249,1,,,,,104729
5,1,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,9606.0,,,,CHEMBL615121,17430,N,BAO_0000219,1,,,,143B,80001
6,1,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,9606.0,,,,CHEMBL615122,17430,N,BAO_0000219,1,,,,143B,80001
7,1,Mus musculus,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,10090.0,,,,CHEMBL615123,13799,N,BAO_0000219,1,,,,143B,80001
8,1,Homo sapiens,In vitro cell cytotoxicity was determined against 143B cell line,F,9606.0,,,,CHEMBL615124,17774,N,BAO_0000219,1,,,,143B,80001
9,1,Homo sapiens,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,9606.0,,,,CHEMBL615125,3801,N,BAO_0000219,1,,,,143B,80001
10,1,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,9606.0,,,,CHEMBL615126,17430,N,BAO_0000219,1,,,,143B,80001
11,1,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,9606.0,,,,CHEMBL615127,17430,N,BAO_0000219,1,,,,143B,80001
12,1,Homo sapiens,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,9606.0,,,,CHEMBL615128,17774,N,BAO_0000219,1,,,,143B,80001
13,1,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1280.0,,,,CHEMBL857900,11324,N,BAO_0000218,1,,,,,50185
14,1,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1280.0,,,,CHEMBL615129,11324,N,BAO_0000218,1,,,,,50185
15,1,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1280.0,,,,CHEMBL615130,11324,N,BAO_0000218,1,,,,,50185
16,1,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1280.0,,,,CHEMBL615131,11324,N,BAO_0000218,1,,,,,50185
17,9,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,10116.0,,,,CHEMBL884521,11347,D,BAO_0000357,1,,,,,100122
