tid,src_assay_id,relationship_type,tissue_id,assay_strain,assay_id,assay_organism,description,assay_tissue,curated_by,variant_id,chembl_id,assay_test_type,assay_tax_id,cell_id,confidence_score,src_id,assay_cell_type,assay_type,assay_category,assay_subcellular_fraction,bao_format,doc_id
12052,,H,,,1,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,Autocuration,,CHEMBL615117,,,,8,1,,B,,,BAO_0000019,11087
22226,,U,,,2,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,Autocuration,,CHEMBL615118,,,,0,1,,F,,,BAO_0000219,684
22226,,U,,,3,,,,Autocuration,,CHEMBL615119,,,,0,1,,B,,,BAO_0000019,15453
104729,,H,,,4,Bos taurus,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Autocuration,,CHEMBL615120,,9913.0,,4,1,,B,,,BAO_0000249,17841
80001,,N,,,5,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Intermediate,,CHEMBL615121,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,17430
80001,,N,,,6,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Intermediate,,CHEMBL615122,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,17430
80001,,N,,,7,Mus musculus,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Intermediate,,CHEMBL615123,,10090.0,163.0,1,1,143B,F,,,BAO_0000219,13799
80001,,N,,,8,Homo sapiens,In vitro cell cytotoxicity was determined against 143B cell line,,Expert,,CHEMBL615124,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,17774
80001,,N,,,9,Homo sapiens,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Intermediate,,CHEMBL615125,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,3801
80001,,N,,,10,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Intermediate,,CHEMBL615126,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,17430
80001,,N,,,11,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Intermediate,,CHEMBL615127,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,17430
80001,,N,,,12,Homo sapiens,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Expert,,CHEMBL615128,,9606.0,163.0,1,1,143B,F,,,BAO_0000219,17774
50185,,N,,,13,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Intermediate,,CHEMBL857900,,1280.0,,1,1,,F,,,BAO_0000218,11324
50185,,N,,,14,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Intermediate,,CHEMBL615129,,1280.0,,1,1,,F,,,BAO_0000218,11324
50185,,N,,,15,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Intermediate,,CHEMBL615130,,1280.0,,1,1,,F,,,BAO_0000218,11324
50185,,N,,,16,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Intermediate,,CHEMBL615131,,1280.0,,1,1,,F,,,BAO_0000218,11324
100122,,D,,,17,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Expert,,CHEMBL884521,,10116.0,,9,1,,A,,,BAO_0000357,11347
12054,,H,,,18,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,Autocuration,,CHEMBL615132,,,,8,1,,B,,,BAO_0000357,16474
12054,,H,,,19,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,Autocuration,,CHEMBL615133,,,,8,1,,B,,,BAO_0000019,10091
12054,,H,,,20,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,Autocuration,,CHEMBL615134,,,,8,1,,B,,,BAO_0000357,16474
12054,,H,,,21,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,Autocuration,,CHEMBL615135,,,,8,1,,B,,,BAO_0000357,16474
12054,,H,,,22,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,Autocuration,,CHEMBL615136,,,,8,1,,B,,,BAO_0000357,16474
12054,,H,,,23,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,Autocuration,,CHEMBL615137,,,,8,1,,B,,,BAO_0000357,16474
12054,,H,,,24,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,Autocuration,,CHEMBL615138,,,,8,1,,B,,,BAO_0000357,16474
22226,,U,,,25,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,Autocuration,,CHEMBL836324,,,,0,1,,B,,,BAO_0000219,14352
12054,,H,,,26,Oryctolagus cuniculus,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,Autocuration,,CHEMBL615139,,9986.0,,8,1,,B,,,BAO_0000357,5646
12054,,H,,,27,Oryctolagus cuniculus,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,Autocuration,,CHEMBL615140,,9986.0,,8,1,,B,,,BAO_0000357,5646
12426,,H,,,28,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,Autocuration,,CHEMBL615141,,,,8,1,,B,,,BAO_0000219,10997
12054,,H,,,29,soya bean,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,Autocuration,,CHEMBL615142,,3847.0,,8,1,,B,,,BAO_0000357,6309
12054,,H,,,30,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,Autocuration,,CHEMBL615143,,3847.0,,8,1,,B,,,BAO_0000357,167
12054,,H,,,31,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,Autocuration,,CHEMBL615144,,3847.0,,8,1,,B,,,BAO_0000357,167
12054,,H,,,32,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,Autocuration,,CHEMBL872867,,3847.0,,8,1,,B,,,BAO_0000357,11087
12054,,H,,,33,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,Autocuration,,CHEMBL615145,,3847.0,,8,1,,B,,,BAO_0000357,11087
12054,,H,,,34,Glycine max,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,Autocuration,,CHEMBL615146,,3847.0,,8,1,,B,,,BAO_0000357,13622
12054,,H,,,35,Glycine max,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,Autocuration,,CHEMBL615147,,3847.0,,8,1,,B,,,BAO_0000357,13622
22226,,U,,,36,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,Autocuration,,CHEMBL615148,,10116.0,,0,1,,A,,,BAO_0000019,11347
22226,,U,,,37,Escherichia coli,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,Autocuration,,CHEMBL615149,,562.0,,0,1,,B,,,BAO_0000019,5926
22226,,U,,,38,,Dissociation constant with dimeric 16S rRNA RNA construct B,,Autocuration,,CHEMBL615150,,,,0,1,,B,,,BAO_0000019,4567
22222,,M,,,39,,Dissociation constant towards 16S rRNA construct A,,Intermediate,,CHEMBL615151,,,,3,1,,B,,,BAO_0000225,3782
22222,,M,,,40,,Dissociation constant towards 16S rRNA construct B,,Intermediate,,CHEMBL615152,,,,3,1,,B,,,BAO_0000225,3782
100263,,M,,,41,Escherichia coli,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,Expert,,CHEMBL615153,,562.0,,3,1,,B,,,BAO_0000225,4466
100263,,M,,,42,Escherichia coli,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,Expert,,CHEMBL615154,,562.0,,3,1,,B,,,BAO_0000225,6592
13053,,H,,,43,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,Autocuration,,CHEMBL615155,,,,8,1,,B,,,BAO_0000019,898
13053,,H,,,44,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,Autocuration,,CHEMBL615156,,,,8,1,,B,,,BAO_0000019,898
20001,,H,,,45,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Autocuration,,CHEMBL615157,,9606.0,,8,1,,B,,,BAO_0000019,13163
20001,,H,,,46,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Autocuration,,CHEMBL615158,,9606.0,,8,1,,B,,,BAO_0000019,13163
12971,,D,,,47,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Expert,,CHEMBL615159,,10116.0,,9,1,,B,,,BAO_0000019,10691
12971,,D,,,48,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Expert,,CHEMBL615172,,10116.0,,9,1,,B,,,BAO_0000019,10691
12971,,D,,,49,Rattus norvegicus,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Expert,,CHEMBL615173,,10116.0,,9,1,,B,,,BAO_0000019,10691
12971,,D,,,50,Rattus norvegicus,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Expert,,CHEMBL615174,,10116.0,,9,1,,B,,,BAO_0000019,10691
