ASSI,ASSSUBCEFRA,ASCT,ASST,CONFSC,CURAB,ASSTTY,DI,ASSOR,BAFO,CEI,ASSTIS,ASSCA,VARII,Ti,SRI,RELATIT,SRASI,CHI,TISI
7524,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Kidney,,,50597,1,N,,CHEMBL618647,2113.0
7525,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Kidney,,,50597,1,N,,CHEMBL618648,2113.0
7526,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Kidney,,,50597,1,N,,CHEMBL618649,2113.0
7527,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Liver,,,50597,1,N,,CHEMBL618650,2107.0
7528,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Liver,,,50597,1,N,,CHEMBL618651,2107.0
7529,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Liver,,,50597,1,N,,CHEMBL876497,2107.0
7530,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Lung,,,50597,1,N,,CHEMBL618652,2048.0
7531,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Lung,,,50597,1,N,,CHEMBL618653,2048.0
7532,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Lung,,,50597,1,N,,CHEMBL618654,2048.0
7533,,,A,1,Intermediate,,6351,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618655,
7534,,,A,1,Intermediate,,1465,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618656,
7535,,,P,0,Intermediate,,5182,,BAO_0000100,,,,,22229,1,U,,CHEMBL618657,
7536,,,A,1,Intermediate,,17847,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618658,
7537,,,A,1,Intermediate,,15339,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618659,
7538,,,A,1,Intermediate,,5202,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618660,
7539,,,A,1,Intermediate,,1088,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618661,
7540,,,A,1,Intermediate,,3169,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL873807,
7541,,,A,1,Intermediate,,5353,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618662,
7542,,,A,1,Intermediate,In vivo,2864,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618663,
7543,,,A,1,Intermediate,In vivo,2864,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618664,
7544,,,A,1,Intermediate,In vivo,2864,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618665,
7545,,,A,1,Intermediate,,6362,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL876498,
7546,,,A,1,Intermediate,,6249,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618666,
7547,,,A,1,Intermediate,,3169,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620440,
7548,,,A,1,Intermediate,,3169,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620441,
7549,,,A,1,Intermediate,,3169,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620442,
7550,,,A,1,Intermediate,In vivo,17260,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620443,
7551,,,A,1,Intermediate,In vivo,17260,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620444,
7552,,,A,1,Intermediate,In vivo,17260,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620445,
7553,,,A,1,Intermediate,In vivo,17260,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL620446,
7554,,,A,1,Intermediate,,2879,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL620447,1969.0
7555,,,A,1,Intermediate,,2879,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL621129,1969.0
7556,,,A,1,Intermediate,,2879,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL621130,1969.0
7557,,,A,1,Intermediate,In vivo,3184,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL873808,
7558,,,A,1,Intermediate,In vivo,4891,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL876598,
7559,,,A,1,Intermediate,In vivo,429,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621131,
7560,,,A,1,Intermediate,In vivo,5656,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621132,
7561,,,A,1,Intermediate,In vivo,4413,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621133,
7562,,,A,1,Expert,In vivo,3598,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621312,
7563,,,A,1,Intermediate,,17267,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621313,
7564,,,A,1,Intermediate,,4727,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL621314,178.0
7565,,,A,1,Intermediate,In vivo,17651,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621315,
7566,,,A,1,Intermediate,In vivo,17651,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621316,
7567,,,A,1,Intermediate,,401,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621317,
7568,,,A,1,Intermediate,,4942,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621318,
7569,,,A,1,Intermediate,In vivo,17735,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621319,
7570,,,A,1,Intermediate,In vivo,6056,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621377,
7571,,,A,1,Intermediate,,5213,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621378,
7572,,,A,1,Intermediate,In vivo,6616,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL876599,
7573,,,A,1,Intermediate,In vivo,5937,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621379,
7574,,,A,1,Intermediate,,5819,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL621380,1969.0
7575,,,A,1,Intermediate,,5819,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL621381,1969.0
7576,,,A,1,Intermediate,,6803,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618515,
7577,,,A,1,Intermediate,In vivo,17804,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618516,
7578,,,A,1,Intermediate,In vivo,17804,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618517,
7579,,,A,1,Intermediate,,5948,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618518,
7580,,,A,1,Intermediate,In vivo,1916,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618519,
7581,,,A,1,Intermediate,In vivo,1916,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618698,
7582,,,A,1,Intermediate,In vivo,1916,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618862,
7583,,,A,1,Intermediate,In vivo,4890,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618863,
7584,,,A,1,Intermediate,In vivo,17764,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618864,
7585,,,A,1,Intermediate,In vivo,4727,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618865,
7586,,,A,1,Intermediate,In vivo,17509,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618866,
7587,,,A,1,Intermediate,In vivo,17509,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618867,
7588,,,A,1,Intermediate,,6597,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL875828,
7589,,,A,1,Intermediate,In vivo,17735,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618868,
7590,,,A,1,Intermediate,,6597,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618869,
7591,,,A,1,Intermediate,In vivo,17670,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL618870,
