ASSTIS,CI,ASTT,ASST,ASCETY,ASSTY,ASSORGA,CONFSC,ASSSUBCELFRAC,TII,VARI,ASCAT,BFOR,DI,Desc,RELATT,ASSI,SRASI,CHEI,ASTI,CURAB,Ti,SRI
Kidney,,In vivo,,,A,Rattus norvegicus,1,,2113.0,,,BAO_0000218,9866,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,7524,,CHEMBL618647,10116.0,Intermediate,50597,1
Kidney,,In vivo,,,A,Rattus norvegicus,1,,2113.0,,,BAO_0000218,9866,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,N,7525,,CHEMBL618648,10116.0,Intermediate,50597,1
Kidney,,In vivo,,,A,Rattus norvegicus,1,,2113.0,,,BAO_0000218,9866,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,N,7526,,CHEMBL618649,10116.0,Intermediate,50597,1
Liver,,In vivo,,,A,Rattus norvegicus,1,,2107.0,,,BAO_0000218,9866,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,7527,,CHEMBL618650,10116.0,Intermediate,50597,1
Liver,,In vivo,,,A,Rattus norvegicus,1,,2107.0,,,BAO_0000218,9866,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,N,7528,,CHEMBL618651,10116.0,Intermediate,50597,1
Liver,,In vivo,,,A,Rattus norvegicus,1,,2107.0,,,BAO_0000218,9866,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,N,7529,,CHEMBL876497,10116.0,Intermediate,50597,1
Lung,,In vivo,,,A,Rattus norvegicus,1,,2048.0,,,BAO_0000218,9866,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,7530,,CHEMBL618652,10116.0,Intermediate,50597,1
Lung,,In vivo,,,A,Rattus norvegicus,1,,2048.0,,,BAO_0000218,9866,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,N,7531,,CHEMBL618653,10116.0,Intermediate,50597,1
Lung,,In vivo,,,A,Rattus norvegicus,1,,2048.0,,,BAO_0000218,9866,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,N,7532,,CHEMBL618654,10116.0,Intermediate,50597,1
,,,,,A,Rattus norvegicus,1,,,,,BAO_0000218,6351,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,N,7533,,CHEMBL618655,10116.0,Intermediate,50597,1
