Fiscal year,Enviromental sustainability (marker),Organisation sub-class,Sector ID,CIDA business delivery model (old),Untied amount(Project-level budget),Programming process (new),Organisation class,FSTC percent,Division ID,Fund centre name,ICT as a tool for development (marker),Project number,Continent name,Climate change mitigation (marker),Section ID,Bilateral aid (international marker),Gender equality (marker),Organisation ID,Branch ID,Climate change adaptation (marker),Desertification (marker),Division name,CountryRegion ID,Urban issues (marker),Status,Maximum CIDA contribution (project-level),Branch name,Section name,Regional program (marker),Fund centre ID,IRTC percent,CFLI (marker),PBA type,Participatory development and good governance,Trade development (marker),Biodiversity (marker),Children issues (marker)
2009/2010,0,CONSULTANT,15150,Directive,8500267.65,Uncoded: Pre-APP,Individual,1.0,D4100,Bangladesh,0,A017716001,Asia,0,S4122,1,2,Information not available,B4100,0,0,OAD Asia Programming,BD,0,Closed,8500267.65,OGM Asia Pacific,Bangladesh Section,0,4122,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTANT,24040,Directive,8500267.65,Uncoded: Pre-APP,Individual,1.0,D4100,Bangladesh,0,A017716001,Asia,0,S4122,1,2,Information not available,B4100,0,0,OAD Asia Programming,BD,0,Closed,8500267.65,OGM Asia Pacific,Bangladesh Section,0,4122,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTANT,25020,Directive,8500267.65,Uncoded: Pre-APP,Individual,1.0,D4100,Bangladesh,0,A017716001,Asia,0,S4122,1,2,Information not available,B4100,0,0,OAD Asia Programming,BD,0,Closed,8500267.65,OGM Asia Pacific,Bangladesh Section,0,4122,0.0,0,Not PBA,0,0,0,0
2009/2010,0,FEDERAL,99810,Directive,0.0,Uncoded: Pre-APP,Governmental,0.0,D3100,West Bank Gaza,0,A018652001,Asia,0,S4264,1,0,10050,B3100,0,0,EDD Europe-Middle East Programming,PS,0,Closed,500458.33,"EGM Europe, Middle East and Maghreb",West Bank Gaza & Palestinian Refugees,0,4265,0.0,0,Not PBA,0,0,0,0
2009/2010,0,FEDERAL,16020,Responsive,14410076.46,Uncoded: Pre-APP,Governmental,1.0,D4207,Mali,0,A018893001,Africa,0,S4215,1,2,10050,B4200,0,0,WWD West & Central Africa,ML,1,Closed,14410076.46,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,32310,Responsive,14410076.46,Uncoded: Pre-APP,Governmental,1.0,D4207,Mali,0,A018893001,Africa,0,S4215,1,2,10050,B4200,0,0,WWD West & Central Africa,ML,1,Closed,14410076.46,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,43030,Responsive,14410076.46,Uncoded: Pre-APP,Governmental,1.0,D4207,Mali,0,A018893001,Africa,0,S4215,1,2,10050,B4200,0,0,WWD West & Central Africa,ML,1,Closed,14410076.46,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,15110,Responsive,13743220.56,Uncoded: Pre-APP,Governmental,1.0,D4100,Pakistan,0,A019043001,Asia,0,S4141,1,0,10050,B4100,0,0,OAD Asia Programming,PK,0,Closed,13743220.56,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,15111,Responsive,13743220.56,Uncoded: Pre-APP,Governmental,1.0,D4100,Pakistan,0,A019043001,Asia,0,S4141,1,0,10050,B4100,0,0,OAD Asia Programming,PK,0,Closed,13743220.56,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,16010,Responsive,13743220.56,Uncoded: Pre-APP,Governmental,1.0,D4100,Pakistan,0,A019043001,Asia,0,S4141,1,0,10050,B4100,0,0,OAD Asia Programming,PK,0,Closed,13743220.56,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0,Not PBA,1,0,0,0
