assay_strain,assay_subcellular_fraction,relationship_type,cell_id,assay_category,tid,assay_tax_id,assay_organism,description,src_id,assay_tissue,assay_cell_type,src_assay_id,assay_test_type,confidence_score,variant_id,doc_id,assay_type,tissue_id,curated_by,chembl_id,bao_format,assay_id
,,H,,,12052,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,1,,,,,8,,11087,B,,Autocuration,CHEMBL615117,BAO_0000019,1
,,U,,,22226,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,1,,,,,0,,684,F,,Autocuration,CHEMBL615118,BAO_0000219,2
,,U,,,22226,,,,1,,,,,0,,15453,B,,Autocuration,CHEMBL615119,BAO_0000019,3
,,H,,,104729,9913.0,Bos taurus,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,1,,,,,4,,17841,B,,Autocuration,CHEMBL615120,BAO_0000249,4
,,N,163.0,,80001,9606.0,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,,143B,,,1,,17430,F,,Intermediate,CHEMBL615121,BAO_0000219,5
,,N,163.0,,80001,9606.0,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,,143B,,,1,,17430,F,,Intermediate,CHEMBL615122,BAO_0000219,6
,,N,163.0,,80001,10090.0,Mus musculus,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,1,,143B,,,1,,13799,F,,Intermediate,CHEMBL615123,BAO_0000219,7
,,N,163.0,,80001,9606.0,Homo sapiens,In vitro cell cytotoxicity was determined against 143B cell line,1,,143B,,,1,,17774,F,,Expert,CHEMBL615124,BAO_0000219,8
,,N,163.0,,80001,9606.0,Homo sapiens,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,1,,143B,,,1,,3801,F,,Intermediate,CHEMBL615125,BAO_0000219,9
,,N,163.0,,80001,9606.0,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,,143B,,,1,,17430,F,,Intermediate,CHEMBL615126,BAO_0000219,10
,,N,163.0,,80001,9606.0,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,,143B,,,1,,17430,F,,Intermediate,CHEMBL615127,BAO_0000219,11
,,N,163.0,,80001,9606.0,Homo sapiens,In vitro cell cytotoxicity was determined against 143B-LTK cell line,1,,143B,,,1,,17774,F,,Expert,CHEMBL615128,BAO_0000219,12
,,N,,,50185,1280.0,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,,,1,,11324,F,,Intermediate,CHEMBL857900,BAO_0000218,13
,,N,,,50185,1280.0,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,,,1,,11324,F,,Intermediate,CHEMBL615129,BAO_0000218,14
,,N,,,50185,1280.0,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,,,1,,11324,F,,Intermediate,CHEMBL615130,BAO_0000218,15
,,N,,,50185,1280.0,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,,,1,,11324,F,,Intermediate,CHEMBL615131,BAO_0000218,16
