SASSI,Descr,ASTAI,CURAB,VARI,ASSSUBCEFRAC,ASI,TII,CHI,SRI,BFO,ASSCA,ASTTY,ASSTR,RELATT,CEI,ASSTIS,DI,ASSORG,Ti,ASSTY,ASCETY,CONFSCO
,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,10116.0,Intermediate,,,7524,2113.0,CHEMBL618647,1,BAO_0000218,,In vivo,,N,,Kidney,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,10116.0,Intermediate,,,7525,2113.0,CHEMBL618648,1,BAO_0000218,,In vivo,,N,,Kidney,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,10116.0,Intermediate,,,7526,2113.0,CHEMBL618649,1,BAO_0000218,,In vivo,,N,,Kidney,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,10116.0,Intermediate,,,7527,2107.0,CHEMBL618650,1,BAO_0000218,,In vivo,,N,,Liver,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,10116.0,Intermediate,,,7528,2107.0,CHEMBL618651,1,BAO_0000218,,In vivo,,N,,Liver,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,10116.0,Intermediate,,,7529,2107.0,CHEMBL876497,1,BAO_0000218,,In vivo,,N,,Liver,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,10116.0,Intermediate,,,7530,2048.0,CHEMBL618652,1,BAO_0000218,,In vivo,,N,,Lung,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,10116.0,Intermediate,,,7531,2048.0,CHEMBL618653,1,BAO_0000218,,In vivo,,N,,Lung,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,10116.0,Intermediate,,,7532,2048.0,CHEMBL618654,1,BAO_0000218,,In vivo,,N,,Lung,9866,Rattus norvegicus,50597,A,,1
,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,10116.0,Intermediate,,,7533,,CHEMBL618655,1,BAO_0000218,,,,N,,,6351,Rattus norvegicus,50597,A,,1
,Compound was tested for solubility in water,10116.0,Intermediate,,,7534,,CHEMBL618656,1,BAO_0000218,,,,N,,,1465,Rattus norvegicus,50597,A,,1
,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,Intermediate,,,7535,,CHEMBL618657,1,BAO_0000100,,,,U,,,5182,,22229,P,,0
,Solubility was determined,10116.0,Intermediate,,,7536,,CHEMBL618658,1,BAO_0000218,,,,N,,,17847,Rattus norvegicus,50597,A,,1
,solubility in water (ug/mL) at 37 degree C.,10116.0,Intermediate,,,7537,,CHEMBL618659,1,BAO_0000218,,,,N,,,15339,Rattus norvegicus,50597,A,,1
,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,10116.0,Intermediate,,,7538,,CHEMBL618660,1,BAO_0000218,,,,N,,,5202,Rattus norvegicus,50597,A,,1
,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,10116.0,Intermediate,,,7539,,CHEMBL618661,1,BAO_0000218,,,,N,,,1088,Rattus norvegicus,50597,A,,1
,Half life in rats,10116.0,Intermediate,,,7540,,CHEMBL873807,1,BAO_0000218,,,,N,,,3169,Rattus norvegicus,50597,A,,1
,Half life in Dawley rat,10116.0,Intermediate,,,7541,,CHEMBL618662,1,BAO_0000218,,,,N,,,5353,Rattus norvegicus,50597,A,,1
,Half life period after 3 mg/kg iv administration,10116.0,Intermediate,,,7542,,CHEMBL618663,1,BAO_0000218,,In vivo,,N,,,2864,Rattus norvegicus,50597,A,,1
,Half life period after 3 mg/kg iv administration in rat,10116.0,Intermediate,,,7543,,CHEMBL618664,1,BAO_0000218,,In vivo,,N,,,2864,Rattus norvegicus,50597,A,,1
,Half life period after 3 mg/kg iv administration in the rat,10116.0,Intermediate,,,7544,,CHEMBL618665,1,BAO_0000218,,In vivo,,N,,,2864,Rattus norvegicus,50597,A,,1
,Half life period in female Sprague-Dawley rats,10116.0,Intermediate,,,7545,,CHEMBL876498,1,BAO_0000218,,,,N,,,6362,Rattus norvegicus,50597,A,,1
,Half life period in rat,10116.0,Intermediate,,,7546,,CHEMBL618666,1,BAO_0000218,,,,N,,,6249,Rattus norvegicus,50597,A,,1
,Half-life in rats was determined,10116.0,Intermediate,,,7547,,CHEMBL620440,1,BAO_0000218,,,,N,,,3169,Rattus norvegicus,50597,A,,1
