Fiscal year,Programming process (new),Climate change adaptation (marker),Regional program (marker),Urban issues (marker),Sector percent,Project number,Untied amount(Project-level budget),Gender equality (marker),Sector name,Biodiversity (marker),CountryRegion name,CFLI (marker),Organisation class,Maximum CIDA contribution (project-level),Status,Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A017716001,8500267.65,2,Democratic participation and civil society,0,Bangladesh,0,Individual,8500267.65,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A017716001,8500267.65,2,Informal/semi-formal financial intermediaries,0,Bangladesh,0,Individual,8500267.65,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A017716001,8500267.65,2,Privatization,0,Bangladesh,0,Individual,8500267.65,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A018652001,0.0,0,Sectors not specified,0,West Bank Gaza,0,Governmental,500458.33,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,4265,West Bank Gaza,0.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,1,0.5,A018893001,14410076.46,2,Employment policy and administrative management,0,Mali,0,Governmental,14410076.46,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,1,0.4,A018893001,14410076.46,2,Construction policy and administrative management,0,Mali,0,Governmental,14410076.46,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,1,0.1,A018893001,14410076.46,2,Urban development and management,0,Mali,0,Governmental,14410076.46,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.4,A019043001,13743220.56,0,Public sector policy and administrative management,0,Pakistan,0,Governmental,13743220.56,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.4,A019043001,13743220.56,0,Public finance management,0,Pakistan,0,Governmental,13743220.56,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A019043001,13743220.56,0,Social/welfare services,0,Pakistan,0,Governmental,13743220.56,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
