assay_cell_type,assay_organism,assay_category,src_assay_id,description,chembl_id,doc_id,tid,assay_subcellular_fraction,cell_id,assay_tissue,tissue_id,curated_by,assay_strain,src_id,variant_id,confidence_score,assay_tax_id,assay_id,assay_type,relationship_type,bao_format,assay_test_type
,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,CHEMBL615117,11087,12052,,,,,Autocuration,,1,,8,,1,B,H,BAO_0000019,
,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,CHEMBL615118,684,22226,,,,,Autocuration,,1,,0,,2,F,U,BAO_0000219,
,,,,,CHEMBL615119,15453,22226,,,,,Autocuration,,1,,0,,3,B,U,BAO_0000019,
,Bos taurus,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,CHEMBL615120,17841,104729,,,,,Autocuration,,1,,4,9913.0,4,B,H,BAO_0000249,
143B,Homo sapiens,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),CHEMBL615121,17430,80001,,163.0,,,Intermediate,,1,,1,9606.0,5,F,N,BAO_0000219,
143B,Homo sapiens,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),CHEMBL615122,17430,80001,,163.0,,,Intermediate,,1,,1,9606.0,6,F,N,BAO_0000219,
143B,Mus musculus,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,CHEMBL615123,13799,80001,,163.0,,,Intermediate,,1,,1,10090.0,7,F,N,BAO_0000219,
143B,Homo sapiens,,,In vitro cell cytotoxicity was determined against 143B cell line,CHEMBL615124,17774,80001,,163.0,,,Expert,,1,,1,9606.0,8,F,N,BAO_0000219,
143B,Homo sapiens,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,CHEMBL615125,3801,80001,,163.0,,,Intermediate,,1,,1,9606.0,9,F,N,BAO_0000219,
143B,Homo sapiens,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,CHEMBL615126,17430,80001,,163.0,,,Intermediate,,1,,1,9606.0,10,F,N,BAO_0000219,
143B,Homo sapiens,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,CHEMBL615127,17430,80001,,163.0,,,Intermediate,,1,,1,9606.0,11,F,N,BAO_0000219,
143B,Homo sapiens,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,CHEMBL615128,17774,80001,,163.0,,,Expert,,1,,1,9606.0,12,F,N,BAO_0000219,
,Staphylococcus aureus,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL857900,11324,50185,,,,,Intermediate,,1,,1,1280.0,13,F,N,BAO_0000218,
,Staphylococcus aureus,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615129,11324,50185,,,,,Intermediate,,1,,1,1280.0,14,F,N,BAO_0000218,
,Staphylococcus aureus,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615130,11324,50185,,,,,Intermediate,,1,,1,1280.0,15,F,N,BAO_0000218,
,Staphylococcus aureus,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615131,11324,50185,,,,,Intermediate,,1,,1,1280.0,16,F,N,BAO_0000218,
,Rattus norvegicus,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,CHEMBL884521,11347,100122,,,,,Expert,,1,,9,10116.0,17,A,D,BAO_0000357,
