ss_d,ss_tx_d,src_ss_d,crtd_b,ss_sbclllr_frctn,td,ss_tst_tp,chmbl_d,tss_d,ss_ctgr,src_d,ss_cll_tp,rltnshp_tp,cnfdnc_scr,cll_d,b_frmt,vrnt_d
7524,10116.0,,Intermediate,,50597,In vivo,CHEMBL618647,2113.0,,1,,N,1,,BAO_0000218,
7525,10116.0,,Intermediate,,50597,In vivo,CHEMBL618648,2113.0,,1,,N,1,,BAO_0000218,
7526,10116.0,,Intermediate,,50597,In vivo,CHEMBL618649,2113.0,,1,,N,1,,BAO_0000218,
7527,10116.0,,Intermediate,,50597,In vivo,CHEMBL618650,2107.0,,1,,N,1,,BAO_0000218,
7528,10116.0,,Intermediate,,50597,In vivo,CHEMBL618651,2107.0,,1,,N,1,,BAO_0000218,
7529,10116.0,,Intermediate,,50597,In vivo,CHEMBL876497,2107.0,,1,,N,1,,BAO_0000218,
7530,10116.0,,Intermediate,,50597,In vivo,CHEMBL618652,2048.0,,1,,N,1,,BAO_0000218,
7531,10116.0,,Intermediate,,50597,In vivo,CHEMBL618653,2048.0,,1,,N,1,,BAO_0000218,
7532,10116.0,,Intermediate,,50597,In vivo,CHEMBL618654,2048.0,,1,,N,1,,BAO_0000218,
7533,10116.0,,Intermediate,,50597,,CHEMBL618655,,,1,,N,1,,BAO_0000218,
7534,10116.0,,Intermediate,,50597,,CHEMBL618656,,,1,,N,1,,BAO_0000218,
7535,,,Intermediate,,22229,,CHEMBL618657,,,1,,U,0,,BAO_0000100,
7536,10116.0,,Intermediate,,50597,,CHEMBL618658,,,1,,N,1,,BAO_0000218,
7537,10116.0,,Intermediate,,50597,,CHEMBL618659,,,1,,N,1,,BAO_0000218,
7538,10116.0,,Intermediate,,50597,,CHEMBL618660,,,1,,N,1,,BAO_0000218,
7539,10116.0,,Intermediate,,50597,,CHEMBL618661,,,1,,N,1,,BAO_0000218,
7540,10116.0,,Intermediate,,50597,,CHEMBL873807,,,1,,N,1,,BAO_0000218,
7541,10116.0,,Intermediate,,50597,,CHEMBL618662,,,1,,N,1,,BAO_0000218,
7542,10116.0,,Intermediate,,50597,In vivo,CHEMBL618663,,,1,,N,1,,BAO_0000218,
7543,10116.0,,Intermediate,,50597,In vivo,CHEMBL618664,,,1,,N,1,,BAO_0000218,
