assays_doc_id,assays_assay_tax_id,assays_relationship_type,assays_tissue_id,assays_chembl_id,assays_assay_cell_type,assays_variant_id,assays_assay_category,assays_assay_tissue,assays_assay_id,assays_confidence_score,assays_description,assays_assay_strain,assays_curated_by,assays_tid,assays_cell_id,assays_bao_format,assays_assay_subcellular_fraction,assays_assay_test_type,assays_assay_organism,assays_src_id,assays_src_assay_id,assays_assay_type
9866,10116.0,N,2113.0,CHEMBL618647,,,,Kidney,7524,1,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2113.0,CHEMBL618648,,,,Kidney,7525,1,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2113.0,CHEMBL618649,,,,Kidney,7526,1,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2107.0,CHEMBL618650,,,,Liver,7527,1,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2107.0,CHEMBL618651,,,,Liver,7528,1,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2107.0,CHEMBL876497,,,,Liver,7529,1,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2048.0,CHEMBL618652,,,,Lung,7530,1,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2048.0,CHEMBL618653,,,,Lung,7531,1,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
9866,10116.0,N,2048.0,CHEMBL618654,,,,Lung,7532,1,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,Intermediate,50597,,BAO_0000218,,In vivo,Rattus norvegicus,1,,A
6351,10116.0,N,,CHEMBL618655,,,,,7533,1,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,Intermediate,50597,,BAO_0000218,,,Rattus norvegicus,1,,A
