assays_CURB,assays_BAFO,assays_VARII,assays_ASSTI,assays_ASCA,assays_ASSOR,assays_ASSI,assays_ASTTY,assays_ASSUBFRA,assays_ASTIS,assays_ASSST,assays_DI,assays_TII,assays_T,assays_SRASI,assays_RELTY,assays_SI,assays_ASSCTY,assays_Descri,assays_CHI,assays_CEI,assays_CONFISCO,assays_ASST
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7524,In vivo,,Kidney,,9866,2113.0,50597,,N,1,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,CHEMBL618647,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7525,In vivo,,Kidney,,9866,2113.0,50597,,N,1,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,CHEMBL618648,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7526,In vivo,,Kidney,,9866,2113.0,50597,,N,1,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,CHEMBL618649,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7527,In vivo,,Liver,,9866,2107.0,50597,,N,1,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,CHEMBL618650,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7528,In vivo,,Liver,,9866,2107.0,50597,,N,1,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,CHEMBL618651,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7529,In vivo,,Liver,,9866,2107.0,50597,,N,1,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,CHEMBL876497,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7530,In vivo,,Lung,,9866,2048.0,50597,,N,1,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,CHEMBL618652,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7531,In vivo,,Lung,,9866,2048.0,50597,,N,1,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,CHEMBL618653,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7532,In vivo,,Lung,,9866,2048.0,50597,,N,1,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,CHEMBL618654,,1,A
Intermediate,BAO_0000218,,10116.0,,Rattus norvegicus,7533,,,,,6351,,50597,,N,1,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,CHEMBL618655,,1,A
