confidence_score,assay_strain,src_id,cell_id,assay_tax_id,assay_id,assay_category,assay_test_type,assay_type,tissue_id,src_assay_id,variant_id,assay_organism,assay_cell_type,relationship_type,chembl_id,bao_format,description,doc_id,assay_subcellular_fraction,assay_tissue,tid,curated_by
8,,1,,,1,,,B,,,,,,H,CHEMBL615117,BAO_0000019,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,11087,,,12052,Autocuration
0,,1,,,2,,,F,,,,,,U,CHEMBL615118,BAO_0000219,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,684,,,22226,Autocuration
0,,1,,,3,,,B,,,,,,U,CHEMBL615119,BAO_0000019,,15453,,,22226,Autocuration
4,,1,,9913.0,4,,,B,,,,Bos taurus,,H,CHEMBL615120,BAO_0000249,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,17841,,,104729,Autocuration
1,,1,163.0,9606.0,5,,,F,,,,Homo sapiens,143B,N,CHEMBL615121,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),17430,,,80001,Intermediate
1,,1,163.0,9606.0,6,,,F,,,,Homo sapiens,143B,N,CHEMBL615122,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),17430,,,80001,Intermediate
1,,1,163.0,10090.0,7,,,F,,,,Mus musculus,143B,N,CHEMBL615123,BAO_0000219,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,13799,,,80001,Intermediate
1,,1,163.0,9606.0,8,,,F,,,,Homo sapiens,143B,N,CHEMBL615124,BAO_0000219,In vitro cell cytotoxicity was determined against 143B cell line,17774,,,80001,Expert
1,,1,163.0,9606.0,9,,,F,,,,Homo sapiens,143B,N,CHEMBL615125,BAO_0000219,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,3801,,,80001,Intermediate
1,,1,163.0,9606.0,10,,,F,,,,Homo sapiens,143B,N,CHEMBL615126,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,17430,,,80001,Intermediate
1,,1,163.0,9606.0,11,,,F,,,,Homo sapiens,143B,N,CHEMBL615127,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,17430,,,80001,Intermediate
1,,1,163.0,9606.0,12,,,F,,,,Homo sapiens,143B,N,CHEMBL615128,BAO_0000219,In vitro cell cytotoxicity was determined against 143B-LTK cell line,17774,,,80001,Expert
