SRASSI,Descri,ASI,RELTY,ASSORG,ASSSTR,VAI,DOI,Ti,CONFISC,ASST,BAFO,CI,ASTET,SRI,CHI,TISI,ASCAT,ASSTI,CURB,ASTIS,ASSSUBCELFRA,ASSCTY
,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7524,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618647,2113.0,,10116.0,Intermediate,Kidney,,
,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,7525,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618648,2113.0,,10116.0,Intermediate,Kidney,,
,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,7526,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618649,2113.0,,10116.0,Intermediate,Kidney,,
,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7527,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618650,2107.0,,10116.0,Intermediate,Liver,,
,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,7528,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618651,2107.0,,10116.0,Intermediate,Liver,,
,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,7529,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL876497,2107.0,,10116.0,Intermediate,Liver,,
,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7530,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618652,2048.0,,10116.0,Intermediate,Lung,,
,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,7531,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618653,2048.0,,10116.0,Intermediate,Lung,,
,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,7532,N,Rattus norvegicus,,,9866,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618654,2048.0,,10116.0,Intermediate,Lung,,
,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,7533,N,Rattus norvegicus,,,6351,50597,1,A,BAO_0000218,,,1,CHEMBL618655,,,10116.0,Intermediate,,,
,Compound was tested for solubility in water,7534,N,Rattus norvegicus,,,1465,50597,1,A,BAO_0000218,,,1,CHEMBL618656,,,10116.0,Intermediate,,,
,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),7535,U,,,,5182,22229,0,P,BAO_0000100,,,1,CHEMBL618657,,,,Intermediate,,,
,Solubility was determined,7536,N,Rattus norvegicus,,,17847,50597,1,A,BAO_0000218,,,1,CHEMBL618658,,,10116.0,Intermediate,,,
,solubility in water (ug/mL) at 37 degree C.,7537,N,Rattus norvegicus,,,15339,50597,1,A,BAO_0000218,,,1,CHEMBL618659,,,10116.0,Intermediate,,,
,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,7538,N,Rattus norvegicus,,,5202,50597,1,A,BAO_0000218,,,1,CHEMBL618660,,,10116.0,Intermediate,,,
,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,7539,N,Rattus norvegicus,,,1088,50597,1,A,BAO_0000218,,,1,CHEMBL618661,,,10116.0,Intermediate,,,
,Half life in rats,7540,N,Rattus norvegicus,,,3169,50597,1,A,BAO_0000218,,,1,CHEMBL873807,,,10116.0,Intermediate,,,
,Half life in Dawley rat,7541,N,Rattus norvegicus,,,5353,50597,1,A,BAO_0000218,,,1,CHEMBL618662,,,10116.0,Intermediate,,,
