assay_id,chembl_id,assay_tissue,tid,assay_category,description,relationship_type,assay_tax_id,assay_cell_type,curated_by,assay_strain,confidence_score,src_assay_id,assay_type,assay_organism,cell_id,src_id,bao_format,tissue_id,variant_id
7524,CHEMBL618647,Kidney,50597,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2113.0,
7525,CHEMBL618648,Kidney,50597,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2113.0,
7526,CHEMBL618649,Kidney,50597,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2113.0,
7527,CHEMBL618650,Liver,50597,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2107.0,
7528,CHEMBL618651,Liver,50597,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2107.0,
7529,CHEMBL876497,Liver,50597,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2107.0,
7530,CHEMBL618652,Lung,50597,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2048.0,
7531,CHEMBL618653,Lung,50597,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2048.0,
7532,CHEMBL618654,Lung,50597,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2048.0,
7533,CHEMBL618655,,50597,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7534,CHEMBL618656,,50597,,Compound was tested for solubility in water,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7535,CHEMBL618657,,22229,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),U,,,Intermediate,,0,,P,,,1,BAO_0000100,,
7536,CHEMBL618658,,50597,,Solubility was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7537,CHEMBL618659,,50597,,solubility in water (ug/mL) at 37 degree C.,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7538,CHEMBL618660,,50597,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7539,CHEMBL618661,,50597,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7540,CHEMBL873807,,50597,,Half life in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7541,CHEMBL618662,,50597,,Half life in Dawley rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7542,CHEMBL618663,,50597,,Half life period after 3 mg/kg iv administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7543,CHEMBL618664,,50597,,Half life period after 3 mg/kg iv administration in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7544,CHEMBL618665,,50597,,Half life period after 3 mg/kg iv administration in the rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7545,CHEMBL876498,,50597,,Half life period in female Sprague-Dawley rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7546,CHEMBL618666,,50597,,Half life period in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7547,CHEMBL620440,,50597,,Half-life in rats was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7548,CHEMBL620441,,50597,,Half-life in rats with metabolic oxidation,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7549,CHEMBL620442,,50597,,Half-life in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7550,CHEMBL620443,,50597,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7551,CHEMBL620444,,50597,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7552,CHEMBL620445,,50597,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7553,CHEMBL620446,,50597,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7554,CHEMBL620447,Plasma,50597,,Biological half-life measured in plasma of rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7555,CHEMBL621129,Plasma,50597,,Biological half-life measured in plasma of rat; 22-25,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7556,CHEMBL621130,Plasma,50597,,Biological half-life measured in plasma of rat; 9-16,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7557,CHEMBL873808,,50597,,Compound was evaluated for its half life when administered intravenously in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7558,CHEMBL876598,,50597,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7559,CHEMBL621131,,50597,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7560,CHEMBL621132,,50597,,Half life (T1/2) after oral administration in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7561,CHEMBL621133,,50597,,Half life of compound after iv administration of 20 mg/kg dose in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7562,CHEMBL621312,,50597,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,N,10116.0,,Expert,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7563,CHEMBL621313,,50597,,Half life of compound was determined in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7564,CHEMBL621314,Blood,50597,,Half life of compound was determined in rat blood,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,178.0,
7565,CHEMBL621315,,50597,,Half life at 1 mg/kg was determined in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7566,CHEMBL621316,,50597,,Half life at 10 mg/kg was determined in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7567,CHEMBL621317,,50597,,Half life in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7568,CHEMBL621318,,50597,,Half life in rats in hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7569,CHEMBL621319,,50597,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7570,CHEMBL621377,,50597,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7571,CHEMBL621378,,50597,,Half life was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7572,CHEMBL876599,,50597,,Half life after i.v. administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7573,CHEMBL621379,,50597,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7574,CHEMBL621380,Plasma,50597,,Half life in rat plasma,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7575,CHEMBL621381,Plasma,50597,,Half life in rat plasma; Not detected,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7576,CHEMBL618515,,50597,,Half life in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7577,CHEMBL618516,,50597,,Half life period of compound was determined after peroral administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7578,CHEMBL618517,,50597,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7579,CHEMBL618518,,50597,,Half life period in rat,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7580,CHEMBL618519,,50597,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7581,CHEMBL618698,,50597,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7582,CHEMBL618862,,50597,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7583,CHEMBL618863,,50597,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7584,CHEMBL618864,,50597,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7585,CHEMBL618865,,50597,,Half life time in rat the dose of 2 mg/kg,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7586,CHEMBL618866,,50597,,Half-life 24 hr after 10 mg/kg iv administration in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7587,CHEMBL618867,,50597,,Half-life 24 hr after 2 mg/kg iv administration in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7588,CHEMBL875828,,50597,,Half-life consistent with the observed metabolic steady state in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7589,CHEMBL618868,,50597,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7590,CHEMBL618869,,50597,,Half-life for oxidative metabolic stability was determined using male human,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7591,CHEMBL618870,,50597,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7592,CHEMBL618871,Plasma,50597,,Half-life in rat plasma,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7593,CHEMBL618872,Plasma,50597,,Half-life in rat plasma was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7594,CHEMBL873816,,50597,,Half-life in rats was determined,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7595,CHEMBL618873,,22224,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7596,CHEMBL621602,,22224,,Area under curve after oral dose of 0.1 mg//kg,U,,,Autocuration,,0,,A,,,1,BAO_0000019,,
7597,CHEMBL621603,,22224,,Area under curve after oral dose of 0.3 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7598,CHEMBL621604,,22224,,Area under curve after oral dose of 1 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7599,CHEMBL621605,,22224,,Area under curve after oral dose of 10 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7600,CHEMBL621606,,22224,,Area under curve after oral dose of 23.4 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7601,CHEMBL621607,,22224,,Area under curve after oral dose of 3 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7602,CHEMBL621608,,22224,,Area under curve after oral dose of 3.87 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7603,CHEMBL621609,,22224,,Area under curve was determined,U,,,Autocuration,,0,,A,,,1,BAO_0000019,,
