src_assay_id,confidence_score,cell_id,description,assay_strain,assay_id,doc_id,assay_subcellular_fraction,src_id,assay_organism,curated_by,tid,assay_category,assay_tax_id,assay_tissue,relationship_type,tissue_id,assay_test_type,assay_cell_type,bao_format,assay_type,variant_id,chembl_id
,8,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,1,11087,,1,,Autocuration,12052,,,,H,,,,BAO_0000019,B,,CHEMBL615117
,0,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,2,684,,1,,Autocuration,22226,,,,U,,,,BAO_0000219,F,,CHEMBL615118
,0,,,,3,15453,,1,,Autocuration,22226,,,,U,,,,BAO_0000019,B,,CHEMBL615119
,4,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,4,17841,,1,Bos taurus,Autocuration,104729,,9913.0,,H,,,,BAO_0000249,B,,CHEMBL615120
,1,163.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,5,17430,,1,Homo sapiens,Intermediate,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615121
,1,163.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,6,17430,,1,Homo sapiens,Intermediate,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615122
,1,163.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,7,13799,,1,Mus musculus,Intermediate,80001,,10090.0,,N,,,143B,BAO_0000219,F,,CHEMBL615123
,1,163.0,In vitro cell cytotoxicity was determined against 143B cell line,,8,17774,,1,Homo sapiens,Expert,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615124
,1,163.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,9,3801,,1,Homo sapiens,Intermediate,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615125
,1,163.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,10,17430,,1,Homo sapiens,Intermediate,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615126
,1,163.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,11,17430,,1,Homo sapiens,Intermediate,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615127
,1,163.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,12,17774,,1,Homo sapiens,Expert,80001,,9606.0,,N,,,143B,BAO_0000219,F,,CHEMBL615128
,1,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,13,11324,,1,Staphylococcus aureus,Intermediate,50185,,1280.0,,N,,,,BAO_0000218,F,,CHEMBL857900
,1,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,14,11324,,1,Staphylococcus aureus,Intermediate,50185,,1280.0,,N,,,,BAO_0000218,F,,CHEMBL615129
,1,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,15,11324,,1,Staphylococcus aureus,Intermediate,50185,,1280.0,,N,,,,BAO_0000218,F,,CHEMBL615130
,1,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,16,11324,,1,Staphylococcus aureus,Intermediate,50185,,1280.0,,N,,,,BAO_0000218,F,,CHEMBL615131
,9,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,17,11347,,1,Rattus norvegicus,Expert,100122,,10116.0,,D,,,,BAO_0000357,A,,CHEMBL884521
,8,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,18,16474,,1,,Autocuration,12054,,,,H,,,,BAO_0000357,B,,CHEMBL615132
,8,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,19,10091,,1,,Autocuration,12054,,,,H,,,,BAO_0000019,B,,CHEMBL615133
,8,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,20,16474,,1,,Autocuration,12054,,,,H,,,,BAO_0000357,B,,CHEMBL615134
,8,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,21,16474,,1,,Autocuration,12054,,,,H,,,,BAO_0000357,B,,CHEMBL615135
,8,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,22,16474,,1,,Autocuration,12054,,,,H,,,,BAO_0000357,B,,CHEMBL615136
,8,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,23,16474,,1,,Autocuration,12054,,,,H,,,,BAO_0000357,B,,CHEMBL615137
,8,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,24,16474,,1,,Autocuration,12054,,,,H,,,,BAO_0000357,B,,CHEMBL615138
,0,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,25,14352,,1,,Autocuration,22226,,,,U,,,,BAO_0000219,B,,CHEMBL836324
,8,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,26,5646,,1,Oryctolagus cuniculus,Autocuration,12054,,9986.0,,H,,,,BAO_0000357,B,,CHEMBL615139
,8,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,27,5646,,1,Oryctolagus cuniculus,Autocuration,12054,,9986.0,,H,,,,BAO_0000357,B,,CHEMBL615140
,8,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,28,10997,,1,,Autocuration,12426,,,,H,,,,BAO_0000219,B,,CHEMBL615141
,8,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,29,6309,,1,soya bean,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL615142
,8,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,30,167,,1,Glycine max,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL615143
,8,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,31,167,,1,Glycine max,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL615144
,8,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,32,11087,,1,Glycine max,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL872867
,8,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,33,11087,,1,Glycine max,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL615145
,8,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,34,13622,,1,Glycine max,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL615146
,8,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,35,13622,,1,Glycine max,Autocuration,12054,,3847.0,,H,,,,BAO_0000357,B,,CHEMBL615147
,0,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,36,11347,,1,Rattus norvegicus,Autocuration,22226,,10116.0,,U,,,,BAO_0000019,A,,CHEMBL615148
,0,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,37,5926,,1,Escherichia coli,Autocuration,22226,,562.0,,U,,,,BAO_0000019,B,,CHEMBL615149
,0,,Dissociation constant with dimeric 16S rRNA RNA construct B,,38,4567,,1,,Autocuration,22226,,,,U,,,,BAO_0000019,B,,CHEMBL615150
,3,,Dissociation constant towards 16S rRNA construct A,,39,3782,,1,,Intermediate,22222,,,,M,,,,BAO_0000225,B,,CHEMBL615151
,3,,Dissociation constant towards 16S rRNA construct B,,40,3782,,1,,Intermediate,22222,,,,M,,,,BAO_0000225,B,,CHEMBL615152
,3,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,41,4466,,1,Escherichia coli,Expert,100263,,562.0,,M,,,,BAO_0000225,B,,CHEMBL615153
,3,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,42,6592,,1,Escherichia coli,Expert,100263,,562.0,,M,,,,BAO_0000225,B,,CHEMBL615154
,8,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,43,898,,1,,Autocuration,13053,,,,H,,,,BAO_0000019,B,,CHEMBL615155
,8,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,44,898,,1,,Autocuration,13053,,,,H,,,,BAO_0000019,B,,CHEMBL615156
,8,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,45,13163,,1,Homo sapiens,Autocuration,20001,,9606.0,,H,,,,BAO_0000019,B,,CHEMBL615157
,8,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,46,13163,,1,Homo sapiens,Autocuration,20001,,9606.0,,H,,,,BAO_0000019,B,,CHEMBL615158
