assays_assay_id,assays_cell_id,assays_curated_by,assays_assay_category,assays_variant_id,assays_assay_tissue,assays_assay_subcellular_fraction,assays_tid,assays_relationship_type,assays_confidence_score,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_bao_format,assays_tissue_id
7524,,Intermediate,,,Kidney,,50597,N,1,1,,CHEMBL618647,BAO_0000218,2113.0
7525,,Intermediate,,,Kidney,,50597,N,1,1,,CHEMBL618648,BAO_0000218,2113.0
7526,,Intermediate,,,Kidney,,50597,N,1,1,,CHEMBL618649,BAO_0000218,2113.0
7527,,Intermediate,,,Liver,,50597,N,1,1,,CHEMBL618650,BAO_0000218,2107.0
7528,,Intermediate,,,Liver,,50597,N,1,1,,CHEMBL618651,BAO_0000218,2107.0
7529,,Intermediate,,,Liver,,50597,N,1,1,,CHEMBL876497,BAO_0000218,2107.0
7530,,Intermediate,,,Lung,,50597,N,1,1,,CHEMBL618652,BAO_0000218,2048.0
7531,,Intermediate,,,Lung,,50597,N,1,1,,CHEMBL618653,BAO_0000218,2048.0
7532,,Intermediate,,,Lung,,50597,N,1,1,,CHEMBL618654,BAO_0000218,2048.0
7533,,Intermediate,,,,,50597,N,1,1,,CHEMBL618655,BAO_0000218,
7534,,Intermediate,,,,,50597,N,1,1,,CHEMBL618656,BAO_0000218,
7535,,Intermediate,,,,,22229,U,0,1,,CHEMBL618657,BAO_0000100,
7536,,Intermediate,,,,,50597,N,1,1,,CHEMBL618658,BAO_0000218,
7537,,Intermediate,,,,,50597,N,1,1,,CHEMBL618659,BAO_0000218,
7538,,Intermediate,,,,,50597,N,1,1,,CHEMBL618660,BAO_0000218,
7539,,Intermediate,,,,,50597,N,1,1,,CHEMBL618661,BAO_0000218,
7540,,Intermediate,,,,,50597,N,1,1,,CHEMBL873807,BAO_0000218,
7541,,Intermediate,,,,,50597,N,1,1,,CHEMBL618662,BAO_0000218,
7542,,Intermediate,,,,,50597,N,1,1,,CHEMBL618663,BAO_0000218,
7543,,Intermediate,,,,,50597,N,1,1,,CHEMBL618664,BAO_0000218,
7544,,Intermediate,,,,,50597,N,1,1,,CHEMBL618665,BAO_0000218,
7545,,Intermediate,,,,,50597,N,1,1,,CHEMBL876498,BAO_0000218,
7546,,Intermediate,,,,,50597,N,1,1,,CHEMBL618666,BAO_0000218,
7547,,Intermediate,,,,,50597,N,1,1,,CHEMBL620440,BAO_0000218,
7548,,Intermediate,,,,,50597,N,1,1,,CHEMBL620441,BAO_0000218,
7549,,Intermediate,,,,,50597,N,1,1,,CHEMBL620442,BAO_0000218,
7550,,Intermediate,,,,,50597,N,1,1,,CHEMBL620443,BAO_0000218,
7551,,Intermediate,,,,,50597,N,1,1,,CHEMBL620444,BAO_0000218,
7552,,Intermediate,,,,,50597,N,1,1,,CHEMBL620445,BAO_0000218,
7553,,Intermediate,,,,,50597,N,1,1,,CHEMBL620446,BAO_0000218,
7554,,Intermediate,,,Plasma,,50597,N,1,1,,CHEMBL620447,BAO_0000218,1969.0
7555,,Intermediate,,,Plasma,,50597,N,1,1,,CHEMBL621129,BAO_0000218,1969.0
7556,,Intermediate,,,Plasma,,50597,N,1,1,,CHEMBL621130,BAO_0000218,1969.0
7557,,Intermediate,,,,,50597,N,1,1,,CHEMBL873808,BAO_0000218,
7558,,Intermediate,,,,,50597,N,1,1,,CHEMBL876598,BAO_0000218,
7559,,Intermediate,,,,,50597,N,1,1,,CHEMBL621131,BAO_0000218,
7560,,Intermediate,,,,,50597,N,1,1,,CHEMBL621132,BAO_0000218,
7561,,Intermediate,,,,,50597,N,1,1,,CHEMBL621133,BAO_0000218,
7562,,Expert,,,,,50597,N,1,1,,CHEMBL621312,BAO_0000218,
7563,,Intermediate,,,,,50597,N,1,1,,CHEMBL621313,BAO_0000218,
7564,,Intermediate,,,Blood,,50597,N,1,1,,CHEMBL621314,BAO_0000218,178.0
7565,,Intermediate,,,,,50597,N,1,1,,CHEMBL621315,BAO_0000218,
7566,,Intermediate,,,,,50597,N,1,1,,CHEMBL621316,BAO_0000218,
7567,,Intermediate,,,,,50597,N,1,1,,CHEMBL621317,BAO_0000218,
7568,,Intermediate,,,,,50597,N,1,1,,CHEMBL621318,BAO_0000218,
7569,,Intermediate,,,,,50597,N,1,1,,CHEMBL621319,BAO_0000218,
7570,,Intermediate,,,,,50597,N,1,1,,CHEMBL621377,BAO_0000218,
7571,,Intermediate,,,,,50597,N,1,1,,CHEMBL621378,BAO_0000218,
7572,,Intermediate,,,,,50597,N,1,1,,CHEMBL876599,BAO_0000218,
7573,,Intermediate,,,,,50597,N,1,1,,CHEMBL621379,BAO_0000218,
7574,,Intermediate,,,Plasma,,50597,N,1,1,,CHEMBL621380,BAO_0000218,1969.0
7575,,Intermediate,,,Plasma,,50597,N,1,1,,CHEMBL621381,BAO_0000218,1969.0
7576,,Intermediate,,,,,50597,N,1,1,,CHEMBL618515,BAO_0000218,
7577,,Intermediate,,,,,50597,N,1,1,,CHEMBL618516,BAO_0000218,
7578,,Intermediate,,,,,50597,N,1,1,,CHEMBL618517,BAO_0000218,
7579,,Intermediate,,,,,50597,N,1,1,,CHEMBL618518,BAO_0000218,
