assay_id,assay_tax_id,assay_test_type,relationship_type,assay_category,doc_id,assay_strain,tid,assay_type,assay_organism,assay_cell_type,description,assay_tissue,assay_subcellular_fraction,confidence_score,curated_by,src_id
1,,,H,,11087,,12052,B,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,8,Autocuration,1
2,,,U,,684,,22226,F,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,0,Autocuration,1
3,,,U,,15453,,22226,B,,,,,,0,Autocuration,1
4,13477.0,,H,,17841,,104729,B,Bostaurue,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,4,Autocuration,1
5,10531.0,,N,,17430,,80001,F,Hohosap9ens,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,1,Intermediate,1
6,44924.0,,N,,17430,,80001,F,Homozzpiens,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,1,Intermediate,1
7,36831.0,,N,,13799,,80001,F,nusmuqculus,143B,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,1,Intermediate,1
8,2872.0,,N,,17774,,80001,F,Homosalisns,143B,In vitro cell cytotoxicity was determined against 143B cell line,,,1,Expert,1
9,6210.0,,N,,3801,,80001,F,nomosap8ens,143B,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,1,Intermediate,1
10,26106.0,,N,,17430,,80001,F,momoswpiens,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,1,Intermediate,1
11,7599.0,,N,,17430,,80001,F,Homosxpoens,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,1,Intermediate,1
12,7502.0,,N,,17774,,80001,F,Homosapi3nx,143B,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,1,Expert,1
13,12805.0,,N,,11324,,50185,F,Sraph7lockccusaursus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1,Intermediate,1
14,4251.0,,N,,11324,,50185,F,wtaph6locicdusaureus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1,Intermediate,1
15,10738.0,,N,,11324,,50185,F,Staph6lockdcusaure6s,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1,Intermediate,1
16,7876.0,,N,,11324,,50185,F,Shaphypocpccussureus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1,Intermediate,1
17,8328.0,,D,,11347,,100122,A,Rattusn0rveguc6s,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,9,Expert,1
18,,,H,,16474,,12054,B,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,8,Autocuration,1
19,,,H,,10091,,12054,B,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,8,Autocuration,1
20,,,H,,16474,,12054,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,8,Autocuration,1
21,,,H,,16474,,12054,B,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,8,Autocuration,1
22,,,H,,16474,,12054,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,8,Autocuration,1
23,,,H,,16474,,12054,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,8,Autocuration,1
24,,,H,,16474,,12054,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,8,Autocuration,1
25,,,U,,14352,,22226,B,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,0,Autocuration,1
26,5014.0,,H,,5646,,12054,B,Oryctolaruzsunicul8s,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,8,Autocuration,1
27,6207.0,,H,,5646,,12054,B,Oryc58laguxcumiculus,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,8,Autocuration,1
28,,,H,,10997,,12426,B,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,8,Autocuration,1
29,543.0,,H,,6309,,12054,B,sojabean,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,8,Autocuration,1
30,33356.0,,H,,167,,12054,B,Glyxonemax,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,8,Autocuration,1
31,12257.0,,H,,167,,12054,B,vlycinfmax,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,8,Autocuration,1
32,2932.0,,H,,11087,,12054,B,Gkycinemaa,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,8,Autocuration,1
33,2931.0,,H,,11087,,12054,B,fiycinemax,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,8,Autocuration,1
34,36358.0,,H,,13622,,12054,B,Glycjnekax,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,8,Autocuration,1
35,3870.0,,H,,13622,,12054,B,Glucinemsx,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,8,Autocuration,1
36,30804.0,,U,,11347,,22226,A,Ratt6snorgenicus,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,0,Autocuration,1
37,14365.0,,U,,5926,,22226,B,fscherixmiacoli,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,0,Autocuration,1
38,,,U,,4567,,22226,B,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,0,Autocuration,1
39,,,M,,3782,,22222,B,,,Dissociation constant towards 16S rRNA construct A,,,3,Intermediate,1
40,,,M,,3782,,22222,B,,,Dissociation constant towards 16S rRNA construct B,,,3,Intermediate,1
41,323.0,,M,,4466,,100263,B,4scherichizc9li,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,3,Expert,1
42,29449.0,,M,,6592,,100263,B,Escherichixcoik,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,3,Expert,1
43,,,H,,898,,13053,B,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,8,Autocuration,1
44,,,H,,898,,13053,B,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,8,Autocuration,1
45,26647.0,,H,,13163,,20001,B,yomosapi2ns,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,8,Autocuration,1
46,20739.0,,H,,13163,,20001,B,Hohosaoiens,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,8,Autocuration,1
47,30071.0,,D,,10691,,12971,B,Rartusnorcegicux,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,9,Expert,1
48,4602.0,,D,,10691,,12971,B,Ratt8snorveg7vus,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,9,Expert,1
49,51046.0,,D,,10691,,12971,B,Ragtusnorvegisjs,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,9,Expert,1
50,14733.0,,D,,10691,,12971,B,3attushorvegichs,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,9,Expert,1
51,,,H,,898,,13053,B,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,8,Autocuration,1
52,,,H,,912,,11512,B,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,8,Autocuration,1
53,,,H,,912,,11512,B,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,8,Autocuration,1
54,,,H,,912,,11512,B,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,8,Autocuration,1
55,26549.0,,D,,15103,,104740,B,Rattusborverixus,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Membranes,5,Autocuration,1
56,28453.0,,N,,5116,,80002,F,Homoqapiena,1A9,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,1,Intermediate,1
57,8338.0,,D,,14578,,104835,F,Rafrysnorvegicus,Oocytws,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,7,Autocuration,1
58,27107.0,,D,,14578,,104821,F,Rattuwno4vegicue,Oocttes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,7,Autocuration,1
59,673.0,,D,,14578,,104848,F,tatthsn0rvegicus,Ooc7tes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,7,Autocuration,1
