Fiscal year,IRTC percent,Untied amount(Project-level budget),Disability issues (marker),Gender equality (marker),Fund centre name,Organisation type,Project Browser country ID,CountryRegion name,Urban issues (marker),Fund centre ID,FSTC percent,Enviromental sustainability (marker),Section ID,Division name,Amount spent,Sector ID,Climate change mitigation (marker),Organisation class,Bilateral aid (international marker),Continent ID,Organisation ID,CountryRegion percent,Youth issues (marker),Sector name,Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section name,Regional program (marker),CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Climate change adaptation (marker)
2009/2010,0.0,8500267.65,0,2,Bangladesh,Canadian Profit Making,BD,Bangladesh,0,4122,1.0,0,S4122,OAD Asia Programming,3932.842,15150,0,Individual,1,3,Information not available,1.0,0,Democratic participation and civil society,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,Bangladesh Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,8500267.65,0,2,Bangladesh,Canadian Profit Making,BD,Bangladesh,0,4122,1.0,0,S4122,OAD Asia Programming,5899.263000000001,24040,0,Individual,1,3,Information not available,1.0,0,Informal/semi-formal financial intermediaries,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,Bangladesh Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,8500267.65,0,2,Bangladesh,Canadian Profit Making,BD,Bangladesh,0,4122,1.0,0,S4122,OAD Asia Programming,9832.105,25020,0,Individual,1,3,Information not available,1.0,0,Privatization,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,Bangladesh Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,West Bank Gaza,Canadian Non-Profit Making,PS,West Bank Gaza,0,4265,0.0,0,S4264,EDD Europe-Middle East Programming,20502.06,99810,0,Governmental,1,3,10050,1.0,0,Sectors not specified,A018652001,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,West Bank Gaza & Palestinian Refugees,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,14410076.46,0,2,Mali,Canadian Non-Profit Making,ML,Mali,1,4216,1.0,0,S4215,WWD West & Central Africa,14226.985,16020,0,Governmental,1,2,10050,1.0,0,Employment policy and administrative management,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,14410076.46,0,2,Mali,Canadian Non-Profit Making,ML,Mali,1,4216,1.0,0,S4215,WWD West & Central Africa,11381.588,32310,0,Governmental,1,2,10050,1.0,0,Construction policy and administrative management,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,14410076.46,0,2,Mali,Canadian Non-Profit Making,ML,Mali,1,4216,1.0,0,S4215,WWD West & Central Africa,2845.397,43030,0,Governmental,1,2,10050,1.0,0,Urban development and management,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,13743220.56,0,0,Pakistan,Canadian Non-Profit Making,PK,Pakistan,0,4124,1.0,0,S4141,OAD Asia Programming,142315.2,15110,0,Governmental,1,3,10050,1.0,0,Public sector policy and administrative management,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,13743220.56,0,0,Pakistan,Canadian Non-Profit Making,PK,Pakistan,0,4124,1.0,0,S4141,OAD Asia Programming,142315.2,15111,0,Governmental,1,3,10050,1.0,0,Public finance management,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,13743220.56,0,0,Pakistan,Canadian Non-Profit Making,PK,Pakistan,0,4124,1.0,0,S4141,OAD Asia Programming,71157.6,16010,0,Governmental,1,3,10050,1.0,0,Social/welfare services,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
