Fiscal year,Continent ID,Division ID,Disability issues (marker),Youth issues (marker),Branch ID,Gender equality (marker),Project Browser country ID,Organisation class,Continent name,CountryRegion percent,Division name,Status,Participatory development and good governance,CFLI (marker),Organisation type,CountryRegion name,Amount spent,Bilateral aid (international marker),Project number,ICT as a tool for development (marker),Biodiversity (marker),Indigenous issues (marker),Section ID,Regional program (marker),Maximum CIDA contribution (project-level),Branch name,Section name,Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker)
2009/2010,3,D4100,0,0,B4100,2,BD,Individual,Asia,1.0,OAD Asia Programming,Closed,0,0,Canadian Profit Making,Bangladesh,3932.842,1,A017716001,0,0,0,S4122,0,8500267.65,OGM Asia Pacific,Bangladesh Section,4122,Bangladesh,8500267.65,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,2,BD,Individual,Asia,1.0,OAD Asia Programming,Closed,0,0,Canadian Profit Making,Bangladesh,5899.263000000001,1,A017716001,0,0,0,S4122,0,8500267.65,OGM Asia Pacific,Bangladesh Section,4122,Bangladesh,8500267.65,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,2,BD,Individual,Asia,1.0,OAD Asia Programming,Closed,0,0,Canadian Profit Making,Bangladesh,9832.105,1,A017716001,0,0,0,S4122,0,8500267.65,OGM Asia Pacific,Bangladesh Section,4122,Bangladesh,8500267.65,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D3100,0,0,B3100,0,PS,Governmental,Asia,1.0,EDD Europe-Middle East Programming,Closed,0,0,Canadian Non-Profit Making,West Bank Gaza,20502.06,1,A018652001,0,0,0,S4264,0,500458.33,"EGM Europe, Middle East and Maghreb",West Bank Gaza & Palestinian Refugees,4265,West Bank Gaza,0.0,0.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Governmental,Africa,1.0,WWD West & Central Africa,Closed,1,0,Canadian Non-Profit Making,Mali,14226.985,1,A018893001,0,0,0,S4215,0,14410076.46,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,14410076.46,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Governmental,Africa,1.0,WWD West & Central Africa,Closed,1,0,Canadian Non-Profit Making,Mali,11381.588,1,A018893001,0,0,0,S4215,0,14410076.46,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,14410076.46,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Governmental,Africa,1.0,WWD West & Central Africa,Closed,1,0,Canadian Non-Profit Making,Mali,2845.397,1,A018893001,0,0,0,S4215,0,14410076.46,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,14410076.46,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,PK,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Pakistan,142315.2,1,A019043001,0,0,0,S4141,0,13743220.56,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,13743220.56,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,PK,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Pakistan,142315.2,1,A019043001,0,0,0,S4141,0,13743220.56,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,13743220.56,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,PK,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Pakistan,71157.6,1,A019043001,0,0,0,S4141,0,13743220.56,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,13743220.56,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1,D4400,0,0,B4400,0,JM,Civil Society,America,1.0,NDD Americas Programming,Closed,0,0,Canadian Profit Making,Jamaica,13163.27,1,A019362001,1,0,0,S4429,0,3441416.83,NGM Americas,Caricom - Adm,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1,D4400,0,0,B4400,0,JM,Civil Society,America,1.0,NDD Americas Programming,Closed,0,0,Canadian Profit Making,Jamaica,7256.25,1,A019362001,1,0,0,S4429,0,3441416.83,NGM Americas,Caricom - Adm,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,73931.99,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,18482.9975,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,18482.9975,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,18482.9975,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,92414.9875,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,55448.9925,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
