assay_id,src_assay_id,assay_tax_id,assay_tissue,variant_id,assay_subcellular_fraction,confidence_score,assay_type,relationship_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_cell_type
1,,,,,,8,B,H,sutocyration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,
2,,,,,,0,F,U,A7tocurstion,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,
3,,,,,,0,B,U,Au5ovuration,15453,,,,,,
4,,54391.0,,,,4,B,H,xutofuration,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,Bos taurus,,
5,,33350.0,,,,1,F,N,Intermesjate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,,143B
6,,16845.0,,,,1,F,N,untermewiate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,,143B
7,,45930.0,,,,1,F,N,Intermed7ats,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,Mus musculus,,143B
8,,10479.0,,,,1,F,N,Ex0ert,17774,In vitro cell cytotoxicity was determined against 143B cell line,,,Homo sapiens,,143B
9,,22955.0,,,,1,F,N,In4edmediate,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,Homo sapiens,,143B
10,,11410.0,,,,1,F,N,Ijtermedizte,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,,143B
11,,34393.0,,,,1,F,N,Intermedjwte,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,,143B
12,,32025.0,,,,1,F,N,Expsrt,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,Homo sapiens,,143B
13,,66043.0,,,,1,F,N,Igtermeduate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
14,,35363.0,,,,1,F,N,Intedmeciate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
15,,68562.0,,,,1,F,N,Intrtmediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
16,,58392.0,,,,1,F,N,Igtermed8ate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
17,,3191.0,,,,9,A,D,Expfrt,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,Rattus norvegicus,,
18,,,,,,8,B,H,Autocurayuon,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
19,,,,,,8,B,H,Autocura4ioj,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,
20,,,,,,8,B,H,qutocuratioh,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
21,,,,,,8,B,H,Autocurztiob,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
22,,,,,,8,B,H,Autoduratikn,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
23,,,,,,8,B,H,sutockration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
24,,,,,,8,B,H,Autocjratoon,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
25,,,,,,0,B,U,zu6ocuration,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,
26,,13385.0,,,,8,B,H,Autocuratikj,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,Oryctolagus cuniculus,,
