relationship_type,src_assay_id,assay_strain,assay_tax_id,assay_organism,doc_id,tid,curated_by,description,variant_id,assay_cell_type,assay_test_type,assay_category,assay_tissue,bao_format,confidence_score,assay_subcellular_fraction,src_id,assay_id,cell_id,chembl_id,assay_type,tissue_id
H,,,,,11087,12052,Autocuration,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,BAO_0000019,8,,1,1,,CHEMBL615117,B,
U,,,,,684,22226,Autocuration,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,BAO_0000219,0,,1,2,,CHEMBL615118,F,
U,,,,,15453,22226,Autocuration,,,,,,,BAO_0000019,0,,1,3,,CHEMBL615119,B,
H,,,9913.0,Bos taurus,17841,104729,Autocuration,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,,,,BAO_0000249,4,,1,4,,CHEMBL615120,B,
N,,,9606.0,Homo sapiens,17430,80001,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,143B,,,,BAO_0000219,1,,1,5,163.0,CHEMBL615121,F,
N,,,9606.0,Homo sapiens,17430,80001,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,143B,,,,BAO_0000219,1,,1,6,163.0,CHEMBL615122,F,
N,,,10090.0,Mus musculus,13799,80001,Intermediate,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,143B,,,,BAO_0000219,1,,1,7,163.0,CHEMBL615123,F,
N,,,9606.0,Homo sapiens,17774,80001,Expert,In vitro cell cytotoxicity was determined against 143B cell line,,143B,,,,BAO_0000219,1,,1,8,163.0,CHEMBL615124,F,
N,,,9606.0,Homo sapiens,3801,80001,Intermediate,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,143B,,,,BAO_0000219,1,,1,9,163.0,CHEMBL615125,F,
N,,,9606.0,Homo sapiens,17430,80001,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,143B,,,,BAO_0000219,1,,1,10,163.0,CHEMBL615126,F,
N,,,9606.0,Homo sapiens,17430,80001,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,143B,,,,BAO_0000219,1,,1,11,163.0,CHEMBL615127,F,
N,,,9606.0,Homo sapiens,17774,80001,Expert,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,143B,,,,BAO_0000219,1,,1,12,163.0,CHEMBL615128,F,
N,,,1280.0,Staphylococcus aureus,11324,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,,BAO_0000218,1,,1,13,,CHEMBL857900,F,
N,,,1280.0,Staphylococcus aureus,11324,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,,BAO_0000218,1,,1,14,,CHEMBL615129,F,
N,,,1280.0,Staphylococcus aureus,11324,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,,BAO_0000218,1,,1,15,,CHEMBL615130,F,
