ss_d,ss_sbclllr_frctn,ss_tst_tp,ss_tp,tss_d,ss_tx_d,rltnshp_tp,cnfdnc_scr,crtd_b,src_d,src_ss_d,chmbl_d,cll_d,b_frmt,vrnt_d
7524,,In vivo,A,2113.0,10116.0,N,1,Intermediate,1,,CHEMBL618647,,BAO_0000218,
7525,,In vivo,A,2113.0,10116.0,N,1,Intermediate,1,,CHEMBL618648,,BAO_0000218,
7526,,In vivo,A,2113.0,10116.0,N,1,Intermediate,1,,CHEMBL618649,,BAO_0000218,
7527,,In vivo,A,2107.0,10116.0,N,1,Intermediate,1,,CHEMBL618650,,BAO_0000218,
7528,,In vivo,A,2107.0,10116.0,N,1,Intermediate,1,,CHEMBL618651,,BAO_0000218,
7529,,In vivo,A,2107.0,10116.0,N,1,Intermediate,1,,CHEMBL876497,,BAO_0000218,
7530,,In vivo,A,2048.0,10116.0,N,1,Intermediate,1,,CHEMBL618652,,BAO_0000218,
7531,,In vivo,A,2048.0,10116.0,N,1,Intermediate,1,,CHEMBL618653,,BAO_0000218,
7532,,In vivo,A,2048.0,10116.0,N,1,Intermediate,1,,CHEMBL618654,,BAO_0000218,
7533,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618655,,BAO_0000218,
7534,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618656,,BAO_0000218,
7535,,,P,,,U,0,Intermediate,1,,CHEMBL618657,,BAO_0000100,
7536,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618658,,BAO_0000218,
7537,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618659,,BAO_0000218,
7538,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618660,,BAO_0000218,
7539,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618661,,BAO_0000218,
7540,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL873807,,BAO_0000218,
7541,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL618662,,BAO_0000218,
7542,,In vivo,A,,10116.0,N,1,Intermediate,1,,CHEMBL618663,,BAO_0000218,
7543,,In vivo,A,,10116.0,N,1,Intermediate,1,,CHEMBL618664,,BAO_0000218,
7544,,In vivo,A,,10116.0,N,1,Intermediate,1,,CHEMBL618665,,BAO_0000218,
7545,,,A,,10116.0,N,1,Intermediate,1,,CHEMBL876498,,BAO_0000218,
