titolo,descrizione,lingua_id,data_rilascio,tariffa_noleggio,costo_sostituzione,durata,lingua_originale_id,durata_noleggio,voto,film_id
ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,2006,0.99,20.99,86,,6,PG,1
ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,1,2006,4.99,12.99,48,,3,G,2
ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,1,2006,2.99,18.99,50,,7,NC-17,3
AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,1,2006,2.99,26.99,117,,5,G,4
AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,1,2006,2.99,22.99,130,,6,G,5
AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,1,2006,2.99,17.99,169,,3,PG,6
AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,1,2006,4.99,28.99,62,,6,PG-13,7
AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,1,2006,4.99,15.99,54,,6,R,8
ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,1,2006,2.99,21.99,114,,3,PG-13,9
ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,1,2006,4.99,24.99,63,,6,NC-17,10
ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,1,2006,0.99,16.99,126,,6,G,11
ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,1,2006,0.99,22.99,136,,6,PG,12
ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,1,2006,4.99,21.99,150,,4,PG,13
ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,1,2006,0.99,23.99,94,,6,NC-17,14
ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,1,2006,2.99,10.99,46,,5,NC-17,15
ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,1,2006,2.99,23.99,180,,6,NC-17,16
ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,1,2006,0.99,14.99,82,,3,R,17
ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,1,2006,0.99,27.99,57,,6,PG-13,18
AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,1,2006,0.99,20.99,113,,6,PG,19
AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,1,2006,4.99,23.99,79,,4,R,20
AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,1,2006,4.99,17.99,129,,3,R,21
AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,1,2006,2.99,10.99,85,,6,G,22
ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,1,2006,0.99,9.99,92,,3,R,23
ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,1,2006,2.99,19.99,181,,6,R,24
ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,1,2006,2.99,15.99,74,,3,G,25
ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,1,2006,0.99,15.99,86,,3,G,26
ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,1,2006,0.99,12.99,179,,7,NC-17,27
ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,1,2006,4.99,16.99,91,,5,PG-13,28
ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,1,2006,2.99,11.99,168,,5,NC-17,29
ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,1,2006,2.99,27.99,82,,4,R,30
APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,1,2006,4.99,16.99,92,,5,NC-17,31
APOCALYPSE FLAMINGOS,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,1,2006,4.99,11.99,119,,6,R,32
APOLLO TEEN,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,1,2006,2.99,15.99,153,,5,PG-13,33
ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,1,2006,0.99,29.99,62,,6,NC-17,34
ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,1,2006,2.99,24.99,147,,4,PG-13,35
ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,1,2006,0.99,12.99,127,,7,PG-13,36
ARIZONA BANG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,1,2006,2.99,28.99,121,,3,PG,37
ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,1,2006,0.99,25.99,68,,6,NC-17,38
ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,1,2006,0.99,10.99,99,,5,G,39
ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,1,2006,0.99,22.99,148,,4,R,40
ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,1,2006,0.99,17.99,137,,4,PG,41
ARTIST COLDBLOODED,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,1,2006,2.99,10.99,170,,5,NC-17,42
ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,1,2006,2.99,15.99,170,,6,G,43
ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,1,2006,4.99,21.99,113,,5,PG-13,44
ATTRACTION NEWTON,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,1,2006,4.99,14.99,83,,5,PG-13,45
AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,1,2006,4.99,13.99,108,,3,G,46
BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,1,2006,4.99,23.99,153,,5,NC-17,47
