noleggio_id,cliente_id,data_noleggio,npersonale_id,data_pagamento,pagamento_id,inventario_id,data_restituzione,ammontare,ppersonale_id
573,1,2005-05-28 10:35:23,1,2005-05-28 10:35:23,2,4020,2005-06-03 06:32:23,0.99,1
1476,1,2005-06-15 21:08:46,1,2005-06-15 21:08:46,5,1407,2005-06-25 02:26:46,9.99,2
3284,1,2005-06-21 06:24:45,1,2005-06-21 06:24:45,9,4566,2005-06-28 03:28:45,3.99,1
5244,1,2005-07-09 13:24:07,2,2005-07-09 13:24:07,12,3726,2005-07-14 14:01:07,4.99,1
7273,1,2005-07-27 11:31:22,1,2005-07-27 11:31:22,15,2465,2005-07-31 06:50:22,2.99,2
7841,1,2005-07-28 09:04:45,2,2005-07-28 09:04:45,16,1092,2005-07-30 12:37:45,4.99,1
11367,1,2005-08-02 18:01:38,1,2005-08-02 18:01:38,24,1440,2005-08-04 13:19:38,0.99,1
13068,1,2005-08-19 09:55:16,2,2005-08-19 09:55:16,27,3019,2005-08-20 14:44:16,0.99,2
15298,1,2005-08-22 19:41:37,1,2005-08-22 19:41:37,31,1446,2005-08-28 22:49:37,2.99,2
15315,1,2005-08-22 20:03:46,2,2005-08-22 20:03:46,32,312,2005-08-30 01:51:46,5.99,1
5636,2,2005-07-10 06:31:24,1,2005-07-10 06:31:24,35,4116,2005-07-13 02:36:24,2.99,1
7346,2,2005-07-27 14:30:42,1,2005-07-27 14:30:42,37,741,2005-08-02 16:48:42,4.99,2
7376,2,2005-07-27 15:23:02,2,2005-07-27 15:23:02,38,488,2005-08-04 10:35:02,5.99,1
10136,2,2005-07-31 21:58:56,1,2005-07-31 21:58:56,48,3142,2005-08-03 19:44:56,2.99,1
11177,2,2005-08-02 10:43:48,2,2005-08-02 10:43:48,52,1149,2005-08-10 10:55:48,6.99,1
11256,2,2005-08-02 13:44:53,1,2005-08-02 13:44:53,53,2060,2005-08-04 16:39:53,2.99,2
12963,2,2005-08-19 06:26:04,2,2005-08-19 06:26:04,55,1521,2005-08-23 11:37:04,2.99,1
1546,3,2005-06-16 01:34:05,1,2005-06-16 01:34:05,62,3913,2005-06-24 04:27:05,8.99,1
1726,3,2005-06-16 15:19:10,2,2005-06-16 15:19:10,63,116,2005-06-25 11:39:10,6.99,1
2628,3,2005-06-19 08:34:53,2,2005-06-19 08:34:53,65,3917,2005-06-28 04:19:53,2.99,1
7911,3,2005-07-28 11:46:45,1,2005-07-28 11:46:45,72,390,2005-07-29 07:19:45,4.99,1
9816,3,2005-07-31 11:32:58,2,2005-07-31 11:32:58,78,4560,2005-08-04 17:12:58,4.99,2
7660,4,2005-07-28 02:10:10,2,2005-07-28 02:10:10,92,4385,2005-07-30 04:29:10,2.99,1
9371,4,2005-07-30 18:58:00,1,2005-07-30 18:58:00,96,2980,2005-08-03 15:14:00,5.99,1
11069,4,2005-08-02 07:09:34,1,2005-08-02 07:09:34,97,57,2005-08-08 08:39:34,0.99,2
12294,4,2005-08-18 05:14:44,2,2005-08-18 05:14:44,101,2479,2005-08-27 01:32:44,8.99,2
15147,4,2005-08-22 13:58:23,2,2005-08-22 13:58:23,106,2553,2005-08-28 14:33:23,2.99,1
15635,4,2005-08-23 07:43:00,1,2005-08-23 07:43:00,107,3308,2005-08-27 10:47:00,1.99,2
1085,5,2005-05-31 11:15:43,1,2005-05-31 11:15:43,109,301,2005-06-07 12:02:43,6.99,1
4889,5,2005-07-08 20:04:43,2,2005-07-08 20:04:43,117,4463,2005-07-13 17:57:43,2.99,2
5156,5,2005-07-09 08:51:42,2,2005-07-09 08:51:42,120,416,2005-07-15 03:59:42,1.99,2
5721,5,2005-07-10 11:09:35,2,2005-07-10 11:09:35,121,2348,2005-07-17 16:41:35,0.99,2
6042,5,2005-07-11 03:17:04,1,2005-07-11 03:17:04,122,2153,2005-07-19 07:08:04,8.99,1
7293,5,2005-07-27 12:37:28,2,2005-07-27 12:37:28,125,3333,2005-07-30 15:12:28,0.99,2
12797,5,2005-08-19 00:24:08,2,2005-08-19 00:24:08,138,1595,2005-08-21 22:53:08,2.99,1
57,6,2005-05-25 08:43:32,2,2005-05-25 08:43:32,146,3938,2005-05-29 06:42:32,4.99,2
577,6,2005-05-28 11:09:14,2,2005-05-28 11:09:14,147,375,2005-06-01 13:27:14,2.99,1
3983,6,2005-07-06 23:14:21,2,2005-07-06 23:14:21,153,1261,2005-07-12 17:55:21,0.99,2
6686,6,2005-07-12 12:18:38,2,2005-07-12 12:18:38,158,3804,2005-07-13 17:56:38,0.99,2
7099,6,2005-07-27 05:03:44,2,2005-07-27 05:03:44,159,3136,2005-07-29 00:12:44,2.99,2
8101,6,2005-07-28 18:47:23,1,2005-07-28 18:47:23,161,731,2005-07-31 16:23:23,0.99,1
11398,6,2005-08-02 18:55:15,2,2005-08-02 18:55:15,164,3952,2005-08-10 19:50:15,3.99,1
13451,6,2005-08-20 00:18:25,1,2005-08-20 00:18:25,169,3837,2005-08-29 01:08:25,6.99,2
14329,6,2005-08-21 08:22:56,2,2005-08-21 08:22:56,170,3544,2005-08-28 02:22:56,7.99,1
