assay_id,assay_tax_id,assay_test_type,relationship_type,assay_category,doc_id,assay_strain,tid,assay_type,assay_organism,assay_cell_type,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id
7524,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618647,,BAO_0000218,2113.0,
7525,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618648,,BAO_0000218,2113.0,
7526,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618649,,BAO_0000218,2113.0,
7527,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618650,,BAO_0000218,2107.0,
7528,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618651,,BAO_0000218,2107.0,
7529,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL876497,,BAO_0000218,2107.0,
7530,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618652,,BAO_0000218,2048.0,
7531,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618653,,BAO_0000218,2048.0,
7532,10116.0,In vivo,N,,9866,,50597,A,Rattus norvegicus,,,CHEMBL618654,,BAO_0000218,2048.0,
7533,10116.0,,N,,6351,,50597,A,Rattus norvegicus,,,CHEMBL618655,,BAO_0000218,,
7534,10116.0,,N,,1465,,50597,A,Rattus norvegicus,,,CHEMBL618656,,BAO_0000218,,
7535,,,U,,5182,,22229,P,,,,CHEMBL618657,,BAO_0000100,,
7536,10116.0,,N,,17847,,50597,A,Rattus norvegicus,,,CHEMBL618658,,BAO_0000218,,
7537,10116.0,,N,,15339,,50597,A,Rattus norvegicus,,,CHEMBL618659,,BAO_0000218,,
7538,10116.0,,N,,5202,,50597,A,Rattus norvegicus,,,CHEMBL618660,,BAO_0000218,,
7539,10116.0,,N,,1088,,50597,A,Rattus norvegicus,,,CHEMBL618661,,BAO_0000218,,
7540,10116.0,,N,,3169,,50597,A,Rattus norvegicus,,,CHEMBL873807,,BAO_0000218,,
7541,10116.0,,N,,5353,,50597,A,Rattus norvegicus,,,CHEMBL618662,,BAO_0000218,,
7542,10116.0,In vivo,N,,2864,,50597,A,Rattus norvegicus,,,CHEMBL618663,,BAO_0000218,,
7543,10116.0,In vivo,N,,2864,,50597,A,Rattus norvegicus,,,CHEMBL618664,,BAO_0000218,,
7544,10116.0,In vivo,N,,2864,,50597,A,Rattus norvegicus,,,CHEMBL618665,,BAO_0000218,,
7545,10116.0,,N,,6362,,50597,A,Rattus norvegicus,,,CHEMBL876498,,BAO_0000218,,
7546,10116.0,,N,,6249,,50597,A,Rattus norvegicus,,,CHEMBL618666,,BAO_0000218,,
7547,10116.0,,N,,3169,,50597,A,Rattus norvegicus,,,CHEMBL620440,,BAO_0000218,,
7548,10116.0,,N,,3169,,50597,A,Rattus norvegicus,,,CHEMBL620441,,BAO_0000218,,
7549,10116.0,,N,,3169,,50597,A,Rattus norvegicus,,,CHEMBL620442,,BAO_0000218,,
7550,10116.0,In vivo,N,,17260,,50597,A,Rattus norvegicus,,,CHEMBL620443,,BAO_0000218,,
7551,10116.0,In vivo,N,,17260,,50597,A,Rattus norvegicus,,,CHEMBL620444,,BAO_0000218,,
7552,10116.0,In vivo,N,,17260,,50597,A,Rattus norvegicus,,,CHEMBL620445,,BAO_0000218,,
7553,10116.0,In vivo,N,,17260,,50597,A,Rattus norvegicus,,,CHEMBL620446,,BAO_0000218,,
7554,10116.0,,N,,2879,,50597,A,Rattus norvegicus,,,CHEMBL620447,,BAO_0000218,1969.0,
7555,10116.0,,N,,2879,,50597,A,Rattus norvegicus,,,CHEMBL621129,,BAO_0000218,1969.0,
7556,10116.0,,N,,2879,,50597,A,Rattus norvegicus,,,CHEMBL621130,,BAO_0000218,1969.0,
7557,10116.0,In vivo,N,,3184,,50597,A,Rattus norvegicus,,,CHEMBL873808,,BAO_0000218,,
7558,10116.0,In vivo,N,,4891,,50597,A,Rattus norvegicus,,,CHEMBL876598,,BAO_0000218,,
7559,10116.0,In vivo,N,,429,,50597,A,Rattus norvegicus,,,CHEMBL621131,,BAO_0000218,,
7560,10116.0,In vivo,N,,5656,,50597,A,Rattus norvegicus,,,CHEMBL621132,,BAO_0000218,,
7561,10116.0,In vivo,N,,4413,,50597,A,Rattus norvegicus,,,CHEMBL621133,,BAO_0000218,,
7562,10116.0,In vivo,N,,3598,,50597,A,Rattus norvegicus,,,CHEMBL621312,,BAO_0000218,,
7563,10116.0,,N,,17267,,50597,A,Rattus norvegicus,,,CHEMBL621313,,BAO_0000218,,
7564,10116.0,,N,,4727,,50597,A,Rattus norvegicus,,,CHEMBL621314,,BAO_0000218,178.0,
7565,10116.0,In vivo,N,,17651,,50597,A,Rattus norvegicus,,,CHEMBL621315,,BAO_0000218,,
7566,10116.0,In vivo,N,,17651,,50597,A,Rattus norvegicus,,,CHEMBL621316,,BAO_0000218,,
7567,10116.0,,N,,401,,50597,A,Rattus norvegicus,,,CHEMBL621317,,BAO_0000218,,
7568,10116.0,,N,,4942,,50597,A,Rattus norvegicus,,,CHEMBL621318,,BAO_0000218,,
7569,10116.0,In vivo,N,,17735,,50597,A,Rattus norvegicus,,,CHEMBL621319,,BAO_0000218,,
7570,10116.0,In vivo,N,,6056,,50597,A,Rattus norvegicus,,,CHEMBL621377,,BAO_0000218,,
7571,10116.0,,N,,5213,,50597,A,Rattus norvegicus,,,CHEMBL621378,,BAO_0000218,,
