inventario_id,film_id,negozio_id
3514,769,2
513,114,1
2051,445,2
198,44,2
1848,402,2
3459,759,1
1611,352,2
3040,667,1
3202,704,1
367,80,1
4011,873,2
3042,667,2
861,189,2
2518,554,1
4166,906,1
1681,367,1
2045,444,2
3421,749,2
4568,998,2
3532,773,1
4079,889,1
2926,643,2
2024,440,1
981,219,1
3646,796,2
85,17,2
3774,826,2
3958,863,1
471,103,2
969,216,1
426,94,1
4024,877,1
2820,619,2
3973,865,2
439,97,1
2995,657,1
4482,979,2
3850,843,1
4240,922,1
766,167,1
3981,868,1
2769,608,2
3275,722,1
20,4,2
2034,443,1
104,21,2
2601,571,2
1434,314,1
2822,619,2
1715,374,1
1888,412,1
1101,244,2
4080,890,1
3914,854,2
2685,589,2
947,210,2
2963,649,2
291,66,1
2222,481,1
2524,554,2
1757,382,1
1902,414,2
1908,415,2
3426,751,2
1030,231,1
592,129,2
2348,511,1
1349,298,1
2817,619,1
1747,380,1
4388,958,2
3942,859,2
1575,346,1
2405,525,1
2064,448,1
316,71,2
815,177,2
280,63,1
4062,885,1
1229,272,1
2699,592,2
2893,636,1
2324,504,2
4421,966,2
1450,317,2
1042,233,1
4500,982,2
2112,458,1
3291,724,2
3029,665,1
1766,383,1
3041,667,1
4172,907,1
1092,243,2
1471,322,1
4563,996,1
282,63,2
3028,665,1
1364,301,1
4004,872,2
3082,677,2
2637,578,2
2335,507,2
2166,468,1
2008,437,2
1494,327,1
3222,707,2
2263,489,1
954,212,2
2612,573,1
3336,733,2
2268,490,1
44,9,2
2329,506,1
4021,875,2
1639,358,1
768,167,2
1614,353,1
1186,264,2
1524,333,2
1260,280,1
4041,880,1
1222,271,1
1448,317,1
836,183,1
2028,441,1
886,196,1
4245,922,2
1282,284,1
2190,473,2
1783,387,2
1661,363,1
268,59,2
2569,563,1
3633,793,1
2194,474,2
2506,551,1
2230,482,1
2652,581,1
4056,883,2
2547,559,1
140,28,1
4384,958,1
2097,455,1
3777,827,2
2262,489,1
4579,1000,2
2079,450,2
494,110,1
4263,927,1
4479,979,1
2986,655,1
1750,380,2
2120,460,1
4370,953,1
2127,460,2
4348,948,1
2777,609,2
3148,691,1
168,37,1
4435,970,1
3361,738,1
4103,893,1
4089,891,1
789,172,2
462,101,2
3742,818,2
128,25,2
2022,439,2
4538,991,1
334,74,1
648,140,2
1405,307,2
3851,843,1
3039,666,2
3030,665,1
786,172,1
3968,864,2
2704,594,1
535,117,1
441,97,2
1154,255,1
1241,274,2
4571,999,2
3292,725,1
1312,290,1
3634,793,1
4373,953,2
1122,249,1
3540,774,1
4153,902,1
1960,428,1
2052,445,2
2392,522,2
3204,704,2
2783,610,2
1055,235,1
1843,402,1
876,193,1
2512,552,2
3507,768,1
436,97,1
2725,598,1
1038,232,1
2663,585,2
2529,555,2
1268,281,2
4081,890,1
2503,550,1
543,118,2
133,26,2
2352,512,1
2463,538,2
398,88,2
4305,938,1
3499,767,1
2281,494,1
2367,515,2
3482,763,2
3437,753,2
1871,408,2
3702,810,1
3584,784,1
4163,905,1
2330,506,1
3720,814,1
2641,579,1
3998,870,2
1743,379,2
546,119,1
324,72,2
3395,745,1
2789,611,2
3242,711,2
1574,345,2
3619,790,1
2633,578,1
1891,412,1
3022,663,2
693,151,2
3801,833,1
3758,822,2
2269,490,1
4171,907,1
2723,597,2
3359,737,2
999,223,2
348,77,1
2545,558,2
579,126,2
1252,276,1
3813,835,1
3580,783,1
4473,977,2
1677,366,1
2759,606,1
3391,744,2
1937,421,2
2932,644,2
3628,791,2
4247,923,2
3443,755,1
2019,439,1
2916,641,1
4532,989,1
4317,941,1
2939,645,2
3383,743,1
1304,288,1
154,32,2
1415,309,2
3751,820,2
1390,305,1
4485,980,1
3294,725,1
3760,823,1
2450,535,1
1208,269,1
572,124,2
3414,748,1
3353,736,1
4535,989,2
1112,247,1
2071,449,2
623,135,2
3859,845,1
4038,879,2
4229,919,1
3491,764,2
613,133,1
145,30,1
1285,284,2
3038,666,2
3333,733,1
1885,410,2
1826,397,1
2101,456,1
2105,456,2
3489,764,2
489,109,2
4001,871,2
3919,855,2
671,146,1
3899,851,2
446,99,1
3182,698,1
4428,968,1
1733,377,2
2579,565,1
4281,932,1
4115,895,1
3826,838,1
4324,942,1
3297,725,2
4059,884,2
501,112,1
2223,481,1
3373,740,2
1732,377,2
4057,883,2
2234,483,2
2614,573,1
4415,965,1
896,199,2
2072,449,2
2421,528,1
867,191,1
1876,409,1
3842,841,2
308,69,2
3730,816,1
228,51,1
3096,680,2
679,149,1
3787,829,2
4151,901,2
4061,885,1
3668,803,1
329,73,1
1667,364,1
1900,414,1
261,58,2
2342,509,2
4170,906,2
1840,400,1
1331,294,1
2967,650,2
377,83,2
2041,444,1
4258,925,2
4412,964,2
293,66,1
4031,878,2
1135,251,2
525,115,2
288,65,2
414,91,1
3576,782,2
3591,785,1
3647,796,2
3782,828,2
1087,242,2
1333,294,2
2962,649,2
4520,986,2
4517,986,1
2449,534,2
1142,253,1
2195,474,2
2444,533,1
1025,229,2
3169,696,2
2760,606,1
3262,718,2
3117,685,2
3161,694,1
4343,946,2
1215,270,1
3529,772,2
1003,225,1
1917,417,1
816,177,2
2523,554,2
961,214,2
4519,986,2
1451,317,2
107,21,2
4367,952,1
2083,451,2
3588,785,1
233,52,2
4378,956,1
2710,595,1
3227,709,1
3902,852,1
2326,505,2
485,109,1
213,48,1
3654,798,1
