attore_id,nome,cognome
177,GENE,MCKELLEN
137,MORGAN,WILLIAMS
135,RITA,REYNOLDS
69,KENNETH,PALTROW
84,JAMES,PITT
158,VIVIEN,BASINGER
167,LAURENCE,BULLOCK
74,MILLA,KEITEL
108,WARREN,NOLTE
157,GRETA,MALDEN
139,EWAN,GOODING
100,SPENCER,DEPP
35,JUDY,DEAN
169,KENNETH,HOFFMAN
103,MATTHEW,LEIGH
72,SEAN,WILLIAMS
5,JOHNNY,LOLLOBRIGIDA
200,THORA,TEMPLE
76,ANGELINA,ASTAIRE
11,ZERO,CAGE
19,BOB,FAWCETT
1,PENELOPE,GUINESS
172,GROUCHO,WILLIAMS
132,ADAM,HOPPER
22,ELVIS,MARX
115,HARRISON,BALE
120,PENELOPE,MONROE
145,KIM,ALLEN
126,FRANCES,TOMEI
166,NICK,DEGENERES
146,ALBERT,JOHANSSON
83,BEN,WILLIS
181,MATTHEW,CARREY
195,JAYNE,SILVERSTONE
185,MICHAEL,BOLGER
164,HUMPHREY,WILLIS
20,LUCILLE,TRACY
107,GINA,DEGENERES
86,GREG,CHAPLIN
50,NATALIE,HOPKINS
58,CHRISTIAN,AKROYD
96,GENE,WILLIS
122,SALMA,NOLTE
8,MATTHEW,JOHANSSON
117,RENEE,TRACY
57,JUDE,CRUISE
46,PARKER,GOLDBERG
67,JESSICA,BAILEY
92,KIRSTEN,AKROYD
63,CAMERON,WRAY
151,GEOFFREY,HESTON
197,REESE,WEST
128,CATE,MCQUEEN
150,JAYNE,NOLTE
15,CUBA,OLIVIER
183,RUSSELL,CLOSE
141,CATE,HARRIS
171,OLYMPIA,PFEIFFER
99,JIM,MOSTEL
47,JULIA,BARRYMORE
45,REESE,KILMER
14,VIVIEN,BERGEN
130,GRETA,KEITEL
155,IAN,TANDY
101,SUSAN,DAVIS
127,KEVIN,GARLAND
12,KARL,BERRY
189,CUBA,BIRCH
26,RIP,CRAWFORD
43,KIRK,JOVOVICH
182,DEBBIE,AKROYD
136,ED,MANSFIELD
174,MICHAEL,BENING
156,FAY,WOOD
37,VAL,BOLGER
184,HUMPHREY,GARLAND
131,JANE,JACKMAN
32,TIM,HACKMAN
129,DARYL,CRAWFORD
85,MINNIE,ZELLWEGER
97,MEG,HAWKE
25,KEVIN,BLOOM
133,RICHARD,PENN
105,SIDNEY,CROWE
59,DUSTIN,TAUTOU
147,FAY,WINSLET
51,GARY,PHOENIX
23,SANDRA,KILMER
13,UMA,WOOD
89,CHARLIZE,DENCH
44,NICK,STALLONE
94,KENNETH,TORN
170,MENA,HOPPER
29,ALEC,WAYNE
16,FRED,COSTNER
123,JULIANNE,DENCH
125,ALBERT,NOLTE
191,GREGORY,GOODING
64,RAY,JOHANSSON
98,CHRIS,BRIDGES
