miller2_fsclr,miller2_mxmmcdcntrbtn(prjct-lvl),miller2_dsbltsss(mrkr),miller2_cntrrgnd,miller2_thsss(mrkr),miller2_gndrqlt(mrkr),miller2_trddvlpmnt(mrkr),miller2_bltrld(ntrntnlmrkr),miller2_fstcprcnt,miller2_stts,miller2_nvrmntlsstnblt(mrkr),miller2_rgnstntp,miller2_sctrd,miller2_knwldgfrdvlpmnt(mrkr),miller2_bdvrst(mrkr),miller2_dsrtfctn(mrkr),miller2_prtcptrdvlpmntndgdgvrnnc,miller2_rbnsss(mrkr),miller2_chldrnsss(mrkr),miller2_ndgnssss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_rgnstnd,miller2_rgnstnnm,miller2_rgnstnclss,miller2_rgnstnsb-clss,miller2_cntnntd,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrnm,miller2_sctrprcnt,miller2_mntspnt
2009/2010,2460000.0,0,X3,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,33140,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,3,Asia,X3,Asia MC,0.22,Multilateral trade negotiations,0.14,75768.0
2009/2010,2460000.0,0,X3,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,99810,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,3,Asia,X3,Asia MC,0.22,Sectors not specified,0.505,273306.0
2009/2010,2460000.0,0,X4,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,12191,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Medical services,0.268,210969.6
2009/2010,2460000.0,0,X4,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,14015,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Water resources conservation (including data collection),0.047,36998.4
2009/2010,2460000.0,0,X4,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,23510,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Nuclear energy electric power plants,0.04,31488.0
2009/2010,2460000.0,0,X4,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,33140,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Multilateral trade negotiations,0.14,110208.0
2009/2010,2460000.0,0,X4,0,0,0,0,0.0,Closed,1,Foreign Non-Profit Making,99810,1,0,0,1,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Sectors not specified,0.505,397536.0
2009/2010,300000.0,0,SV,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Multilateral,REGIONAL ORGANIZATION,1,America,SV,El Salvador,1.0,Material relief assistance and services,1.0,300000.0
2009/2010,3000000.0,0,X1,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,2,Africa,X1,Africa MC,0.5,Material relief assistance and services,1.0,1500000.0
2009/2010,3000000.0,0,X2,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,1,America,X2,Americas MC,0.15,Material relief assistance and services,1.0,450000.0
2009/2010,3000000.0,0,X3,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,3,Asia,X3,Asia MC,0.3,Material relief assistance and services,1.0,900000.0
2009/2010,3000000.0,0,X4,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,5,Europe,X4,Europe MC,0.05,Material relief assistance and services,1.0,150000.0
2009/2010,3000000.0,0,X1,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,2,Africa,X1,Africa MC,0.5,Material relief assistance and services,1.0,1500000.0
2009/2010,3000000.0,0,X2,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,1,America,X2,Americas MC,0.15,Material relief assistance and services,1.0,450000.0
2009/2010,3000000.0,0,X3,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,3,Asia,X3,Asia MC,0.3,Material relief assistance and services,1.0,900000.0
2009/2010,3000000.0,0,X4,0,1,0,1,0.0,Terminating,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,5,Europe,X4,Europe MC,0.05,Material relief assistance and services,1.0,150000.0
2009/2010,500000.0,0,LK,0,0,0,1,0.0,Closed,1,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1015332,Mines Advisory Group,Civil Society,NGO,3,Asia,LK,Sri Lanka,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,500000.0,0,LK,0,0,0,1,0.0,Closed,1,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1015331,The Halo Trust,Civil Society,NGO,3,Asia,LK,Sri Lanka,1.0,Material relief assistance and services,1.0,500000.0
