assays_assay_id,assays_assay_tissue,assays_variant_id,assays_src_assay_id,assays_assay_cell_type,assays_chembl_id,assays_assay_type,assays_bao_format,assays_assay_strain,assays_assay_category,assays_confidence_score,assays_tid,assays_relationship_type,assays_curated_by,assays_src_id,assays_cell_id,assays_tissue_id
7524,Kidney,,,,CHEMBL618647,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2113.0
7525,Kidney,,,,CHEMBL618648,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2113.0
7526,Kidney,,,,CHEMBL618649,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2113.0
7527,Liver,,,,CHEMBL618650,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2107.0
7528,Liver,,,,CHEMBL618651,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2107.0
7529,Liver,,,,CHEMBL876497,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2107.0
7530,Lung,,,,CHEMBL618652,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2048.0
7531,Lung,,,,CHEMBL618653,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2048.0
7532,Lung,,,,CHEMBL618654,A,BAO_0000218,,,1,50597,N,Intermediate,1,,2048.0
7533,,,,,CHEMBL618655,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7534,,,,,CHEMBL618656,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7535,,,,,CHEMBL618657,P,BAO_0000100,,,0,22229,U,Intermediate,1,,
7536,,,,,CHEMBL618658,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7537,,,,,CHEMBL618659,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7538,,,,,CHEMBL618660,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7539,,,,,CHEMBL618661,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7540,,,,,CHEMBL873807,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7541,,,,,CHEMBL618662,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7542,,,,,CHEMBL618663,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7543,,,,,CHEMBL618664,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7544,,,,,CHEMBL618665,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7545,,,,,CHEMBL876498,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7546,,,,,CHEMBL618666,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7547,,,,,CHEMBL620440,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7548,,,,,CHEMBL620441,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7549,,,,,CHEMBL620442,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7550,,,,,CHEMBL620443,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7551,,,,,CHEMBL620444,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
7552,,,,,CHEMBL620445,A,BAO_0000218,,,1,50597,N,Intermediate,1,,
