ammontare,cliente_id,pagamento_id,personale_id,noleggio_id,data_pagamento
5.99,84,2280,1,5221,2005-07-09 12:02:23
0.99,445,12004,1,6346,2005-07-11 20:08:34
0.99,369,9997,1,12521,2005-08-18 13:43:07
2.99,503,13562,2,11075,2005-08-02 07:24:23
8.99,197,5332,1,4486,2005-07-08 01:09:09
4.99,495,13353,2,13818,2005-08-20 13:20:09
0.99,172,4677,2,10621,2005-08-01 15:10:26
4.99,99,2669,2,4344,2005-07-07 18:50:47
0.99,230,6193,1,2777,2005-06-19 18:16:26
4.99,253,6818,2,2636,2005-06-19 09:13:06
7.99,373,10110,2,11512,2005-08-16 23:51:06
5.98,42,1177,1,13351,2006-02-14 15:16:03
4.99,570,15285,2,12042,2005-08-17 20:36:37
4.99,92,2512,2,4828,2005-07-08 17:52:29
4.99,29,803,1,11079,2005-08-02 07:29:10
1.99,569,15243,2,9960,2005-07-31 16:05:52
6.99,309,8381,2,218,2005-05-26 09:27:09
0.99,423,11425,2,1827,2005-06-16 21:54:40
8.99,533,14364,1,11758,2005-08-17 09:33:02
4.99,551,14804,1,15377,2005-08-22 22:22:33
0.99,560,15006,1,9265,2005-07-30 14:55:25
1.99,8,220,1,8809,2005-07-29 21:42:49
7.99,310,8425,1,8981,2005-07-30 04:25:30
2.99,384,10394,2,279,2005-05-26 18:02:50
3.99,380,10295,1,10983,2005-08-02 04:24:23
5.99,314,8514,1,6192,2005-07-11 11:44:41
0.99,65,1768,2,657,2005-05-28 20:23:09
4.99,326,8815,1,8604,2005-07-29 13:07:13
4.99,148,4038,1,9594,2005-07-31 03:23:52
1.99,65,1777,2,8392,2005-07-29 06:00:27
2.99,490,13228,2,11965,2005-08-17 17:39:45
0.99,375,10163,1,10274,2005-08-01 03:16:51
1.99,454,12251,1,1861,2005-06-17 01:17:31
0.99,311,8450,2,13310,2005-08-19 19:05:16
5.99,180,4904,1,10576,2005-08-01 13:46:02
2.99,199,5397,1,4499,2005-07-08 02:08:48
6.99,119,3190,2,540,2005-05-28 06:40:25
3.99,393,10669,2,15284,2005-08-22 19:17:08
0.99,228,6149,2,5902,2005-07-10 20:31:24
0.99,337,9114,1,10664,2005-08-01 16:51:15
4.99,251,6766,1,3799,2005-07-06 15:00:14
5.99,296,8030,1,6398,2005-07-11 22:34:49
5.99,194,5256,2,11475,2005-08-02 21:55:09
4.99,324,8777,1,15263,2005-08-22 18:27:33
0.99,88,2393,2,3620,2005-07-06 06:01:50
5.99,211,5744,2,12570,2005-08-18 15:23:31
0.99,550,14764,1,9748,2005-07-31 09:17:56
4.99,295,8006,2,10160,2005-07-31 23:07:40
5.99,161,4399,2,15045,2005-08-22 09:53:23
4.99,68,1858,2,9642,2005-07-31 05:33:57
11.99,116,3146,2,14763,2005-08-21 23:34:00
6.99,204,5533,1,6694,2005-07-12 12:39:23
3.99,59,1631,1,5207,2005-07-09 11:15:44
2.99,587,15726,1,10825,2005-08-01 23:05:33
4.99,258,6965,2,6012,2005-07-11 02:00:12
0.99,299,8130,1,11998,2005-08-17 18:46:21
4.99,577,15473,2,10323,2005-08-01 04:44:58
2.99,230,6198,2,5269,2005-07-09 14:23:05
0.99,219,5943,2,14029,2005-08-20 21:23:11
8.99,421,11378,1,3988,2005-07-06 23:30:42
0.99,5,140,2,13877,2005-08-20 15:16:18
6.99,287,7778,1,10027,2005-07-31 18:33:51
0.99,183,4983,2,5756,2005-07-10 12:39:28
7.99,176,4796,1,14083,2005-08-20 23:42:31
7.99,40,1098,2,2470,2005-06-18 20:28:31
4.99,475,12848,1,6224,2005-07-11 13:42:18
7.99,19,504,1,10176,2005-07-31 23:40:35
5.99,507,13676,2,7770,2005-07-28 06:49:35
7.99,347,9372,1,3326,2005-06-21 09:04:50
2.99,531,14304,1,12923,2005-08-19 04:50:20
0.99,218,5906,1,2267,2005-06-18 06:10:23
2.99,345,9325,2,8129,2005-07-28 19:47:02
2.99,127,3417,2,1803,2005-06-16 20:32:47
4.99,320,8659,2,3756,2005-07-06 12:40:38
3.99,243,6587,1,14272,2005-08-21 06:24:55
5.99,231,6232,2,8949,2005-07-30 03:17:02
4.99,431,11634,1,10527,2005-08-01 11:55:54
2.99,386,10456,2,6261,2005-07-11 15:28:34
0.99,385,10442,1,13117,2005-08-19 11:33:20
2.99,564,15103,1,985,2005-05-30 22:18:35
2.99,396,10724,2,8371,2005-07-29 05:16:35
4.99,566,15175,2,9101,2005-07-30 08:47:13
3.99,329,8900,2,11169,2005-08-02 10:19:42
4.99,153,4176,1,14747,2005-08-21 23:00:02
2.99,506,13631,1,1042,2005-05-31 05:53:00
0.99,42,1150,2,1534,2005-06-16 00:49:32
5.99,403,10904,2,12005,2005-08-17 18:56:55
2.99,77,2093,1,3151,2005-06-20 20:36:53
2.99,566,15181,2,11129,2005-08-02 09:08:44
4.99,595,15930,1,4017,2005-07-07 01:08:18
3.99,3,76,2,9443,2005-07-30 21:45:46
4.99,403,10889,1,6342,2005-07-11 19:48:24
5.99,247,6687,1,7963,2005-07-28 13:48:38
10.99,136,3674,2,11992,2005-08-17 18:27:22
0.99,554,14870,1,14469,2005-08-21 13:07:24
2.99,196,5286,1,1348,2005-06-15 12:45:30
0.99,375,10171,2,12663,2005-08-18 19:10:52
1.99,514,13857,1,14386,2005-08-21 10:06:34
4.99,200,5422,1,2227,2005-06-18 03:43:23
0.99,161,4389,2,9421,2005-07-30 21:08:32
2.99,546,14683,1,14829,2005-08-22 01:35:37
0.99,551,14795,2,11380,2005-08-02 18:17:32
4.99,503,13561,1,9974,2005-07-31 16:51:11
0.99,1,19,2,8116,2005-07-28 19:20:07
0.99,24,640,1,5310,2005-07-09 16:00:34
1.99,378,10236,1,5578,2005-07-10 04:00:31
4.99,87,2387,2,12719,2006-02-14 15:16:03
4.99,21,569,2,13399,2005-08-19 22:09:28
2.99,590,15799,1,4710,2005-07-08 12:04:53
2.99,328,8862,2,9557,2005-07-31 02:14:01
4.99,170,4610,1,3749,2005-07-06 12:18:03
5.99,567,15191,1,3769,2005-07-06 13:11:33
1.99,377,10204,1,3080,2005-06-20 15:22:32
7.99,143,3864,1,4031,2005-07-07 02:32:07
0.99,589,15776,2,7250,2005-07-27 10:44:09
2.99,118,3182,2,12538,2005-08-18 14:09:09
0.99,164,4460,2,6702,2005-07-12 12:48:03
0.99,263,7126,1,15293,2006-02-14 15:16:03
2.99,173,4717,1,16010,2005-08-23 21:10:24
7.99,265,7153,2,2027,2005-06-17 13:06:56
5.99,411,11131,2,5357,2005-07-09 18:08:59
4.99,26,693,1,2745,2005-06-19 16:21:19
9.99,558,14940,1,3731,2005-07-06 11:33:36
6.99,284,7684,2,2813,2005-06-19 20:01:47
0.99,423,11448,1,15380,2005-08-22 22:28:15
4.99,307,8326,2,413,2005-05-27 14:45:37
1.99,111,2980,2,3485,2005-07-05 23:25:54
