durata_noleggio,costo_sostituzione,voto,durata,data_rilascio,tariffa_noleggio,lingua_originale_id,titolo,film_id,lingua,descrizione
5,28.99,PG,177,2006,2.99,,RIDER CADDYSHACK,729,English,A Taut Reflection of a Monkey And a Womanizer who must Chase a Moose in Nigeria
6,16.99,G,126,2006,0.99,,ALAMO VIDEOTAPE,11,English,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention
3,28.99,R,111,2006,4.99,,TIES HUNGER,889,English,A Insightful Saga of a Astronaut And a Explorer who must Pursue a Mad Scientist in A U-Boat
6,25.99,G,102,2006,4.99,,HEAVYWEIGHTS BEAST,412,English,A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park
3,13.99,PG,142,2006,2.99,,FERRIS MOTHER,308,English,A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico
3,29.99,NC-17,171,2006,2.99,,JERICHO MULAN,483,English,A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat
7,28.99,NC-17,91,2006,2.99,,LICENSE WEEKEND,520,English,A Insightful Story of a Man And a Husband who must Overcome a Madman in A Monastery
5,28.99,PG,80,2006,4.99,,LOSER HUSTLER,532,English,A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria
6,10.99,G,83,2006,2.99,,WARLOCK WEREWOLF,959,English,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback
6,10.99,G,180,2006,2.99,,MUSSOLINI SPOILERS,612,English,A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China
7,29.99,NC-17,85,2006,0.99,,EARTH VISION,270,English,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India
3,16.99,NC-17,92,2006,4.99,,CARIBBEAN LIBERTY,120,English,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank
3,20.99,PG-13,160,2006,2.99,,PEACH INNOCENT,667,English,A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin
6,13.99,PG-13,68,2006,2.99,,DIVIDE MONSTER,235,English,A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery
7,29.99,PG,69,2006,0.99,,HOLLYWOOD ANONYMOUS,423,English,A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat
3,29.99,G,142,2006,0.99,,TRACY CIDER,901,English,A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria
7,19.99,NC-17,147,2006,2.99,,RACER EGG,709,English,A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California
7,9.99,PG-13,86,2006,0.99,,GANDHI KWAI,348,English,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin
3,18.99,PG,65,2006,2.99,,LOVELY JINGLE,536,English,A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback
6,9.99,PG,173,2006,0.99,,TALENTED HOMICIDE,875,English,A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat
7,16.99,PG-13,89,2006,2.99,,DARES PLUTO,208,English,A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans
4,29.99,G,159,2006,4.99,,WEST LION,969,English,A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse
4,21.99,PG-13,120,2006,0.99,,KARATE MOON,494,English,A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention
5,25.99,PG-13,84,2006,0.99,,SAVANNAH TOWN,766,English,A Awe-Inspiring Tale of a Astronaut And a Database Administrator who must Chase a Secret Agent in The Gulf of Mexico
5,17.99,PG,98,2006,0.99,,BOUND CHEAPER,91,English,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon
7,16.99,NC-17,169,2006,2.99,,HEDWIG ALTER,413,English,A Action-Packed Yarn of a Womanizer And a Lumberjack who must Chase a Sumo Wrestler in A Monastery
3,29.99,G,75,2006,2.99,,LOVER TRUMAN,537,English,A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat
3,21.99,R,142,2006,2.99,,TOMORROW HUSTLER,895,English,A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert
6,9.99,PG-13,56,2006,4.99,,MATRIX SNOWMAN,565,English,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California
6,29.99,R,98,2006,0.99,,FEUD FROGMEN,309,English,A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies
3,13.99,NC-17,172,2006,2.99,,JERK PAYCHECK,484,English,A Touching Character Study of a Pastry Chef And a Database Administrator who must Reach a A Shark in Ancient Japan
5,15.99,PG,130,2006,0.99,,MAJESTIC FLOATS,552,English,A Thrilling Character Study of a Moose And a Student who must Escape a Butler in The First Manned Space Station
6,15.99,NC-17,138,2006,0.99,,POCUS PULP,687,English,A Intrepid Yarn of a Frisbee And a Dog who must Build a Astronaut in A Baloon Factory
7,23.99,R,149,2006,0.99,,SPIRIT FLINTSTONES,830,English,A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan
7,14.99,G,103,2006,0.99,,FIREHOUSE VIETNAM,318,English,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert
5,22.99,PG-13,150,2006,2.99,,BINGO TALENTED,73,English,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria
7,14.99,NC-17,76,2006,0.99,,BOONDOCK BALLROOM,87,English,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico
