cognome,nome,attore_id
MOSTEL,JIM,99
OLIVIER,CUBA,15
GABLE,CHRISTIAN,10
BERRY,HENRY,60
WINSLET,FAY,147
TRACY,RENEE,117
HOPPER,ADAM,132
HESTON,GEOFFREY,151
WRAY,CAMERON,63
DUKAKIS,ROCK,188
ZELLWEGER,MINNIE,85
CHASE,JON,176
TEMPLE,MENA,53
WOOD,FAY,156
WAHLBERG,NICK,2
WINSLET,RIP,68
WITHERSPOON,ANGELA,144
WILLIAMS,GROUCHO,172
MCQUEEN,JULIA,27
COSTNER,FRED,16
DEAN,RIVER,143
ASTAIRE,ANGELINA,76
TEMPLE,RUSSELL,149
CRAWFORD,RIP,26
MCKELLEN,TOM,38
TORN,DAN,18
POSEY,BURT,75
HOFFMAN,WOODY,28
DUNST,GROUCHO,106
PENN,GARY,73
BOLGER,MICHAEL,185
HARRIS,BEN,152
DEPP,SPENCER,100
CRONYN,ANNE,49
ALLEN,KIM,145
WILLIS,BEN,83
CRAWFORD,DARYL,129
WILLIS,HUMPHREY,164
MCCONAUGHEY,CARY,77
AKROYD,CHRISTIAN,58
STALLONE,NICK,44
MCQUEEN,CATE,128
KILMER,REESE,45
FAWCETT,BOB,19
NEESON,CHRISTIAN,61
BENING,SCARLETT,124
HUDSON,ANGELA,65
MARX,ELVIS,22
DEPP,CHRIS,160
PINKETT,PENELOPE,54
JOVOVICH,KIRK,43
PFEIFFER,OLYMPIA,171
HOPE,HARVEY,161
KEITEL,GRETA,130
DEE,LUCILLE,138
BAILEY,AUDREY,190
BERRY,KARL,12
CARREY,MATTHEW,181
BRODY,LAURA,159
DUKAKIS,BURT,36
PHOENIX,GARY,51
MCCONAUGHEY,MICHELLE,70
WILLIS,GENE,96
LEIGH,MATTHEW,103
DEGENERES,NICK,166
TAUTOU,DUSTIN,59
PITT,JAMES,84
PALTROW,KENNETH,69
TORN,WALTER,102
DENCH,CHARLIZE,89
WILSON,WILL,168
HOPKINS,NATALIE,50
GARLAND,HUMPHREY,184
OLIVIER,AUDREY,34
GUINESS,SEAN,90
BAILEY,JESSICA,67
CRUZ,RALPH,80
WAYNE,ALEC,29
HUNT,CARMEN,52
PECK,MILLA,33
CHAPLIN,GREG,86
BOLGER,VAL,37
PALTROW,KIRSTEN,21
SOBIESKI,SISSY,31
GOLDBERG,PARKER,46
MONROE,PENELOPE,120
BRODY,GOLDIE,39
DAVIS,JENNIFER,4
JOHANSSON,MATTHEW,8
WEST,REESE,197
CAGE,ZERO,11
LOLLOBRIGIDA,JOHNNY,5
JOHANSSON,RAY,64
TOMEI,FRANCES,126
AKROYD,DEBBIE,182
AKROYD,KIRSTEN,92
MOSTEL,GRACE,7
NOLTE,SALMA,122
FAWCETT,JULIA,199
VOIGHT,HELEN,17
HOPKINS,GENE,134
SILVERSTONE,JAYNE,195
SINATRA,GROUCHO,78
GOODING,EWAN,139
JOHANSSON,ALBERT,146
PECK,SANDRA,30
KEITEL,MILLA,74
GRANT,ADAM,71
HACKMAN,TIM,32
BALE,HARRISON,115
KILMER,OPRAH,162
CLOSE,RUSSELL,183
BERGMAN,LIZA,121
CRONYN,PENELOPE,104
KEITEL,MARY,198
SUVARI,JOHN,192
WALKEN,BELA,196
TANDY,MARY,66
TRACY,LUCILLE,20
WILLIAMS,MORGAN,137
BRIDGES,CHRIS,98
ALLEN,MERYL,194
BARRYMORE,JULIA,47
BENING,MICHAEL,174
NOLTE,WARREN,108
DEE,EMILY,148
PRESLEY,ELLEN,93
KILMER,MINNIE,153
BACALL,RUSSELL,112
ZELLWEGER,JULIA,186
BULLOCK,LAURENCE,167
GOODING,GREGORY,191
REYNOLDS,RITA,135
DEAN,JUDY,35
NOLTE,JAYNE,150
STREEP,CAMERON,24
HOPPER,MENA,170
HARRIS,DAN,56
HURT,WHOOPI,140
TEMPLE,THORA,200
HAWKE,MEG,97
STREEP,DAN,116
DENCH,JULIANNE,123
PESCI,KENNETH,88
BASINGER,VIVIEN,158
HOFFMAN,KENNETH,169
WILLIAMS,SEAN,72
DERN,SYLVESTER,109
DAVIS,SUSAN,101
JACKMAN,JANE,131
GIBSON,MERYL,154
TORN,KENNETH,94
MONROE,LISA,178
HOPKINS,MORGAN,113
PECK,SPENCER,87
DREYFUSS,ALAN,173
HACKMAN,WILLIAM,175
MALDEN,GRETA,157
BALL,RENEE,187
DAY-LEWIS,FRANCES,48
RYDER,JADA,142
DAVIS,SUSAN,110
ZELLWEGER,CAMERON,111
NOLTE,ALBERT,125
DEGENERES,GINA,107
GUINESS,PENELOPE,1
JOLIE,WOODY,82
BLOOM,KEVIN,25
CRUISE,JUDE,57
CAGE,JOHNNY,40
GUINESS,ED,179
KILMER,SANDRA,23
KILMER,FAY,55
TANDY,IAN,155
TEMPLE,BURT,193
SWANK,JOE,9
JACKMAN,WARREN,119
BIRCH,CUBA,189
DEGENERES,JODIE,41
BERRY,CHRISTOPHER,91
WAHLBERG,DARYL,95
PENN,RICHARD,133
GARLAND,KEVIN,127
MANSFIELD,ED,136
NEESON,JAYNE,62
CHASE,ED,3
WEST,CHRISTOPHER,163
GARLAND,AL,165
WOOD,UMA,13
SILVERSTONE,JEFF,180
HOFFMAN,MAE,79
MCDORMAND,MORGAN,114
CROWE,SIDNEY,105
BERGEN,VIVIEN,14
HARRIS,CATE,141
NICHOLSON,BETTE,6
MIRANDA,TOM,42
DAMON,SCARLETT,81
ALLEN,CUBA,118
MCKELLEN,GENE,177
